BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSOIN;ADMIN;ADMTO;CADRE;INFNS;INFSP;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2024;040000911;040788879;9999;5.9;0.57;123.31;129.78;23.03;305.82;17.05;154.86;67.71;43.98;10.39;16.21;639.05;21.91;12.3;34.21;29.52;128.49;961.05
Q24;2024;040003113;920040862;2000;;;;;;2;;;;;;;2;;;;;;2
Q24;2024;040003113;920040862;2100;;;;;;2;;;;;;;2;;;;;;2
Q24;2024;040003113;920040862;9999;;;;;;2;;;;;;;2;;;;;;2
Q24;2024;040780389;040000150;2000;3.17;;7.22;10.39;1;14.57;;18.91;10.97;0.69;;1.14;47.28;;0.98;0.98;1.3;2.04;61.99
Q24;2024;040780389;040000150;2400;3.17;;7.22;10.39;1;14.57;;18.91;10.97;0.69;;1.14;47.28;;0.98;0.98;1.3;2.04;61.99
Q24;2024;040780389;040000150;9999;3.17;;7.22;10.39;1;14.57;;18.91;10.97;0.69;;1.14;47.28;;0.98;0.98;1.3;2.04;61.99
Q24;2024;040780405;040000168;2000;1.41;0.71;8;10.12;1.3;11.2;;25;22.5;0.6;;9.84;70.44;;0.5;0.5;;3.8;84.86
Q24;2024;040780405;040000168;2400;1;0.5;6;7.5;1;8;;13;13.5;0.2;;9.84;45.54;;0.5;0.5;;2.68;56.22
Q24;2024;040780405;040000168;2500;0.41;0.21;2;2.62;0.3;3.2;;12;9;0.4;;;24.9;;;;;1.12;28.64
Q24;2024;040780405;040000168;9999;1.41;0.71;8;10.12;1.3;11.2;;25;22.5;0.6;;9.84;70.44;;0.5;0.5;;3.8;84.86
Q24;2024;040780470;040000192;2000;0.92;;9;9.92;2;18.54;1;6.3;11.5;;;;39.34;;;;2.68;1.5;53.44
Q24;2024;040780470;040000192;2100;0.92;;9;9.92;2;18.54;1;6.3;11.5;;;;39.34;;;;2.68;1.5;53.44
Q24;2024;040780470;040000192;9999;0.92;;9;9.92;2;18.54;1;6.3;11.5;;;;39.34;;;;2.68;1.5;53.44
Q24;2024;040780488;040000200;2000;2.52;;8.51;11.03;2.04;10.35;;22.58;4.98;0.5;;15.6;56.05;1.22;0.91;2.13;0.65;5.17;75.03
Q24;2024;040780488;040000200;2400;2.52;;8.51;11.03;2.04;10.35;;22.58;4.98;0.5;;15.6;56.05;1.22;0.91;2.13;0.65;5.17;75.03
Q24;2024;040780488;040000200;9999;2.52;;8.51;11.03;2.04;10.35;;22.58;4.98;0.5;;15.6;56.05;1.22;0.91;2.13;0.65;5.17;75.03
Q24;2024;040780520;310025010;2000;1;;2.5;3.5;0.8;7.94;;6;7.78;;;;22.52;;;;;1;27.02
Q24;2024;040780520;310025010;2400;1;;2.5;3.5;0.8;7.94;;6;7.78;;;;22.52;;;;;1;27.02
Q24;2024;040780520;310025010;9999;1;;2.5;3.5;0.8;7.94;;6;7.78;;;;22.52;;;;;1;27.02
Q24;2024;040782021;130037815;2000;3;;13.96;16.96;1.08;12.8;;23.34;9.99;1;;4.53;52.74;1;1;2;0.79;4.12;76.61
Q24;2024;040782021;130037815;2400;3;;13.96;16.96;1.08;12.8;;23.34;9.99;1;;4.53;52.74;1;1;2;0.79;4.12;76.61
Q24;2024;040782021;130037815;9999;3;;13.96;16.96;1.08;12.8;;23.34;9.99;1;;4.53;52.74;1;1;2;0.79;4.12;76.61
Q24;2024;040784860;920040862;2000;0.9;;3.34;4.24;0.97;20.63;;4.13;5;;;0.5;31.23;;;;1;;36.47
Q24;2024;040784860;920040862;2100;0.9;;3.34;4.24;0.97;20.63;;4.13;5;;;0.5;31.23;;;;1;;36.47
Q24;2024;040784860;920040862;9999;0.9;;3.34;4.24;0.97;20.63;;4.13;5;;;0.5;31.23;;;;1;;36.47
Q24;2024;040787541;920040862;2000;;;;;;2;;;;;;;2;;;;;;2
Q24;2024;040787541;920040862;2100;;;;;;2;;;;;;;2;;;;;;2
Q24;2024;040787541;920040862;9999;;;;;;2;;;;;;;2;;;;;;2
Q24;2024;040788440;040780215;1000;;;;;;;;0.31;;;;;0.31;;;;;;0.31
Q24;2024;040788440;040780215;2000;0.2;;0.4;0.6;0.7;3;;16.71;4.3;;;0.46;25.17;0.44;;0.44;;1.4;27.61
Q24;2024;040788440;040780215;2500;0.2;;0.4;0.6;0.7;3;;16.71;4.3;;;0.46;25.17;0.44;;0.44;;1.4;27.61
Q24;2024;040788440;040780215;9999;0.2;;0.4;0.6;0.7;3;;17.02;4.3;;;0.46;25.48;0.44;;0.44;;1.4;27.92
Q24;2024;050000041;130037815;2000;1.64;1;26.49;29.13;3;28.95;;28.98;15.83;0.58;;24.78;102.12;0.6;0.13;0.73;;11.34;143.32
Q24;2024;050000041;130037815;2400;1.64;1;26.49;29.13;3;28.95;;28.98;15.83;0.58;;24.78;102.12;0.6;0.13;0.73;;11.34;143.32
Q24;2024;050000041;130037815;9999;1.64;1;26.49;29.13;3;28.95;;28.98;15.83;0.58;;24.78;102.12;0.6;0.13;0.73;;11.34;143.32
Q24;2024;050000058;050000033;2000;1.17;0.7;5.18;7.05;1;14.38;;12.37;6.98;0.61;;3.14;38.48;;1.28;1.28;;7.61;54.42
Q24;2024;050000058;050000033;2400;1.17;0.7;5.18;7.05;1;14.38;;12.37;6.98;0.61;;3.14;38.48;;1.28;1.28;;7.61;54.42
Q24;2024;050000058;050000033;9999;1.17;0.7;5.18;7.05;1;14.38;;12.37;6.98;0.61;;3.14;38.48;;1.28;1.28;;7.61;54.42
Q24;2024;050000066;050000082;2000;1;;2.99;3.99;0.5;10.27;;11.75;15.38;0.69;;2.19;40.78;;0.38;0.38;;2;47.15
Q24;2024;050000066;050000082;2400;1;;2.99;3.99;0.5;10.27;;11.75;15.38;0.69;;2.19;40.78;;0.38;0.38;;2;47.15
Q24;2024;050000066;050000082;9999;1;;2.99;3.99;0.5;10.27;;11.75;15.38;0.69;;2.19;40.78;;0.38;0.38;;2;47.15
Q24;2024;050000090;050006931;1000;10;;12;22;;;;;;;;;;;;;;;22
Q24;2024;050000090;050006931;2000;;;;;2;24;28;25;30;;;;109;;;;;4;113
Q24;2024;050000090;050006931;2100;;;;;2;24;28;25;30;;;;109;;;;;4;113
Q24;2024;050000090;050006931;9999;10;;12;22;2;24;28;25;30;;;;109;;;;;4;135
Q24;2024;050000132;050007145;1000;2.57;1;28.08;31.65;0.21;4.06;0.3;1.8;5.99;;;0.88;13.24;0.33;;0.33;;50.91;96.13
Q24;2024;050000132;050007145;2000;;;11.72;11.72;10.15;135.35;1.56;43.14;40.1;18.51;;10.46;259.27;18.19;8.05;26.24;3.51;0.87;301.61
Q24;2024;050000132;050007145;2200;;;11.22;11.22;9.94;127.58;1.56;31.46;31.8;18.41;;10.41;231.16;18.19;8.05;26.24;3.51;0.87;273
Q24;2024;050000132;050007145;2500;;;0.5;0.5;0.21;7.77;;11.68;8.3;0.1;;0.05;28.11;;;;;;28.61
Q24;2024;050000132;050007145;9999;2.57;1;39.8;43.37;10.36;139.41;1.86;44.94;46.09;18.51;;11.34;272.51;18.52;8.05;26.57;3.51;51.78;397.74
Q24;2024;050000223;050000108;1000;0.58;;0.82;1.4;;0.04;;;4.31;;;;4.35;0.08;;0.08;;4.89;10.72
Q24;2024;050000223;050000108;2000;;;0.01;0.01;0.1;1.54;;3.79;1.06;;;;6.49;;;;0.12;0;6.62
Q24;2024;050000223;050000108;2100;;;0.01;0.01;0.1;1.54;;3.79;1.06;;;;6.49;;;;0.12;0;6.62
Q24;2024;050000223;050000108;9999;0.58;;0.83;1.41;0.1;1.58;;3.79;5.37;;;;10.84;0.08;;0.08;0.12;4.89;17.34
Q24;2024;050000231;050000116;1000;3.82;;38.31;42.13;0.93;13.72;0.78;8.4;9.16;0.25;0.24;0.44;33.92;;1.3;1.3;2.19;54.5;134.04
Q24;2024;050000231;050000116;2000;0.1;;34.8;34.9;2.75;117.2;20.73;76.13;40.27;5.32;14.1;7.52;284.02;3.93;0.5;4.43;39.51;8.07;370.93
Q24;2024;050000231;050000116;2100;;;32.41;32.41;2.08;92.45;20.73;64.46;31.72;1.21;14.1;3.87;230.62;1;0.2;1.2;39.51;8.07;311.81
Q24;2024;050000231;050000116;2200;;;1.93;1.93;0.59;21.77;;0.33;1;2.66;;1;27.35;2.93;;2.93;;;32.21
Q24;2024;050000231;050000116;2400;;;;;;0.16;;;;;;1.5;1.66;;;;;;1.66
Q24;2024;050000231;050000116;2500;0.1;;0.46;0.56;0.08;2.82;;11.34;7.55;1.45;;1.15;24.39;;0.3;0.3;;;25.25
Q24;2024;050000231;050000116;9999;3.92;;73.11;77.03;3.68;130.92;21.51;84.53;49.43;5.57;14.34;7.96;317.94;3.93;1.8;5.73;41.7;62.57;504.97
Q24;2024;050000256;050000124;1000;1;0.1;24.13;25.23;0.77;0.82;;2.04;1.18;;;1.05;5.86;;0.83;0.83;0.06;44.3;76.28
