"FI";"FI_EJ";"AN";"LIT_MED";"LIT_CHI";"LIT_OBS";"LIT_MCO";"SEJHC_MED";"SEJHC_CHI";"SEJHC_OBS";"SEJHC_MCO";"JOU_MED";"JOU_CHI";"JOU_OBS";"JOU_MCO";"PLA_MED";"PLA_CHI";"PLA_OBS";"PLA_MCO";"SEJHP_MED";"SEJHP_CHI";"SEJHP_OBS";"SEJHP_MCO";"SEANCES_MED";"SPED";"UGER";"UNV";"USURV";"CAP_HC_GEN";"CAP_HC_INF";"CAP_HC_PEN";"CAP_HC_TOT";"SEJ_HTP_GEN";"SEJ_HTP_INF";"SEJ_HTP_PEN";"SEJ_HTP_TOT";"CAP_HDJ_GEN";"CAP_HDJ_INF";"CAP_HDJ_PEN";"CAP_HDJ_TOT";"VEN_HDJ_GEN";"VEN_HDJ_INF";"VEN_HDJ_PEN";"VEN_HDJ_TOT";"CAP_HDN_GEN";"CAP_HDN_INF";"CAP_HDN_TOT";"VEN_HDN_GEN";"VEN_HDN_INF";"VEN_HDN_TOT";"NB_CATTP_GEN";"NB_CATTP_INF";"NB_CATTP_TOT";"ACT_CATTP_GEN";"ACT_CATTP_INF";"ACT_CATTP_TOT";"NB_CMP_CONSULT_GEN";"NB_CMP_CONSULT_INF";"NB_CMP_CONSULT_TOT";"ACT_CMP_CONSULT_GEN";"ACT_CMP_CONSULT_INF";"ACT_CMP_CONSULT_TOT";"FIL_AMB_GEN";"FIL_AMB_INF";"FIL_AMB_PEN";"FIL_AMB_TOT";"FIL_TOT_GEN";"FIL_TOT_INF";"FIL_TOT_PEN";"FIL_TOT_TOT";"NB_USMP_1";"ACT_PEN";"NB_UHSA";"NB_SMPR";"NB_USMP_2";"LIT_SSR";"SEJHC_SSR";"JOUHC_SSR";"PLA_SSR";"JOUHP_SSR";"LIT_USLD";"ENT";"JOU_USLD";"PLATOT_HAD";"SEJ_HAD";"JOU_HAD";"FIL_HAD";"AUTGEN";"PASSU_GEN";"AUTPED";"PASSU_PED";"GEN";"PED";"ANT";"SAMU";"REA";"SEJ_REASI";"SEJ_SURV";"CPPR";"TYPE1";"SEJACC";"TYPE2";"SEJ_NEO";"TYPE3";"SEJ_REA";"TRT_HEMO_CENTRE";"SEAN_HEMO_CENTRE";"TRT_INSUFF_REN";"SEM_TRT_INSUFF_REN";"CHIMIO";"SEAN_CHIMIO";"RTH";"SEAN_RADIO";"CHIRCAR";"CARDIO_INT";"NEUROCHIR";"NEURO_INT";"GREFFE";"AMP";"PRIS";"EFFSAL_SPEMED";"EFFSAL_DT_MEDGEN";"EFFSAL_DT_URG";"EFFSAL_DT_ANESTREA";"EFFSAL_SPECHI";"EFFSAL_DT_GYNOBS";"EFFSAL_PSY";"EFFSAL_ODON";"EFFSAL_PHARMA";"EFFSAL_AUT";"EFFSAL_TOT";"EFFLIB_SPEMED";"EFFLIB_DT_MEDGEN";"EFFLIB_DT_URG";"EFFLIB_DT_ANESTREA";"EFFLIB_SPECHI";"EFFLIB_DT_GYNOBS";"EFFLIB_PSY";"EFFLIB_ODON";"EFFLIB_PHARMA";"EFFLIB_AUT";"EFFLIB_TOT";"ETPSAL_SPEMED";"ETPSAL_DT_MEDGEN";"ETPSAL_DT_URG";"ETPSAL_DT_ANESTREA";"ETPSAL_SPECHI";"ETPSAL_DT_GYNOBS";"ETPSAL_PSY";"ETPSAL_ODON";"ETPSAL_PHARMA";"ETPSAL_AUT";"ETPSAL_TOT";"EFF_INT";"ETP_INT";"EFFPNM_SAG";"EFFPNM_CAD";"EFFPNM_INFAVECSPE";"EFFPNM_INFSANSSPE";"EFFPNM_AID";"EFFPNM_ASH";"EFFPNM_PSYCHO";"EFFPNM_REEDU";"EFFPNM_SOINS";"EFFPNM_DIR";"EFFPNM_DIRSOI";"EFFPNM_AUTADM";"EFFPNM_EDU";"EFFPNM_DTSOC";"EFFPNM_PERSPHARMA";"EFFPNM_PERSLABO";"EFFPNM_PERSRADIO";"EFFPNM_AUTMEDTEC";"EFFPNM_TEC";"EFFPNM_TOT_HORS_SOINS";"EFFPNM_TOT_PNM";"ETPPNM_SAG";"ETPPNM_CAD";"ETPPNM_INFAVECSPE";"ETPPNM_INFSANSSPE";"ETPPNM_AID";"ETPPNM_ASH";"ETPPNM_PSYCHO";"ETPPNM_REEDU";"ETPPNM_SOINS";"ETPPNM_DIR";"ETPPNM_DIRSOI";"ETPPNM_AUTADM";"ETPPNM_EDU";"ETPPNM_DTSOC";"ETPPNM_PERSPHARMA";"ETPPNM_PERSLABO";"ETPPNM_PERSRADIO";"ETPPNM_AUTMEDTEC";"ETPPNM_TEC";"ETPPNM_TOT_HORS_SOINS";"ETPPNM_TOT_PNM";"BIOGENSPE";"MICROBIO";"HEMATO";"IMMUNO";"GENE";"ASSISTMED";"ANOTO";"PHARMA_A7";"PHARMA_B7";"PHARMA_C7";"PHARMA_D7";"PHARMA_E7";"PHARMA_A11";"PHARMA_A20";"PHARMA_A26";"NB_SCAN";"NB_IRM";"NB_CAM";"NB_TOMO";"NB_MAMM";"NB_LITHO";"NB_RADIO";"NB_VASC";"ACT_SCAN";"ACT_IRM";"ACT_CAM";"ACT_TOMO";"ACT_MAMM";"ACT_LITHO";"ACT_RADIO";"ACT_VASC";"SAL_INTERV";"SALTOT24";"SALAMBU";"ACT_BLOCS";"SURV_TOT";"POST_REVEIL"
"110005311";"340000264";"2024";;;;;;;;;;;;;;;;;;;;;6667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;;;;;;;;;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0,45;0;0;0;0;0;0;0;0;0;0,45;;;0;1;0;9;0;0;1;1;12;0;0;2;1;1;0;0;0;1;0;4;16;0;0,59;0;8,69;0;0;0,25;0,28;9,81;0;0,04;0,6;0,19;0,19;0;0;0;0,91;0,12;1,86;11,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"110005394";"310025010";"2024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;65;646;20077;479;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0;;;;;;;;3;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2,2;2,2;0;0;0;0;0;0;0;0;2,2;;;0;0;0;16;8;0;1;2;27;2;0;4;1;1;0;0;0;0;0;7;34;0;0;0;12,55;8,69;0;0,2;1,4;22,84;2;0;4;1;1;0;0;0;0;0;7;29,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"110006137";"110780061";"2024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;11;8367;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0,3;0,3;0;0;0;0;0;0;0;0;0,3;;0;0;1;0;9;16;8;1;3;38;0;0;2;0;0;0;0;0;0;4;6;44;0;0,17;0;7,33;15,98;4,91;0,1;1,08;29,57;0;0;0,16;0;0;0;0;0;0;1,65;1,81;31,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"110007580";"110780061";"2024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"110007598";"110780061";"2024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"110007630";"110008810";"2024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;40;422;12222;10;3132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;5;4;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;2,66;2,41;0;0;0;0;0;0;0;0;2,66;;;0;1;0;10;14;2;1;6;34;2;0;9;3;1;0;0;0;0;2;16;50;0;0,99;0;9,47;13,84;2,35;0,64;5,11;32,4;1,4;0;6,55;2,59;0,5;0;0;0;0;1,59;12,13;44,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"110010535";"340000264";"2024";;;;;;;;;;;;;;;;;;;;;735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;405;0;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0,04;0;0;0;0;0;0;0;0;0;0,04;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06;0;0;0;0;0,01;0;0,07;0;0,01;0,12;0,02;0,02;0;0;0;0,19;0,01;0,35;0,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"110780152";"110000064";"2024";;;;;;;;;;;;;;;;;;;;;;;;;;74;;;74;374;;;374;;;;;;;;;;;;;;;;;;;;;0;;0;0;;0;;;;;327;;;327;0;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;0;0;0;0;0;0;0;0;1;0;1;3;1;0;0;0;0;3;0;0;1;7;0;0;0;0;0;0;0;0;0,5;0;0,5;;;0;1;0;10;11;10;2;0;34;1;0;8;0;0;1;0;0;0;1;11;45;0;1;0;8,87;9,76;8,75;1,17;0;29,55;1;0;7,46;0;0;1;0;0;0;1;10,46;40,01;;;;;;;;;74;;;;1;0;0;;;;;;;;;;;;;;;;;;;;;;
"110780194";"330050899";"2024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;70;502;23635;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;3;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2,2;2,2;0;0;0;0;0;0;0;0;2,2;;;0;1;0;9;19;14;1;8;52;3;0;3;1;1;0;0;0;0;2;9;61;0;1;0;7,87;12,52;13,2;0,5;5,57;40,66;2,8;0;3;1;1;0;0;0;0;1,25;8,05;48,71;;;;;;;;;;68;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"110780202";"310021316";"2024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;87;927;30572;10;5391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;5;4;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;4,1;3,1;0;0;0;0;0;0;0;0;4,1;;;0;1;0;13;25;9;1;9;58;1;0;6;1;1;1;0;0;0;0;9;67;0;1;0;12,4;21,1;8,83;1;8,5;52,83;1;0;5,8;1;1;0,8;0;0;0;0;8,6;61,43;;;;;;;;;;87;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"110780228";"110000114";"2024";66;51;0;117;4976;3543;0;8519;21960;11966;0;33926;11;34;;45;2991;13051;0;16042;25170;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;34;375;10442;40;10115;;;;;;;;1;19026;0;;;;;;0;;1228;;;;;;;;1;11807;1;89;1;8107;0;0;0;0;0;0;0;;;26;14;8;0;0;0;0;0;5;1;32;34;0;6;5;31;0;0;0;0;0;65;8,84;5,06;2,65;0;0;0;0;0;3,86;0,6;13,3;2;2;0;11;10;192;118;40;3;13;387;2;1;49;3;3;16;0;0;0;21;92;479;0;8,68;9;138;84,43;29,25;3;12;284,36;2;1;41,75;2,88;2,88;11,88;0;0;0;18,66;78,17;362,53;;;;;;;;117;;34;;;1;1;1;2;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;9;;;23167;1;16
"110780236";"110780707";"2024";12;;;12;222;0;0;222;3953;0;0;3953;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;15;158;4326;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;4;1;0;0;0;0;0;0;0;0;4;8;8;0;0;0;0;0;0;0;0;8;2,25;1;0;0;0;0;0;0;0;0;2,25;;;0;1;0;9;11;8;1;5;35;0;0;2;1;1;0;0;0;0;2;5;40;0;0,5;0;7,87;10,47;7,86;0,26;2,4;29,36;0;0;1,5;0,2;0,2;0;0;0;0;1,4;3,1;32,46;;;;;;;;12;;15;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;
