FI;FI_EJ;AN;LIT_MED;LIT_CHI;LIT_OBS;LIT_MCO;SEJHC_MED;SEJHC_CHI;SEJHC_OBS;SEJHC_MCO;JOU_MED;JOU_CHI;JOU_OBS;JOU_MCO;PLA_MED;PLA_CHI;PLA_OBS;PLA_MCO;SEJHP_MED;SEJHP_CHI;SEJHP_OBS;SEJHP_MCO;SEANCES_MED;CONSULT_EXT;SPED;UGER;CAP_COMPLET_GEN;CAP_COMPLET_INF;CAP_COMPLET_PEN;CAP_COMPLET_TOT;SEJ_HTP_GEN;SEJ_HTP_INF;SEJ_HTP_PEN;SEJ_HTP_TOT;CAP_HDJ_GEN;CAP_HDJ_INF;CAP_HDJ_PEN;CAP_HDJ_TOT;VEN_HDJ_GEN;VEN_HDJ_INF;VEN_HDJ_PEN;VEN_HDJ_TOT;CAP_HDN_GEN;CAP_HDN_INF;CAP_HDN_TOT;VEN_HDN_GEN;VEN_HDN_INF;VEN_HDN_TOT;NB_CATTP_GEN;NB_CATTP_INF;NB_CATTP_PEN;NB_CATTP_TOT;ACT_CATTP_GEN;ACT_CATTP_INF;ACT_CATTP_PEN;ACT_CATTP_TOT;NB_CMP_GEN;NB_CMP_INF;NB_CMP_TOT;ACT_CMP_GEN;ACT_CMP_INF;ACT_CMP_TOT;FIL_AMB_GEN;FIL_AMB_INF;FIL_AMB_PEN;FIL_AMB_TOT;FIL_TOT_GEN;FIL_TOT_INF;FIL_TOT_PEN;FIL_TOT_TOT;LIT_SSR;SEJHC_SSR;JOUHP_SSR;PLA_SSR;LIT_USLD;ENT;PLATOT_HAD;SEJ_HAD;AUTGEN;PASSU_GEN;AUTPED;PASSU_PED;GEN;PED;ANT;SAMU;REA;SEJ_REANIM;TYPE1;SEJACC;TYPE2;SEJ_NEO;TYPE3;SEJ_REA;TRT_HEMO_CENTRE;SEAN_HEMO_CENTRE;TRT_INSUFF_REN;SEM_TRT_INSUFF_REN;CHIMIO;SEAN_CHIMIO;RTH;SEAN_RADIO;CHIRCAR;CARDIO_INT;NEUROCHIR;NEURO_INT;GREFFE;AMP;PRIS;EFFSAL_SPEMED;EFFSAL_DT_MEDGEN;EFFSAL_DT_URG;EFFSAL_DT_ANESTREA;EFFSAL_SPECHI;EFFSAL_DT_GYNOBS;EFFSAL_PSY;EFFSAL_ODON;EFFSAL_PHARMA;EFFSAL_AUT;EFFSAL_TOT;EFF_INT;EFFLIB_SPEMED;EFFLIB_DT_MEDGEN;EFFLIB_DT_URG;EFFLIB_DT_ANESTREA;EFFLIB_SPECHI;EFFLIB_DT_GYNOBS;EFFLIB_PSY;EFFLIB_ODON;EFFLIB_PHARMA;EFFLIB_AUT;EFFLIB_TOT;ETPSAL_SPEMED;ETPSAL_DT_MEDGEN;ETPSAL_DT_URG;ETPSAL_DT_ANESTREA;ETPSAL_SPECHI;ETPSAL_DT_GYNOBS;ETPSAL_PSY;ETPSAL_ODON;ETPSAL_PHARMA;ETPSAL_AUT;ETPSAL_TOT;ETPINT;EFF_SAG;EFF_CAD;EFF_INFAVECSPE;EFF_INFSANSSPE;EFF_AID;EFF_ASH;EFF_PSYCHO;EFF_REEDU;EFF_SOINS;EFF_DIR;EFF_DIRSOI;EFF_AUTADM;EFF_EDU;EFF_DTSOC;EFF_PERSPHARMA;EFF_PERSLABO;EFF_PERSRADIO;EFF_AUTMEDTEC;EFF_TEC;EFF_TOT_HORS_SOINS;EFF_TOT_PNM;ETP_SAG;ETP_CAD;ETP_INFAVECSPE;ETP_INFSANSSPE;ETP_AID;ETP_ASH;ETP_PSYCHO;ETP_REEDU;ETP_SOINS;ETP_DIR;ETP_DIRSOI;ETP_AUTADM;ETP_EDU;ETP_DTSOC;ETP_PERSPHARMA;ETP_PERSLABO;ETP_PERSRADIO;ETP_AUTMEDTEC;ETP_TEC;ETP_TOT_HORS_SOINS;ETP_TOT_PNM;BIOGENSPE;MICROBIO;HEMATO;IMMUNO;GENE;ASSISTMED;ANOTO;PHARMA_A11;PHARMA_A20;PHARMA_A26;NB_SCAN;ACT_SCAN;NB_IRM;ACT_IRM;NB_CAM;ACT_CAM;NB_TOMO;ACT_TOMO;SAL_INTERV;POST_REVEIL
150000180;150780500;2022;25;;;25;345;0;0;345;6193;0;0;6193;;;;;0;0;0;0;;1410;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;248;0;;30;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;;;1;1;;;1;;6;;;;;;;;;;;;;2.01;0.81;;;0.2;0.2;;;0.73;;2.94;0.33;;2;;19;47;25;2;5;100;1;1;17;2;1;2;;2;;41;66;166;;2;;16.16;35.98;15.21;0.19;3.14;72.68;1;1;14.67;0.67;0.42;2;;1.06;;31.87;52.27;124.95;;;;;;;;1;1;0;;;;;;;;;;
150780120;150000065;2022;10;0;0;10;327;0;0;327;1258;0;0;1258;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;349;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;0;;;;;;;;;;;;;1;1;;;;;;;;;1;0;;;;7;8;8;;3;26;2;1;3;1;1;;;1;;6;14;40;;;;7.5;7.5;6.5;;1.72;23.22;2;1;3;0.8;0.8;;;0.4;;6;13.2;36.42;;;;;;;;1;1;0;;;;;;;;;;
160000188;160000121;2022;12;;;12;174;0;0;174;2924;0;0;2924;3;;;3;63;0;0;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;385;1400;7;53;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;1;;4;;;;;;;;;;;;;2.45;2.45;;;;;;;1;;3.45;;;7;;35;60;28;2;13;145;1;;15;4;2;3;;;;46;69;214;;6.55;;29;54.58;24.5;0.91;7.63;123.17;0.8;;14;1.62;0.96;2.11;;;;43.47;62;185.17;;;;;;;;1;1;0;;;;;;;;;;
160000303;160006037;2022;53;;;53;2136;0;0;2136;14835;0;0;14835;6;;;6;396;0;0;396;;24876;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;112;865;1222;5;80;37;;;1;9178;0;;1;0;0;0;1;621;0;;0;;0;;;;;;0;;0;;0;0;0;0;0;0;0;31;4;11;;;;;;4;;35;;;;;;;;;;;;;25.29;4;8.15;;;;;;2.95;;28.24;;;8;;68;105;58;7;29;275;3;;53;3;3;7;9;7;;56;138;413;;6.92;;65.05;98.27;54.93;3.91;23.61;252.69;2.92;;47.92;2.08;2.08;5.88;7.46;6.53;;53.64;126.43;379.12;;;;;;;;1;1;0;1;0;;;;;;;2;3
160000311;160000485;2022;27;;;27;2646;0;0;2646;8855;0;0;8855;2;;;2;219;0;0;219;;36663;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;281;0;0;30;46;;;1;11272;0;;1;0;0;0;1;158;;;;;;;;;;;0;;0;;0;0;0;0;0;;;24;1;13;;1;;;;2;;27;;;;;;;;;;;;;16.55;0.24;9.06;;0.3;0.1;;;1.31;;18.16;3.52;;3;2;43;58;24;2;4;136;2;;32;2;1;4;;8;1;26;75;211;;3.53;1.84;40.9;55.23;23.83;1.18;3.85;130.36;0.86;;31.84;1.48;0.85;3.67;;7.38;1.5;24.88;71.61;201.97;;;;;;;;1;1;0;1;0;;;;;;;;
160000337;160000493;2022;28;0;0;28;2559;0;0;2559;8353;0;0;8353;0;0;0;0;0;0;0;0;;22533;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;238;0;;;;;;1;10283;0;;1;0;0;0;1;798;;;;;;;;;;;0;;0;;0;0;0;0;0;;;11;6;;;1;;;;1;;13;;;;;;;;;;;;;5.45;2.09;;;0.57;;;;1.01;;7.03;0.89;;2;1;44;46;23;2;5;123;1;;28;2;1;4;;7;;17;59;182;;2;1;37.59;42.35;20.32;1.26;4;108.52;0.25;;25.09;1.17;0.67;3.36;;6.47;;15.78;52.12;160.64;;;;;;;;1;1;0;1;0;;;;;;;2;2
160000360;160014411;2022;10;;;10;152;0;0;152;2604;0;0;2604;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;56;0;;51;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;3;;;;;;;;;;;;;2.83;2.83;;;;;;;;0.51;3.34;;;2;;20;37;25;3;2;89;;;2;2;;1;;;;6;11;100;;1.14;;19.96;34.25;19.69;4.17;1.7;80.91;0.4;;3.39;2.29;1;0.87;;;;5.48;12.43;93.34;;;;;;;;;;;;;;;;;;;;
170000079;170780142;2022;11;0;0;11;61;0;0;61;1627;0;0;1627;1;0;0;1;0;0;0;0;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;154;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;;;;;;;1;1;8;;8;8;;;;;;;;;8;1.94;1.94;;;;;;;0.6;0.1;2.64;;;1;;8;14;2;;2;27;;;10;;;1;;;;24;35;62;;1;;7.9;12.3;2;;1.5;24.7;;;9.4;;;1;;;;22.2;32.6;57.3;;;;;;;;1;1;0;;;;;;;;;;
170000178;170780266;2022;10;;;10;241;0;0;241;3492;0;0;3492;1;;;1;46;0;0;46;;315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;712;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;4;;;;;;;2;;7;;;;;;;;;;;;;4.47;3.47;;;;;;;1.1;;5.57;;;2;;19;54;25;1;5;106;1;1;12;3;1;2;;;;23;42;148;;1.98;;17.05;50.01;22.57;1;4.35;96.96;0.37;0.17;11.42;2.23;0.75;1.93;;;;25.04;41.16;138.12;;;;;;;;1;1;0;;;;;;;;;;
190000034;190000067;2022;15;;;15;217;0;0;217;3646;0;0;3646;;;;;0;0;0;0;;442;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;205;0;0;30;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;;;;;;1;;5;;1;1;;;;;;;;;1;2.5;1.5;;;;;;;1;;3.5;;;2;;22;27;14;1;3;69;1;;9;1;1;2;;;;18;31;100;;1.4;;19.04;25.53;11.89;0.14;2.01;60.01;0.2;;8.35;0.54;0.54;1.76;;;;16.84;27.69;87.7;;;;;;;;;;;;;;;;;;;;
210987582;210780631;2022;8;;;8;137;0;0;137;1979;0;0;1979;0;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;148;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;1;;3;;2;2;;;;;;;;;2;0.7;0.7;;;;;;;0.61;;1.31;;;1;;8;12;5;1;1;28;1;;1;2;1;2;;;;10;16;44;;1;;5.64;9.73;3.23;0.2;0.11;19.91;0.5;;1;1.3;0.5;0.12;;;;6.44;9.36;29.27;;;;;;;;1;1;0;;;;;;;;;;
210987665;210012142;2022;46;;;46;2122;0;0;2122;10678;0;0;10678;2;;1;3;6;0;16;22;;14629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;233;54;1;;;;;1;12243;0;;1;0;0;0;1;283;0;3;0;0;0;0;;;;;0;;0;;0;0;0;0;0;0;1;15;4;6;2;1;;;;3;5;24;;;;;;;;;;;;;12.07;4.46;5.44;1.06;0.15;0.1;;;2.5;0.71;15.43;1;2;5;;49;49;21;1;3;130;;;15;3;1;7;;8;;22;55;185;1.37;4.94;;45.19;44.76;20.37;0.9;3.21;120.74;;;15.13;2.94;1;7.14;;7.18;;20.91;53.3;174.04;;;;;;;;1;1;0;1;0;;;;;;;;
210987673;210012142;2022;17;;;17;437;0;0;437;4601;0;0;4601;2;;;2;200;0;0;200;;6505;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;513;2084;8;30;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;3;;;1;;;;1;5;12;;;;;;;;;;;;;4.81;2.54;;;0.07;;;;1.5;2.35;8.73;1;1;2;1;38;57;20;2;6;127;;;30;3;1;1;;1;;35;70;197;0.43;2.44;1;38.27;54.39;17.42;1.93;4.75;120.63;0.26;;31.53;4.16;0.98;1;;0.67;;37.08;74.7;195.33;;;;;;;;;;;;;;;;;;;;
210987681;210012142;2022;25;;;25;630;0;0;630;6052;0;0;6052;2;;;2;7;0;0;7;;7906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;393;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;5;;;1;;;;;;8;;;;;;;;;;;;;2.87;2.39;;;0.02;;;;;;2.89;1.52;;1;;19;28;11;1;2;62;;;6;2;;;;2;;7;17;79;;0.91;;18.13;26.37;9.91;0.7;0.84;56.86;;;5.47;2.28;0.36;;;1.66;;7.16;16.57;73.43;;;;;;;;;;;;;;;;;;;;
220000236;220017974;2022;10;;;10;172;0;0;172;1414;0;0;1414;;;;;0;0;0;0;;;;;161;;;161;1147;;;1147;;;;;;;;;7;;7;0;;0;;;;;;;;;4;1;5;1636;284;1920;1222;22;;1244;2060;102;;2162;27;268;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;7;;3;;;10;;2;1;24;;;;;;;;;;;;;6.23;6.12;;0.01;;;8.67;;1.15;0.05;16.1;;;13;;161;67;68;12;18;339;9;1;74;22;9;7;;;;67;180;519;;10.58;;147.88;52.34;55.34;4.65;13.06;283.85;6.65;1;61.02;13.82;3.61;4.97;;;;63.79;151.25;435.1;;;;;;;;1;1;0;;;;;;;;;;
220000541;220000152;2022;87;;;87;4263;0;0;4263;25820;0;0;25820;8;;;8;910;0;0;910;765;42523;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57;568;6002;22;;;10;154;1;15215;0;;1;0;0;0;1;104;0;0;0;0;0;0;;;;;1;765;0;;0;0;0;0;0;0;1;41;9;14;1;;;;;4;2;47;;;;;;;;;;;;;31.46;7.64;10.8;0.4;;;;;2.82;3;37.28;4.83;4;8;1;120;153;54;3;14;357;2;1;71;6;4;9;17;11;1;66;184;541;2.92;7.13;1.01;108.56;128.28;40.75;2.19;10.88;301.72;2;0.97;61.74;3.33;2.98;7.06;14.84;11.86;0.8;69.81;172.41;474.13;;;;;;;;1;1;0;1;;;;;;;;1;3
220001259;220005045;2022;30;;;30;444;0;0;444;7526;0;0;7526;5;;;5;263;0;0;263;;6354;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;252;1739;10;60;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;6;;;;;;;4;;12;;;;;;;;;;;;;7.22;6.02;;;;;;;3.61;;10.83;0.83;;5;;61;99;34;7;18;224;;;33;4;3;10;;1;;78;126;350;;4.59;;49.14;85.16;24.14;4.05;11.8;178.88;;;27.23;2.11;1.59;8.19;;1.83;0.06;74.18;113.6;292.48;;;;;;;;1;1;0;;;;;;;;;;
230000846;230780066;2022;20;0;0;20;414;0;0;414;4862;0;0;4862;6;0;0;6;5;0;0;5;;14478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;404;0;;30;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;10;;;2;1;;;1;1;18;;;;;;;;;;;;;6.93;5.84;;;0.46;0.2;;;0.58;0.8;8.77;;;3;;31;51;18;2;3;108;1;;21;1;1;3;;3;1;37;67;175;;2.83;;26.44;44.42;14.04;1.1;3;91.83;1;;18.13;1;1;3;;1.95;0.83;34.28;60.19;152.02;;;;;;;;1;0;0;;;;;;;;;;
230780082;750005068;2022;34;;;34;1115;0;0;1115;7979;0;0;7979;9;;;9;1681;0;0;1681;2554;11452;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;131;1642;1550;20;;;;;;;;;;;;;1;167;;;;;;;;;;;1;2554;0;;0;0;0;0;0;;;18;3;;;;;1;;2;1;22;;;;;;;;;;;;;12;3.42;;;;;0.19;;1.52;0.34;14.05;4.84;;6;;85;69;43;3;14;220;2;1;44;2;2;5;2;5;;68;129;349;;3.29;;61.81;45.35;23.48;1.42;12.43;147.78;1.3;1;32.35;1.53;1.53;4.52;1.94;2.33;;54.33;99.3;247.08;;;;;;;;1;1;0;;;;;;;;;;
