1er jour de la semaine,Semaine,Classe d'âge,Taux de passages aux urgences pour COVID-19,Taux d'hospitalisations après passages aux urgences pour COVID-19,Taux d'actes médicaux SOS médecins pour COVID-19
2021-02-22,2021-S08,00-04 ans,223.88517451,636.13231552,688.99802096
2021-02-22,2021-S08,65 ans ou plus,5264.3643032,9059.4882021,3034.7349177
2021-02-22,2021-S08,Tous âges,2907.5965094,7534.3830975,3832.8625518
2021-03-01,2021-S09,00-04 ans,235.19419854,542.40631164,694.93245881
2021-03-01,2021-S09,05-14 ans,169.84849514,77.279752705,3329.3341332
2021-03-01,2021-S09,Tous âges,2987.1637558,7815.9383201,3920.9440602
2021-03-15,2021-S11,05-14 ans,320.59613552,295.63932003,4492.1220248
2021-03-15,2021-S11,65 ans ou plus,6181.5146456,10039.14271,3421.7877095
2021-03-29,2021-S13,05-14 ans,371.1952487,509.09090909,5319.8807613
2021-04-05,2021-S14,05-14 ans,421.24390848,684.34559453,3680.5988771
2021-04-19,2021-S16,00-04 ans,390.45069166,673.02299495,811.39007961
2021-04-19,2021-S16,05-14 ans,176.94104324,405.00736377,3426.4257217
2021-04-19,2021-S16,Tous âges,4050.659969,10389.126214,4569.0854507
2021-04-26,2021-S17,15-64 ans,3831.9895832,10699.932354,4931.4813088
2021-04-26,2021-S17,65 ans ou plus,4979.4140462,8422.1748401,2443.3793816
2021-05-03,2021-S18,05-14 ans,200.52709981,447.50430293,3557.6923077
2021-05-10,2021-S19,00-04 ans,220.45560826,302.11480363,961.96668745
2021-05-10,2021-S19,05-14 ans,206.57873828,222.79985147,3493.3215911
2021-05-10,2021-S19,15-64 ans,2041.8211848,5753.0651577,3899.1481333
2021-05-10,2021-S19,Tous âges,1733.2320757,4440.0908762,2874.1890462
2021-05-17,2021-S20,05-14 ans,205.70085219,267.73761714,4254.4678581
2021-05-17,2021-S20,65 ans ou plus,1753.4026071,3125.818277,1104.1309728
2021-05-31,2021-S22,00-04 ans,74.70268332,167.54427956,670.08963537
2021-06-07,2021-S23,05-14 ans,82.924168031,61.199510404,1812.6177024
2021-06-14,2021-S24,15-64 ans,501.38357131,1373.502994,1368.806632
2021-06-14,2021-S24,65 ans ou plus,517.33126579,1008.1735203,504.41361917
2021-06-21,2021-S25,00-04 ans,32.645954622,48.567265663,187.53281824
2021-06-21,2021-S25,65 ans ou plus,400.77082053,759.36550793,289.82610434
2021-06-28,2021-S26,65 ans ou plus,337.88951152,659.37008401,304.59945172
2021-07-05,2021-S27,65 ans ou plus,345.58549094,615.1142355,612.75740834
2021-07-12,2021-S28,Tous âges,626.14007296,1182.1759221,2258.9398611
2021-07-19,2021-S29,15-64 ans,1635.7035655,3260.3578154,4674.8754485
