BOR;AN;FI;FI_EJ;PSY_A22;PSY_A23;PSY_A24;PSY_A25;PSY_A26;PSY_A27;PSY_A28;PSY_B23;PSY_B24;PSY_B25;PSY_B26;PSY_B27;PSY_B28;PSY_C22;PSY_C23;PSY_C24;PSY_C25;PSY_C26;PSY_C27;PSY_C28;PSY_D22;PSY_D23;PSY_D24;PSY_D25;PSY_D26;PSY_D27;PSY_D28;PSY_E22;PSY_E23;PSY_E24;PSY_E25;PSY_E26;PSY_E27;PSY_E28;PSY_A38;PSY_B38;PSY_A39;PSY_B39;PSY_A40;PSY_B40;PSY_A41;PSY_B41;PSY_A42;PSY_B42;PSY_A43
PSY2;2019;060781929;060000858;774;;;;;;;;;;;;;28084;;;;;;;2066;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;060785003;060785011;486;45;3;;2;106;16;;;;;;;13283;3158;397;;5;5216;719;6788;514;17;;;663;23;25569;814;118;;;324;20;1;4.5;0;;0;;;;;;0
PSY2;2019;060800174;;4910;;;0;;;;;;;;;;5436;;;0;;;;10184;;;;;;;43938;;;;;;;1;;0;;1;;;;;;
PSY2;2019;070005046;260003264;1241;6;;;2;21;17;6;;;2;21;17;;;;;;;;2231;;;;;;;15189;133;;;15;150;201;0;;0;;0;;0;;0;;0
PSY2;2019;070780317;630786754;10027;77;3;;7;398;190;85;3;;10;444;204;52195;5255;511;;46;18449;4046;17659;217;;;;455;313;82857;413;;;11;1143;559;1;0.78;1;38.02;0;;0;;0;;0
PSY2;2019;080000318;080000086;7291;31;2;1;11;226;238;32;2;1;17;238;267;47659;1069;402;12;143;7472;5838;17229;157;8;;;444;159;81159;636;59;20;;2569;1708;1;0.55;1;36.73;1;5;0;;0;;0
PSY2;2019;090000183;090781816;4798;59;2;0;4;158;65;45;5;0;2;134;63;20288;2955;351;0;9;6771;2613;6590;254;260;0;0;468;286;42145;621;49;0;0;853;66;1;;1;0.86;1;2;0;;0;;0
PSY2;2019;100000108;100000033;8741;68;10;3;13;211;55;49;10;3;9;183;46;45586;2642;618;43;46;7309;1538;11699;1078;458;0;;844;427;101773;2068;48;0;200;2421;542;1;1.1;1;40.38;1;23.66;0;;0;;0
PSY2;2019;110002953;110780137;375;14;0;0;0;106;17;21;;;;74;19;9436;1164;;;;3574;784;3704;;;;;;;;;;;;;;1;;0;;1;;0;0;0;0;0
PSY2;2019;110780152;110000064;404;;;;;;;;;;;;;25148;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;110786324;;7070;90;;;;235;43;60;;;;198;37;36332;3446;;;;9510;1600;12397;152;;;;142;;60137;810;;;;1272;123;1;1.1;1;3.73;1;29.64;0;;0;;0
PSY2;2019;120000039;120780044;1605;;;1;;;;;;1;;;;1976;;;35;;;;3311;;;;;;;17459;;;;;;;0;;0;;1;;0;;0;;0
PSY2;2019;120004569;120004528;1817;;;;;;;;;;;;;7565;;;;;;;7028;;;;;;;30565;;;;;;;1;1.8;0;;1;3.9;0;;0;;0
PSY2;2019;120780283;630786754;9272;68;2;;6;240;209;34;2;;4;230;202;73651;1319;429;;36;6923;4911;12525;112;47;;;153;30;125119;3593;51;;32;2433;842;0;;1;5.95;0;;0;;0;;0
PSY2;2019;130000235;130780554;11059;94;6;4;30;282;157;116;16;6;51;328;175;53673;8195;3279;154;406;10883;4625;24624;298;551;0;0;312;47;226062;2652;2000;13;31;2457;1025;1;2.77;0;;1;26.4;0;;0;;0
PSY2;2019;130000433;130781131;18938;174;2;1;59;601;247;254;2;2;88;918;354;66129;5286;725;44;438;18270;7834;21544;279;;;;1249;324;205184;2101;;1;1951;4177;1020;1;2.54;1;25.09;1;29.26;0;;0;;0
PSY2;2019;130002496;130786494;9315;64;7;1;18;213;128;123;12;1;16;228;139;29988;2441;812;0;102;4498;3155;27647;708;37;0;0;402;18;202553;2128;99;9;29;2375;1162;1;2.23;1;7.06;1;21.54;0;;;;0
PSY2;2019;130002827;130789274;3257;17;;;;49;16;7;;;;14;3;7746;9;;;;25;10;2567;;;;;;;44812;14;;;5;151;17;1;;1;0.2;1;9.5;0;;0;;0
PSY2;2019;130780273;130000151;392;;;;;;;;;;;;;24936;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;130780521;130786049;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;1
PSY2;2019;130781065;130000417;737;0;0;0;0;0;0;0;0;0;0;0;0;26242;0;0;0;0;0;0;4535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;;0
PSY2;2019;130781479;130000599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0.5;0;;0;;0;;0;;0
PSY2;2019;130781594;130010648;202;;;;;;;;;;;;;31403;;;;;;;893;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;130783236;130786049;1091;52;7;0;19;165;67;56;7;0;19;173;71;22446;2818;439;0;264;5985;2304;7782;149;52;0;0;2;0;83660;359;2;0;67;1240;539;0;;0;;0;;0;;0;;0
PSY2;2019;130783764;920030269;1375;;;;;;;;;;;;;97027;;;;;;;3377;;;;;;;;;;;;;;0;;1;;0;;0;;0;;
PSY2;2019;130784085;920030921;1170;;;;;;;;;;;;;77444;;;;;;;9613;;;;;;;;;;;;;;0;;0;;1;28.35;0;;0;;
PSY2;2019;130784234;130786049;1001;52;1;0;23;194;53;49;1;0;24;211;58;15205;3751;298;0;743;7444;2581;7666;354;0;0;203;134;0;135278;12;0;0;6;101;0;0;;0;;1;43.13;0;;1;;0
PSY2;2019;130784291;130001696;446;;;;;;;;;;;;;29490;;;;;;;;;;;;;;;;;;;;;0;;0;;1;27.64;0;;0;;0
PSY2;2019;130784606;130001860;1035;;;;;;;;;;;;;74173;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;130784697;130001902;294;;;;;;;;;;;;;35887;;;;;;;11937;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;130786015;130002322;229;;;;;;;;;;;;;31334;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;130786742;750821092;1581;;;;;;;;;;;;;8008;;;;;;;1385;;;;;;;;;;;;;;1;3;;;;;0;;0;;0
PSY2;2019;130786890;130001688;78;;;;;;;;;;;;;2304;;;;;;;2716;;;;;;;;;;;;;;0;;0;;1;22.78;0;;0;;0
PSY2;2019;130786973;130002702;234;;;;;;;;;;;;;26754;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;;;0
PSY2;2019;130790157;130789316;6840;50;11;0;0;245;41;9;3;0;0;131;33;15789;1785;541;0;0;8199;1123;12623;264;0;0;0;775;19;77864;1045;146;0;0;3316;477;1;6.54;1;4;1;0.62;0;;0;;0
PSY2;2019;130798002;130004807;1004;;;;;;;;;;;;;73263;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;130804032;;49;;;;;;;;;;;;;;;;;;;;1866;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;130806011;750720534;395;;;;;;;;;;;;;23974;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;140000209;140000100;4601;35;;;;30;10;125;;;;90;51;11308;197;;;;1495;512;760;219;;;;17;9;34967;15;;;;1;27;1;;0;;1;;1;16.7;0;;0
PSY2;2019;140000233;140000118;30;2;;;;;;1;;;;;;;;;;;;;2477;163;;;;;;582;19;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;140000373;140000159;1136;8;;1;;7;2;;;;;;;1611;120;;;;;;626;;;;;2;;5232;39;;3;;18;8;1;;0;;0;;0;;0;;0
PSY2;2019;140000456;140000316;16240;150;7;;61;235;210;155;8;;82;258;244;65581;13544;1030;;503;7882;6387;27067;2174;67;;1;874;378;129816;1688;244;;12;786;355;1;2;1;2.76;1;19.17;0;;1;24.8;0
PSY2;2019;140004136;140000092;3309;19;;;;32;16;5;;;;28;16;10279;331;;;;514;162;9233;75;;;;;;44207;187;;;;24;;1;;0;;0;;0;;0;;0
PSY2;2019;140004383;140000100;1418;;;;;;;;;;;;;2779;;;;;;;1021;;;;;;;12191;;;;;;;1;;0;;1;;0;;0;;0
PSY2;2019;150000040;150780096;4359;37;;;;140;61;21;;;;150;64;25710;718;;;;5283;2245;16375;317;;;;1416;572;47721;639;;;;1244;163;1;10.4;1;1;0;;0;;0;;0
PSY2;2019;150780773;150780088;739;5;;;;36;0;3;;;;30;0;4302;37;;;;1347;0;1854;223;;;;1039;0;6151;28;;;;170;0;1;0.02;0;;0;;0;;0;;0
PSY2;2019;150780823;150780096;138;;;;;;;;;;;;;1881;;;;;;;17423;;;;;;;;;;;;;;1;0.49;;;0;;0;;0;;0
PSY2;2019;150782944;150002566;63;;;;;;;;;;;;;8882;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;160000345;160000501;1087;97;5;0;8;240;147;109;5;0;10;268;169;64227;5755;1283;0;52;5503;2558;;;;0;0;0;0;100651;1243;42;0;26;1751;942;1;0.63;1;1.3;1;13.2;0;;0;;0
PSY2;2019;160008231;160001038;460;;;;;;;;;;;;;14094;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;170000103;170780175;1196;12;0;0;1;40;6;13;0;0;1;49;9;7365;1713;0;0;8;2389;111;2005;0;0;0;0;0;0;5316;14;0;0;0;12;0;1;1.88;0;;1;21.6;0;;0;;0
PSY2;2019;170020994;170780175;4192;9;0;0;0;13;1;9;0;0;0;13;1;0;0;0;0;0;0;0;6309;0;0;0;0;0;0;40243;604;0;0;0;389;43;0;;0;;0;;0;;0;;0
PSY2;2019;170780282;170000186;573;;;;;;;;;;;;;22122;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;170780290;170000194;802;;;;;;;;;;;;;31181;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;170782981;170024194;11969;51;;;432;348;70;23;1;;5;260;63;64996;3103;;;18;15282;1723;22280;93;;;;70;;90343;304;;;1138;1538;32;1;5;1;5.14;1;29.95;0;;0;;0
PSY2;2019;170783146;170780050;6208;22;;;1;73;22;22;;;1;73;36;9958;840;;;7;1782;245;8833;23;;;;17;;55795;;;;;;1;1;;1;4.9;1;4.37;0;;0;;0
PSY2;2019;170784086;330785072;39;;;;;;;;;;;;;3643;;;;;;;69;;;;;;;;;;;;;;0;;0;;1;25.92;0;;0;;0
PSY2;2019;180000176;180001158;1768;36;5;2;2;164;99;36;5;2;2;176;110;154158;1013;614;61;18;5385;2379;15202;38;0;0;0;289;4;0;0;0;0;0;0;0;1;0.25;1;28.43;1;33.37;0;;0;;0
PSY2;2019;180000382;180008518;474;0;0;0;0;0;0;0;0;0;0;0;0;12406;0;0;0;0;0;0;3044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;;0
PSY2;2019;180004533;580780971;11;;;;;;;;;;;;;;;;;;;;1240;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;190000026;190000059;2706;12;1;;6;54;7;13;1;;6;60;7;8302;120;;;;751;21;6058;;;;;;;15872;14;1;;7;31;40;0;;1;3.55;0;;0;;0;;0
PSY2;2019;190000117;;2836;102;5;;14;84;40;50;3;;14;57;31;28947;14462;1048;;378;5514;1956;7745;230;;;;240;212;24772;65;;;;143;104;1;1;1;31.31;0;;1;99.09;0;;0
PSY2;2019;190011601;190000042;4385;39;18;19;0;80;28;6;;;0;42;15;9221;412;0;13;0;2504;740;4816;183;0;30;0;180;129;32964;62;42;73;0;76;31;1;;1;2.5;0;;0;;0;;0
PSY2;2019;210013157;210780706;1486;28;;;;68;1;28;;;;71;1;8374;692;;;;1106;1;2168;339;;;;68;;7751;153;;;;35;;1;0.1;0;;1;7.79;0;0;0;0;0
PSY2;2019;210780425;210781282;74;;;;;;;;;;;;;;;;;;;;2487;;;;;;;393;;;;;;;0;;0;;1;4.8;0;;0;;0
PSY2;2019;210987558;210780581;3959;4;;;;67;11;5;;;;73;14;11669;1386;;;;4185;523;;;;;;;;;;;;;;;1;;1;;1;30.12;0;;0;;0
PSY2;2019;210987632;210780607;10471;34;9;0;28;366;189;18;6;0;31;330;147;56117;1357;1055;0;440;8229;4655;17396;0;;0;2;44;15;100720;148;;0;1;432;255;1;1;1;31.28;1;9.73;0;;1;12.05;0
PSY2;2019;220000210;;1421;31;;;;213;117;;;;;;;39499;1724;;;;5980;1351;17925;148;;;;417;206;104162;625;;;;704;180;1;0.83;1;21.18;1;7.57;0;;0;;0
PSY2;2019;220000236;220017974;2179;59;4;1;4;129;78;60;5;1;4;134;81;23095;8627;1140;33;1274;6056;1938;56;;;;;;;8412;10;;;;189;4;0;;0;;0;;1;77.67;0;;0
PSY2;2019;220000319;220000681;459;;;;;;;;;;;;;23072;;;;;;;2882;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;220000327;220000699;937;;;;;;;;;;;;;33110;;;;;;;10541;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;220012751;220017974;3277;14;;;;40;18;14;;;;40;18;;;;;;;;7925;76;;;;1;;34889;159;;;;52;33;0;;0;;0;;0;;0;;0
PSY2;2019;230000853;230780074;645;43;;;;89;49;56;;;;109;54;24443;1950;;;;2577;1133;18056;267;;;;187;79;39802;252;;;;445;268;0;;1;3.68;1;6.67;0;;0;;0
PSY2;2019;230780181;230000879;564;;;;;;;;;;;;;15698;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;240000463;240000083;9591;95;4;7;9;308;119;104;4;8;9;329;123;40762;3662;156;239;70;10345;3793;21396;242;0;1;0;603;176;120739;905;0;1;0;2229;728;1;0.4;1;2.19;0;;0;;0;;0
PSY2;2019;240000489;240000117;5074;27;3;2;3;76;24;31;1;1;5;81;35;13533;1180;125;27;59;1966;539;1280;;;;;;;53385;;;;;;;1;7.17;0;;1;35.37;0;;0;;0
PSY2;2019;240000646;240000265;362;;;;;;;;;;;;;86013;;;;;;;1386;;;;;;;;;;;;;;;;;;;;;;;;
PSY2;2019;240000687;240000448;171;29;;1;;27;8;32;;1;;31;8;8906;2006;;0;;1241;229;2050;270;;0;;162;0;7913;476;;12;;236;6;;;;;;;0;;0;;0
PSY2;2019;250000023;250000015;881;;;;;;;;;;;;;14854;;;;;;;;;;;;;;;;;;;;;;;;;1;1.89;0;;0;;0
PSY2;2019;250000619;250000452;1436;14;;;;77;3;18;;;;121;3;9536;617;;;;2221;83;2878;2;;;;326;1;12854;209;;;;1526;66;1;;0;;0;;0;;0;;0
PSY2;2019;250000718;250000460;8346;54;12;;9;261;66;57;12;;11;297;75;59215;2476;1179;;144;10882;2425;11701;3;;;;123;12;78521;539;274;;;1102;149;1;;1;;1;;0;;0;;0
PSY2;2019;250005196;250001013;12;;;;;;;;;;;;;;;;;;;;2746;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;250006954;250000015;2567;;;;988;;;;;;988;;;;;;;;;;;;;;;;;12748;;;;7045;;;1;1.4;0;;1;;1;;0;;0
PSY2;2019;250014008;700004096;2030;46;13;3;10;170;83;51;13;6;12;189;97;13171;2230;3686;121;271;4594;2090;2729;;;;;;;17579;67;;9;;82;87;1;0.93;0;;1;47.5;0;;0;;0
PSY2;2019;260000302;260000161;349;;;;;;;;;;;;;9084;;;;;;;;;;;;;;425;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;260000823;260003264;12047;62;12;10;7;498;436;140;40;10;8;962;800;40213;3027;2023;114;58;15751;12183;17068;676;366;0;0;1642;576;116787;1747;195;0;42;3103;2646;1;2.74;0;;0;;0;;0;;0
PSY2;2019;260005277;630786754;4687;22;3;;;106;49;22;3;;;106;49;;;;;;;;5354;39;182;;;44;;36134;157;5;;;555;140;1;0.3;0;;0;;0;;0;;0
PSY2;2019;270000573;270000219;15975;60;5;1;47;367;275;77;5;1;59;438;321;89852;482;290;922;424;6128;4159;12573;11;10;12;0;43;0;194381;152;53;550;8596;729;290;1;3.37;1;4.78;1;31.22;0;;0;;0
PSY2;2019;270025984;270029275;784;;;;;;;;;;;;;32253;;;;;;;5898;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;270027279;270027881;719;;;;;;;;;;;;;29724;;;;;;;4303;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;280000050;280000142;881;43;6;1;12;172;116;25;1;1;13;275;119;36365;2233;763;65;63;10012;3801;20056;109;0;0;0;520;187;35855;641;114;0;0;1793;834;1;4.18;1;34.58;0;0;0;0;0;0;0
PSY2;2019;280000084;280000183;541;17;;;;54;5;17;;;;55;5;14204;449;;;;2687;72;3656;;;;;;;13372;31;;;;152;;1;1;1;0.5;1;13.77;0;;0;;0
PSY2;2019;280000696;280000134;925;;;;;1;;;;;;1;;1135;;;;;29;;9091;;;;;;;6983;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;290000033;290021542;6947;43;9;;1;292;46;37;7;;1;249;84;52611;1852;1469;;6;7060;632;28277;79;134;;;872;;68433;809;19;;;1978;24;0;;1;23.59;0;;0;;0;;0
PSY2;2019;290000058;290000017;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;0;;0;;0
PSY2;2019;290000173;290000041;1850;3;;;;62;16;3;;;;66;17;10325;54;;;;1955;701;4886;;;;;190;;27828;;;;;;;1;;1;1;1;;0;;0;;0
PSY2;2019;290000363;920030269;708;;;;;;;;;;;;;28927;;;;;;;4055;;;;;;;;;;;;;;0;;1;21;0;;0;;0;;
PSY2;2019;290000728;750821092;1012;;;;;;;;;;;;;2911;;;;;;;1777;;;;;;;2381;;;;;;;1;2.5;0;;0;;0;;0;;0
PSY2;2019;290000736;290000991;727;;;;;;;;;;;;;23894;;;;;;;508;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;290000744;290001007;1377;;;;;;;;;;;;;44637;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;290000785;220020739;488;;;;;;;;;;;;;6512;;;;;;;;;;;;;;618;;;;;;;;;;;;;0;;0;;0
PSY2;2019;290000918;290000298;11266;66;4;0;0;267;94;72;4;;;288;108;57046;3913;406;;;7050;2087;29669;283;22;;;212;122;101985;885;96;;;1901;521;1;1.3;1;41.12;1;43.5;0;;0;;0
PSY2;2019;290000934;560005746;115;1;;;;;;1;;;;;;4934;67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
PSY2;2019;290003995;560005746;491;3;;;;;;1;;;;;;15515;62;;;;;;6265;44;;;;;;16247;405;7;;;154;9;;;;;;;0;;0;;0
PSY2;2019;290004324;290000017;258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;0;;0;;0
PSY2;2019;290004340;290000017;1260;47;9;;47;353;24;46;9;;35;313;23;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;0;;0;;0
PSY2;2019;2A0000287;2A0000386;5077;45;4;2;14;94;114;58;5;2;17;111;122;37997;5183;235;5;283;5169;3375;;;;;;;;;;;;;;;1;0.3;1;61.55;1;16.43;1;41.9;0;;0
PSY2;2019;2B0000012;2B0000020;3200;;;;;;;;;;;;;12350;;;;;;;3231;;;;;;;40800;;;;;;;1;1;0;;0;;0;;0;;0
PSY2;2019;2B0003016;2B0003990;234;;;;;;;;;;;;;17323;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;2B0003917;2B0003891;480;;;;;;;;;;;;;;;;;;;;15580;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;2B0004113;2B0000467;311;59;2;3;50;90;33;68;3;5;87;97;37;21815;4691;728;235;3558;4810;1654;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;300000023;300780046;4711;49;4;0;0;130;3;27;4;0;0;130;12;14209;1662;0;0;0;4031;262;4796;226;0;0;0;138;0;28991;232;7;0;0;436;0;1;1;0;;0;;0;;0;;0
PSY2;2019;300000080;300780103;8354;87;8;;45;347;104;67;8;;59;312;100;34655;3079;1193;;1228;10971;2790;19437;322;;;;931;194;89044;881;29;;27;3390;445;0;;1;34.14;0;;1;31.38;0;;0
PSY2;2019;300000296;;219;;;;;;;;;;;;;;;;;;;;1235;;;;;;;6256;;;;;;;0;0;0;0;0;0;0;0;0;0;0
PSY2;2019;300000387;;218;;;;;;;;;;;;;5326;;;;;;;4397;;;;;;;4143;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;300002128;300000247;163;;;;;;;;;;;;;14868;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;300780210;300000148;1262;;;;;;;;;;;;;45370;;;;;;;8399;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;300780244;920031747;414;;;;;;;;;;;;;24718;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;300780251;300000189;816;;;;;;;;;;;;;68771;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;300780269;300000197;951;;;;;;;;;;;;;34671;;;;;;;5215;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;300780384;750721334;241;;;;;;;;;;;;;534;;;;;;;2319;;;;;;;2571;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;300781424;300000692;341;;;;;;;;;;;;;21598;;;;;;;3974;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;300782117;300780038;6741;99;;;;328;44;;;;;;;11847;2282;;;;5650;540;7854;134;;;;127;;49792;746;;;;689;7;1;13.08;1;24.39;1;29.73;1;36.21;0;;0
PSY2;2019;310000369;310780754;13125;328;58;8;2;465;76;211;17;6;9;256;54;64544;18122;9526;187;7;23245;3285;29440;413;541;;;429;38;218119;2810;866;17;2;4453;333;0;;0;;0;;0;;1;;1
PSY2;2019;310018650;310781562;69;;;;;;;;;;;;;;;;;;;;;;;;;;;1446;;;;;;;0;0.11;0;;1;2.08;0;;0;;0
PSY2;2019;310780119;310000047;631;;;;;;;;;;;;;43608;;;;;;;1350;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;310780143;920031754;1056;;;;;;;;;;;;;45805;;;;;;;5712;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;310780358;310000146;763;;;;;;;;;;;;;37199;;;;;;;1678;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;310780390;310000187;726;;;;;268;;;;;;268;;58652;;;;;7630;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
