BOR;AN;FI;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;ACTCLI_PM;ACTCLI_SAG;ACTTEC_PM;ACTTEC_DEN;ACTTEC_SAG;ACTTEC_PNM
MCO;2019;010007300;010007292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2075;0;0;0;0;2;2075;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;010780195;010000156;68;24820;4303;1577;13233;69;25185;6116;399;17268;;;0;0;0;137;50005;10419;1976;30501;;0;;;3259;31;9973;;0;;;31;9973;;;3259;;;;;;;;;;;;;;;;;;;
MCO;2019;010780203;010010718;26;9490;3993;882;12511;46;16790;1944;163;6338;15;5475;740;13;3115;87;31755;6677;1058;21964;2;671;;;193;26;5251;;0;;;28;5922;;;193;;;;;;;;;;;;;;;;;;;
MCO;2019;010780294;690000278;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;9388;;0;;0;;;;0;;;9388;;;;;;;;;;;;;;;;;;;
MCO;2019;020000089;020000022;28;10220;1031;64;7533;0;0;0;0;0;0;0;0;0;0;28;10220;1031;64;7533;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;0;1;1;1;1;150;0;25;225;10104;0;4460;0;759;1169
MCO;2019;020000097;020000048;38;13870;769;6;10813;;;0;0;0;;;0;0;0;38;13870;769;6;10813;;0;;;0;;0;;0;;;;0;;;0;0;1;0;0;0;0;0;0;1;;;;210;785;10;447;;2;
MCO;2019;020000105;020000055;15;4179;381;9;4114;;;0;0;0;;;0;0;0;15;4179;381;9;4114;;0;;;0;;0;;0;;;;0;;;0;1;0;0;0;0;0;0;1;0;;;;;928;0;872;;0;
MCO;2019;020000162;020000063;291;105337;18527;1411;96262;86;31390;4998;360;19544;18;6570;1862;103;6669;395;143297;25387;1874;122475;21;3448;2;354;43278;26;6294;0;731;0;0;47;10473;2;354;43278;1;1;1;1;1;1;1;1;1;;;43;;112127;460;58830;1;3626;14764
MCO;2019;020000246;020000071;36;13140;581;8;7376;;;0;0;0;;;0;0;0;36;13140;581;8;7376;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;1134;31;64;;32;29
MCO;2019;020000360;020014742;;;0;0;0;30;10680;1017;5;2548;;;0;0;0;30;10680;1017;5;2548;;1370;;;0;18;4317;;0;;;18;5687;;;0;;;;;;;;;;;;;;;;;;;
MCO;2019;020000394;020000253;131;47815;6453;595;41603;34;12410;2514;156;10232;18;6570;1314;121;4769;183;66795;10281;872;56604;11;1037;0;0;8392;11;1302;0;241;0;0;22;2580;0;0;8392;1;0;1;1;1;1;1;1;1;50;70;4;110;58060;6491;79140;1205;7013;17667
MCO;2019;020000519;020000261;201;70530;11452;535;61468;45;14700;1263;88;7088;25;9125;2247;461;6757;271;94355;14962;1084;75313;8;2632;;;16273;15;3710;;0;;;23;6342;;;16273;1;0;1;1;1;1;1;1;1;30;90;60;180;69744;1045;69891;377;3636;28107
MCO;2019;020000535;020000287;128;46720;5002;210;34695;5;1825;483;43;2724;18;6570;1040;310;2753;151;55115;6525;563;40172;5;482;1;378;1761;21;2365;0;0;;;26;2847;1;378;1761;1;0;1;1;0;0;1;0;0;23;;;;27514;941;28383;;2096;6685
MCO;2019;020001061;020004404;135;49275;7894;1082;41758;15;5475;1106;44;4348;18;6570;864;41;3379;168;61320;9864;1167;49485;4;117;2;104;463;10;3745;;182;;;14;4044;2;104;463;1;1;1;1;1;1;1;0;1;8;45;15;8;34898;2800;56888;507;2081;15154
MCO;2019;020001087;020004495;60;21900;2942;1019;16224;;;0;0;0;;;0;0;0;60;21900;2942;1019;16224;4;715;;;0;;0;;0;;;4;715;;;0;1;1;1;;0;1;1;0;0;190;;10;;;;;;;
MCO;2019;020010047;020001632;35;12775;1962;149;13267;68;24820;3933;26;11598;17;6205;642;5;2652;120;43800;6537;180;27517;4;6;;;4097;40;10157;;0;;;44;10163;;;4097;;;;;;;;;;;;;;;;;;;
MCO;2019;030000061;030780092;226;82932;9901;1249;70435;60;21900;3409;284;17547;25;9125;1429;11;5496;311;113957;14739;1544;93478;15;549;;;22443;9;2251;2;240;;;26;3040;;;22443;1;0;1;1;1;1;1;0;1;104;84;84;0;48721;6274;47899;1893;3132;16666
MCO;2019;030000079;030780100;261;89115;15419;2985;84821;33;11967;1711;60;8118;33;11595;1768;70;5966;327;112677;18898;3115;98905;2;1134;;;11061;4;719;3;576;;;9;2429;;;11061;1;1;1;1;1;1;1;1;0;120;120;20;;45906;2446;51851;;2624;11950
MCO;2019;030000087;030780118;234;84016;15922;3681;76020;74;26610;3682;184;19172;23;8395;1930;250;5795;331;119021;21534;4115;100987;13;768;;;13778;21;5982;;0;;;34;6750;;;13778;1;1;1;1;1;1;1;1;1;130;130;10;45;57465;4082;64972;;4441;9108
MCO;2019;030000095;030780126;8;2920;96;0;2425;0;0;0;0;0;0;0;0;0;0;8;2920;96;0;2425;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;030007942;030002158;10;3650;136;0;3570;;;0;0;0;;;0;0;0;10;3650;136;0;3570;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;527;;;;;
MCO;2019;030780548;030000194;10;3650;559;119;2500;57;20805;2514;51;6584;;;0;0;0;67;24455;3073;170;9084;;0;;;77;26;6499;;0;;;26;6499;;;77;;;;;;;;;;;;;;;;;;;
MCO;2019;030781116;030000426;90;32850;2597;21;26689;83;30295;3615;31;14325;;;0;0;0;173;63145;6212;52;41014;3;1;;;6419;33;7514;0;0;;;36;7515;;;6419;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;030785430;030785422;30;10950;2087;1;7871;64;19105;2387;9;6458;0;0;0;0;0;94;30055;4474;10;14329;3;1;;;917;27;5079;0;0;;;30;5080;;;917;0;0;0;0;0;0;0;0;0;;;;;0;0;0;;0;0
MCO;2019;040000036;040780132;5;1236;112;4;1233;;;0;0;0;;;0;0;0;5;1236;112;4;1233;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;
MCO;2019;040000044;040780140;4;1460;67;9;576;;;0;0;0;;;0;0;0;4;1460;67;9;576;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;040000093;040780215;130;45599;7943;1086;41416;41;13520;2151;135;9040;19;6935;1080;221;3476;190;66054;11174;1442;53932;11;48;;;4753;10;2015;0;0;;;21;2063;;;4753;1;0;1;1;0;1;0;0;1;75;;40;90;22842;1460;13580;0;4161;2453
MCO;2019;040000119;040780231;4;1460;146;0;805;0;0;0;0;0;0;0;0;0;0;4;1460;146;0;805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;040000127;040780249;4;1460;67;1;835;;;0;0;0;;;0;0;0;4;1460;67;1;835;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;040000135;050002948;34;12410;1784;326;8886;0;0;0;0;0;0;0;0;0;0;34;12410;1784;326;8886;1;1;1;1;2;0;0;0;0;;;1;1;1;1;2;1;1;1;1;1;1;1;1;1;;;;;7260;822;13148;;454;395
MCO;2019;040000911;040788879;117;40884;4558;512;38040;30;10663;1399;44;5632;17;6205;695;144;1979;164;57752;6652;700;45651;17;372;;;1749;16;2832;1;317;;;34;3521;;;1749;0;0;0;1;0;0;1;1;0;;;;;20222;750;16997;82;1840;2809
MCO;2019;040780470;040000192;;;0;0;0;47;16074;593;5;2171;;;0;0;0;47;16074;593;5;2171;;0;;;0;20;4685;;0;;;20;4685;;;0;;;;;;;;;;;;;;;;;;;
MCO;2019;050000090;050006931;29;10585;206;0;714;29;10585;1880;0;3523;;;0;0;0;58;21170;2086;0;4237;29;22;;;580;25;10715;;0;;;54;10737;;;580;;;;;;;;;;;;;;;;;;;
MCO;2019;050000223;050000108;4;1460;64;1;1115;;;0;0;0;;;0;0;0;4;1460;64;1;1115;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;050000231;050000116;44;16060;3346;986;12685;22;8030;1933;113;6483;9;3285;704;171;1882;75;27375;5983;1270;21050;5;304;;;4734;5;2110;;0;;;10;2414;;;4734;1;1;1;1;0;1;1;1;1;;;;;24110;1461;19144;8;959;3422
MCO;2019;050000256;050000124;28;10220;1241;186;8173;;;0;0;0;;;0;0;0;28;10220;1241;186;8173;;0;;;7;;0;;0;;;;0;;;7;0;0;0;1;0;1;0;0;0;;;30;;1506;784;6083;;526;
MCO;2019;050000330;050007145;5;1382;60;0;1478;;;0;0;0;;;0;0;0;5;1382;60;0;1478;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;
MCO;2019;050000348;050002948;168;61320;10481;1291;54440;60;21900;4146;123;14996;18;6570;1798;81;5933;246;89790;16425;1495;75369;21;213;1;99;13253;14;3091;3;112;0;0;38;3416;1;99;13253;1;1;1;1;1;1;1;1;1;;;;;47530;3881;47868;1;2301;5050
MCO;2019;050007533;130784127;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;9462;;0;;0;;;;0;;;9462;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;060000163;060780327;4;1460;40;1;378;;;0;0;0;;;0;0;0;4;1460;40;1;378;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;060000304;060780657;5;1825;172;5;2158;;;0;0;0;;;0;0;0;5;1825;172;5;2158;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;060000411;060780780;6;1825;98;0;1551;;;0;0;0;;;0;0;0;6;1825;98;0;1551;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;060000478;060780897;167;60955;9251;899;48205;59;21535;2638;69;10842;32;11680;2806;74;11572;258;94170;14695;1042;70619;7;563;;;2964;16;2376;2;364;;;25;3303;;;2964;1;1;1;1;0;1;1;1;1;25;;15;25;138155;;;;;
MCO;2019;060000486;060780905;12;4380;297;7;3678;;;0;0;0;;;0;0;0;12;4380;297;7;3678;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;
MCO;2019;060000494;060780921;5;1825;90;4;1207;0;;0;0;0;0;;0;0;0;5;1825;90;4;1207;0;0;;;0;0;0;0;0;;;0;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;060000510;060780954;244;87329;12651;1136;79510;57;20805;3307;156;16013;22;7910;1319;65;4592;323;116044;17277;1357;100115;22;698;0;0;2945;14;2689;3;440;;;39;3827;0;0;2945;1;1;1;1;1;1;1;1;1;30;25;32;50;62875;3353;35108;16;3277;9625
MCO;2019;060000528;060780962;92;31710;4740;76;29622;36;13107;2280;527;5798;0;0;0;0;0;128;44817;7020;603;35420;43;875;0;0;57982;13;1135;0;0;0;0;56;2010;0;0;57982;1;1;0;1;0;0;1;0;0;;;;;53612;0;47851;0;0;10837
MCO;2019;060000536;060006889;8;1448;66;1;849;;;0;0;0;;;0;0;0;8;1448;66;1;849;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;060000544;060780988;245;90247;13756;1853;73872;67;25494;3539;52;18677;24;9835;2359;427;7877;336;125576;19654;2332;100426;29;2906;;;12411;16;3503;5;481;;;50;6890;;;12411;1;1;1;1;1;1;1;1;1;24;62;;71;80670;1422;50855;819;4940;18137
MCO;2019;060002102;060791761;53;19345;3209;895;19348;42;12945;1744;203;9007;;;0;0;0;95;32290;4953;1098;28355;;0;;;17;9;2448;;0;;;9;2448;;;17;1;1;0;1;0;1;0;0;0;;;30;;16934;836;16437;0;1023;2862
MCO;2019;060010899;060785011;;;11;0;39;15;23879;260;6;710;;;0;0;0;15;23879;271;6;749;;0;;;0;8;2141;;0;;;8;2141;;;0;;;;;;;;;;;;;;13423;0;12507;1;0;4469
MCO;2019;060010949;060790540;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;9286;;0;;0;;;;0;;;9286;;;;;;;;;;;;;;;;;;;
MCO;2019;060021276;060790540;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;9350;;0;;0;;;;0;;;9350;;;;;;;;;;;;;;;;;;;
MCO;2019;060021417;060000221;30;10950;867;0;7867;46;16790;3073;0;8617;;;0;0;0;76;27740;3940;0;16484;;8;;;153;55;16297;;0;;;55;16305;;;153;;;;;;;;;;;;;;;;;;;
MCO;2019;060780442;060000213;;;0;0;0;30;10950;1605;4;1896;;;0;0;0;30;10950;1605;4;1896;;0;;;0;10;4278;;0;;;10;4278;;;0;;;;;;;;;;;;;;;;;;;
MCO;2019;060780491;060790797;56;20440;3480;27;19776;72;26280;4090;105;15788;;;0;0;0;128;46720;7570;132;35564;10;5992;;;32;23;5092;;0;;;33;11084;;;32;;;;;;;;;;;;;;;;;;;
MCO;2019;060780517;060000239;67;24455;4317;789;20917;83;30295;20991;16593;17233;34;12410;1423;23;4723;184;67160;26731;17405;42873;4;2;;;8222;42;160;2;226;;;48;388;;;8222;;;;;;;;;;;;;;;;;;;
MCO;2019;060780590;060000270;;;0;0;0;54;19710;1929;0;5991;;;0;0;0;54;19710;1929;0;5991;;0;;;404;10;6475;;0;;;10;6475;;;404;;;;;;;;;;;;;;;;;;;
MCO;2019;060780715;060000361;66;24090;7592;251;36059;160;58400;6807;106;21749;30;10950;1467;11;6005;256;93440;15866;368;63813;;0;;;8122;61;20441;;0;;;61;20441;;;8122;;;;;;;;;;;;;;;;;;;
MCO;2019;060780723;060004959;16;5840;2610;465;7897;71;25915;2159;5;6761;;;0;0;0;87;31755;4769;470;14658;0;0;;;4296;31;10295;;0;;;31;10295;;;4296;;;;;;;;;;;;;;;;;;;
MCO;2019;060780756;060000403;6;2190;298;0;2059;40;14600;2030;0;4661;52;18980;2477;55;10520;98;35770;4805;55;17240;;0;;;59;15;8132;;0;;;15;8132;;;59;;;;;;;;;;;;;;;;;;;
MCO;2019;060780947;060800174;81;26591;7258;1602;20964;24;8760;2496;304;5550;;;0;0;0;105;35351;9754;1906;26514;6;1041;;;519;14;2728;;0;;;20;3769;;;519;1;1;1;1;1;1;1;1;1;0;0;0;0;51552;0;57056;3981;0;12382
MCO;2019;060781200;060000635;36;13140;2599;14;17049;61;22265;1467;11;5851;0;;192;192;0;97;35405;4258;217;22900;;0;;;79;19;8102;;0;;;19;8102;;;79;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;060785003;060785011;356;124499;22939;5311;97754;220;77791;15548;352;66607;;;0;0;0;576;202290;38487;5663;164361;43;4662;0;0;33402;30;6030;;0;;;73;10692;0;0;33402;1;0;0;0;1;0;1;1;1;;;;;140179;1;115736;590;3;60847
MCO;2019;060785219;060780608;124;45260;4448;45;29915;;;0;0;0;;;0;0;0;124;45260;4448;45;29915;20;96;;;8594;;0;;0;;;20;96;;;8594;;;;;;;;;;;;;;;;;;;
MCO;2019;060788957;060785011;50;18250;2056;16;17977;0;0;0;0;0;0;;0;0;0;50;18250;2056;16;17977;4;2346;;;172;;0;;0;;;4;2346;;;172;0;0;0;0;0;0;0;0;0;;;;;18065;0;22939;11819;0;3122
MCO;2019;060789195;060785011;291;111583;11970;2964;89281;60;21900;2658;90;13903;74;27010;5964;1157;22408;425;160493;20592;4211;125592;50;3158;0;0;15085;10;1764;11;502;;;71;5424;0;0;15085;0;1;1;1;0;0;0;0;0;;;;;107702;8501;42697;199;22486;66589
MCO;2019;060791811;060010808;91;33215;2558;18;30208;;;0;0;0;;;0;0;0;91;33215;2558;18;30208;4;889;0;0;99;;0;;0;;;4;889;0;0;99;1;1;1;0;1;0;0;0;0;8;30;;;2830;0;2064;0;0;13226
MCO;2019;060792926;920033636;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;12856;;0;;0;;;;0;;;12856;;;;;;;;;;;;;;;;;;;
MCO;2019;060794013;060790797;44;16060;2032;13;12836;24;8760;3049;1090;6000;;;0;0;0;68;24820;5081;1103;18836;;0;;;0;;0;;0;;;;0;;;0;1;0;0;0;0;0;0;0;0;;;;;2877;;8529;;;0
MCO;2019;060800166;060780608;15;5475;617;2;4396;83;30295;3686;27;13539;;;0;0;0;98;35770;4303;29;17935;;0;;;188;35;13376;;0;;;35;13376;;;188;;;;;;;;;;;;;;;;;;;
MCO;2019;070000013;070002878;64;23360;2620;510;21399;20;7300;1049;30;3940;0;1908;186;68;430;84;32568;3855;608;25769;8;95;;;1142;10;1533;;0;;;18;1628;;;1142;1;0;1;1;1;0;1;1;1;150;30;;60;;;;;;
MCO;2019;070000021;070007927;15;5475;207;0;3041;0;;0;0;0;0;;0;0;0;15;5475;207;0;3041;0;4;0;0;0;;0;;0;;;0;4;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;;;;
MCO;2019;070000039;070780119;16;5840;210;3;2289;;;0;0;0;;;0;0;0;16;5840;210;3;2289;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;070000047;070780127;12;3568;284;6;3552;;;0;0;0;;;0;0;0;12;3568;284;6;3552;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;070000062;070005558;8;2920;184;0;2623;;;0;0;0;;;0;0;0;8;2920;184;0;2623;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;070000070;070780150;20;7300;526;29;5303;;;0;0;0;;;0;0;0;20;7300;526;29;5303;0;0;0;0;0;;0;;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;2268;;;
MCO;2019;070000096;070780184;8;2920;363;21;2185;0;;0;0;0;0;;0;0;0;8;2920;363;21;2185;6;226;;;22;0;0;0;0;;;6;226;;;22;1;0;0;1;1;0;0;0;0;;60;;;584;856;778;;767;148
MCO;2019;070000112;070007927;15;5475;264;0;4170;0;;0;0;0;0;;0;0;0;15;5475;264;0;4170;0;3;0;0;0;0;0;0;0;;;0;3;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;;;;
MCO;2019;070000146;070004742;8;2920;112;0;1313;;;0;0;0;;;0;0;0;8;2920;112;0;1313;0;3;;;0;0;0;0;0;;;0;3;;;0;;;;;;;;;;;;;;;;;;;
MCO;2019;070000179;070780358;146;53290;10484;2461;47393;30;10950;1722;148;9827;22;8030;1191;229;3708;198;72270;13397;2838;60928;10;783;;;13987;16;4326;0;0;;;26;5109;;;13987;1;0;0;1;1;1;1;1;1;;180;30;180;40374;3806;80484;16;1707;22490
MCO;2019;070000187;070780366;12;4380;418;15;3654;0;0;0;0;0;0;0;0;0;0;12;4380;418;15;3654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;
MCO;2019;070000195;070780374;38;13870;1291;5;10861;0;0;0;0;0;0;0;0;0;0;38;13870;1291;5;10861;;0;;;0;;0;;0;;;;0;;;0;0;0;1;0;1;1;0;0;0;90;60;70;;969;746;260;0;1539;0
MCO;2019;070000203;070780382;11;3784;135;1;1748;;;0;0;0;;;0;0;0;11;3784;135;1;1748;;0;;;10;;0;;0;;;;0;;;10;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;070000484;070005566;10;3650;621;1;2633;;;0;0;0;;;0;0;0;10;3650;621;1;2633;;0;;;0;;0;;0;;;;0;;;0;0;;1;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;070000609;070005566;146;53290;7935;1165;42338;34;12410;2165;125;9863;16;5840;921;59;3290;196;71540;11021;1349;55491;10;453;;;3666;9;2034;1;261;;;20;2748;;;3666;1;1;0;1;1;1;1;1;1;;;;;;;;;;
MCO;2019;070780168;070000088;4;1460;60;0;600;55;20075;1329;16;3971;0;0;0;0;0;59;21535;1389;16;4571;0;0;0;0;13;6;4842;0;0;0;0;6;4842;0;0;13;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;070780424;070000245;20;7300;956;48;4730;129;47085;6860;601;31618;27;9855;1148;80;4375;176;64240;8964;729;40723;1;340;0;;3;31;8422;0;0;;;32;8762;0;;3;;;;;;;;;;;;;;;;;;;
MCO;2019;080000110;080000037;119;43435;6417;1306;31093;;2190;324;13;1053;15;5475;1041;95;3433;134;51100;7782;1414;35579;5;558;;;152;4;754;2;253;;;11;1565;;;152;0;0;0;1;0;1;1;0;0;;;;;16059;2395;16733;4;2645;2253
MCO;2019;080000219;080001969;42;15330;3378;1318;15938;25;9125;1542;107;7400;;;0;0;0;67;24455;4920;1425;23338;1;48;;;0;12;2587;;0;;;13;2635;;;0;1;1;1;1;0;0;1;1;1;7;;;60;15700;3602;33229;248;820;28116
MCO;2019;080000276;080001969;24;8760;1848;795;8424;;;0;0;0;;;0;0;0;24;8760;1848;795;8424;1;1;;;1;;0;;0;;;1;1;;;1;0;0;0;1;0;0;1;0;0;;;;;4209;366;4637;;96;6163
MCO;2019;080000284;080000060;15;5475;235;11;4192;;;0;0;0;;;0;0;0;15;5475;235;11;4192;;0;;;0;;0;;0;;;;0;;;0;1;0;0;0;0;0;1;1;0;;;;;1312;371;4691;;188;1634
MCO;2019;080000300;080000078;8;2920;169;1;1638;;;0;0;0;;;0;0;0;8;2920;169;1;1638;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;080000425;080000615;314;109036;15365;2474;93133;78;27542;4397;190;22238;42;15330;2429;105;9251;434;151908;22191;2769;124622;32;2780;;;17672;15;2448;4;913;;;51;6141;;;17672;1;1;1;1;1;1;1;1;0;;;;;75895;6832;82314;675;4884;36593
MCO;2019;080010267;080010242;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;9;1;;;659;;0;;0;;;9;1;;;659;;;;;;;;;;;;;;;;;;;
MCO;2019;080010465;080010242;;;0;0;0;0;0;1;0;1;;;0;0;0;0;0;1;0;1;;0;;;0;7;532;;0;;;7;532;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;080010473;080010242;17;6205;531;24;3214;59;21535;1442;18;5525;;;0;0;0;76;27740;1973;42;8739;10;3104;;;303;18;4131;;0;;;28;7235;;;303;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;090000175;090781774;147;53501;9845;2660;43730;47;17155;3424;232;17494;25;9125;1381;88;5914;219;79781;14650;2980;67138;20;901;;;11810;15;3864;2;272;;;37;5037;;;11810;1;0;0;1;0;1;1;0;0;;;45;;48934;3545;62970;;588;13526
MCO;2019;090000183;090781816;53;19345;2470;597;15822;15;5475;850;45;4227;4;1460;325;121;755;72;26280;3645;763;20804;2;23;;;432;8;1649;;0;;;10;1672;;;432;1;0;1;0;1;1;0;0;0;;;;;16818;364;27704;1;719;2817
MCO;2019;090001629;090781774;23;8395;626;3;7220;;;0;0;0;;;0;0;0;23;8395;626;3;7220;;0;;;0;0;179;;0;;;0;179;;;0;1;0;0;1;0;1;0;0;0;;;10;;2312;285;4190;;286;161
MCO;2019;100000082;100001148;;;0;0;0;46;16790;971;91;2897;;;0;0;0;46;16790;971;91;2897;;0;;;1;15;2485;;0;;;15;2485;;;1;;;;;;;;;;;;;;;;;;;
MCO;2019;100000090;100000017;335;115125;18093;2014;111923;95;34360;5229;83;28319;45;16425;3108;26;12608;475;165910;26430;2123;152850;41;3186;;;31381;10;2908;0;822;;;51;6916;;;31381;1;1;1;1;1;1;1;1;1;30;165;45;90;102746;5112;113325;625;8265;23594
