BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
CHIRCAR_P;2019;140017237;140003278;N2510;16;11;27.8;;
CHIRCAR_P;2019;150000040;150780096;M1040;3;;0.8;0;1
CHIRCAR_P;2019;150000040;150780096;N2200;7;0;7.09;;
CHIRCAR_P;2019;160000253;160000451;M1040;3;;1.5;0;1
CHIRCAR_P;2019;160000253;160000451;N2120;2;;0.16;;
CHIRCAR_P;2019;160000253;160000451;N2200;6;;4.56;;
CHIRCAR_P;2019;160000253;160000451;N2510;3;;3;;
CHIRCAR_P;2019;160000253;160000451;N4130;1;;1;;
CHIRCAR_P;2019;160000253;160000451;NAUT;1;;0.5;;
CHIRCAR_P;2019;170000087;170024194;M1040;8;1;8.1;1;
CHIRCAR_P;2019;170000087;170024194;M104H;;;;;1
CHIRCAR_P;2019;170000087;170024194;N2120;1;;0.5;;
CHIRCAR_P;2019;170000087;170024194;N2200;9;4;12.81;;
CHIRCAR_P;2019;170000087;170024194;N2510;5;1;5.3;;
CHIRCAR_P;2019;170000087;170024194;N4130;4;;3.1;;
CHIRCAR_P;2019;170000087;170024194;NAUT;4;1;4.53;;
CHIRCAR_P;2019;170000103;170780175;M1040;3;2;2.03;0;1
CHIRCAR_P;2019;170000103;170780175;M104H;3;2;2.03;0;1
CHIRCAR_P;2019;170000103;170780175;MAUT;1;0;0.04;0;0
CHIRCAR_P;2019;170000103;170780175;N2120;1;0;0.34;;
CHIRCAR_P;2019;170000103;170780175;N2200;12;0;9.4;;
CHIRCAR_P;2019;170000103;170780175;N2510;8;0;1.15;;
CHIRCAR_P;2019;170000103;170780175;N4130;0;1;0.8;;
CHIRCAR_P;2019;180000010;180000028;M1040;;5;1.6;1;1
CHIRCAR_P;2019;180000010;180000028;N2200;3;5;6.13;;
CHIRCAR_P;2019;180000010;180000028;N4130;1;1;1.76;;
CHIRCAR_P;2019;180000010;180000028;NAUT;;1;0.5;;
CHIRCAR_P;2019;190000018;190000042;M1040;5;1;1.63;;
CHIRCAR_P;2019;190000018;190000042;N2120;1;;0.38;;
CHIRCAR_P;2019;190000018;190000042;N2200;9;;8.34;;
CHIRCAR_P;2019;190000018;190000042;N2510;;1;0.8;;
CHIRCAR_P;2019;190000018;190000042;NAUT;;;0.05;;
CHIRCAR_P;2019;210012670;210011367;M103X;;17;8;0;1
CHIRCAR_P;2019;210012670;210011367;M1040;5;15;12;1;1
CHIRCAR_P;2019;210012670;210011367;M1160;;9;5;0;
CHIRCAR_P;2019;210012670;210011367;N2120;1;;1;;
CHIRCAR_P;2019;210012670;210011367;N2200;4;;4;;
CHIRCAR_P;2019;210012670;210011367;N2510;2;0;2;;
CHIRCAR_P;2019;210987558;210780581;M1040;18;;4.24;;
CHIRCAR_P;2019;210987558;210780581;M2140;6;;5.5;;
CHIRCAR_P;2019;210987558;210780581;N2120;1;;0.97;;
CHIRCAR_P;2019;210987558;210780581;N2200;21;;14.48;;
CHIRCAR_P;2019;210987558;210780581;N2510;1;;1;;
CHIRCAR_P;2019;210987558;210780581;N4130;3;;2.54;;
CHIRCAR_P;2019;210987558;210780581;NAUT;4;;3.61;;
CHIRCAR_P;2019;220000012;220000020;M1040;4;0;4;1;1
CHIRCAR_P;2019;220000012;220000020;N2120;1;;0.33;;
CHIRCAR_P;2019;220000012;220000020;N2200;8;5;9.86;;
CHIRCAR_P;2019;220000012;220000020;N2510;5;1;5.9;;
CHIRCAR_P;2019;220000012;220000020;N4130;2;2;1.34;;
CHIRCAR_P;2019;220000012;220000020;NAUT;4;4;6.24;;
CHIRCAR_P;2019;230000820;230780041;M1040;2;4;2.57;0;0
CHIRCAR_P;2019;230000820;230780041;N2120;1;;0.9;;
CHIRCAR_P;2019;230000820;230780041;N2200;12;;12.96;;
CHIRCAR_P;2019;230000820;230780041;N2510;12;1;13.81;;
CHIRCAR_P;2019;230000820;230780041;NAUT;7;1;6.07;;
CHIRCAR_P;2019;240000489;240000117;M1040;4;;1.6;;1
CHIRCAR_P;2019;240000489;240000117;N2120;1;0;0.5;;
CHIRCAR_P;2019;240000489;240000117;N2200;9;0;8.08;;
CHIRCAR_P;2019;240000489;240000117;N2510;1;1;1.8;;
CHIRCAR_P;2019;240000489;240000117;NAUT;1;0;0.5;;
CHIRCAR_P;2019;250000270;250000643;M103X;;10;2;;
CHIRCAR_P;2019;250000270;250000643;M1040;0;8;2;1;
CHIRCAR_P;2019;250000270;250000643;N2120;;1;0.3;;
CHIRCAR_P;2019;250000270;250000643;N2200;6;4;8.2;;
CHIRCAR_P;2019;250000270;250000643;N2510;1;1;1.5;;
CHIRCAR_P;2019;250006954;250000015;M103X;0;7;4.58;;
CHIRCAR_P;2019;250006954;250000015;M1040;0;21;5.16;1;0
CHIRCAR_P;2019;250006954;250000015;M2140;0;9;3.76;1;1
CHIRCAR_P;2019;250006954;250000015;N2120;1;0;1.23;;
CHIRCAR_P;2019;250006954;250000015;N2200;4;2;6.21;;
CHIRCAR_P;2019;250006954;250000015;N2310;4;6;7.26;;
CHIRCAR_P;2019;250006954;250000015;N2320;1;2;1.68;;
CHIRCAR_P;2019;250006954;250000015;N2510;3;1;3.65;;
CHIRCAR_P;2019;250006954;250000015;NAUT;4;0;3.88;;
CHIRCAR_P;2019;260000013;260000021;M103X;0;1;0.1;;
