BOR;AN;FI;FI_EJ;GDE;AUT;LIT;JLI;PLA;SEJHC;JOUHC;SEJ3M;JOUHP
SSR;2019;040000036;040780132;SSR_TOT;;10;3650;;115;2715;1;0
SSR;2019;040000044;040780140;SSR_A;;5;1825;;71;2202;2;0
SSR;2019;040000044;040780140;SSR_A50;1;5;;;;2202;;0
SSR;2019;040000044;040780140;SSR_TOT;;5;1825;;71;2202;2;0
SSR;2019;040000069;040780181;SSR_A;;43;15695;;459;13810;16;0
SSR;2019;040000069;040780181;SSR_A50;1;43;;;;13810;;0
SSR;2019;040000069;040780181;SSR_TOT;;43;15695;;459;13810;16;0
SSR;2019;040000119;040780231;SSR_A;;14;5110;;269;5177;4;0
SSR;2019;040000119;040780231;SSR_A50;1;14;;;;5177;;0
SSR;2019;040000119;040780231;SSR_TOT;;14;5110;;269;5177;4;0
SSR;2019;040000135;050002948;SSR_A;;27;9855;10;279;8623;10;2132
SSR;2019;040000135;050002948;SSR_A50;1;27;;;;8623;;0
SSR;2019;040000135;050002948;SSR_A53;1;;;10;;0;;2132
SSR;2019;040000135;050002948;SSR_A54;1;;;;;0;;0
SSR;2019;040000135;050002948;SSR_A55;1;;;;;0;;0
SSR;2019;040000135;050002948;SSR_TOT;;27;9855;10;279;8623;10;2132
SSR;2019;040780389;040000192;SSR_A;;85;31025;;567;23550;65;0
SSR;2019;040780389;040000192;SSR_A50;1;;;;;1466;;0
SSR;2019;040780389;040000192;SSR_A59;1;85;;;;22084;;0
SSR;2019;040780389;040000192;SSR_TOT;;85;31025;;567;23550;65;0
SSR;2019;040780405;040000168;SSR_A;;70;25550;5;684;24539;34;2155
SSR;2019;040780405;040000168;SSR_A50;1;35;;;;14539;;0
SSR;2019;040780405;040000168;SSR_A51;1;35;;5;;10000;;2155
SSR;2019;040780405;040000168;SSR_E;;;;5;0;0;0;785
SSR;2019;040780405;040000168;SSR_E51;1;;;5;;0;;785
SSR;2019;040780405;040000168;SSR_TOT;;70;25550;10;684;24539;34;2940
SSR;2019;040780488;040000200;SSR_A;;80;29200;10;780;28058;56;3872
SSR;2019;040780488;040000200;SSR_A50;1;;;;;0;;0
SSR;2019;040780488;040000200;SSR_A51;1;40;;10;;14449;;3872
SSR;2019;040780488;040000200;SSR_A52;1;40;;;;13609;;0
SSR;2019;040780488;040000200;SSR_TOT;;80;29200;10;780;28058;56;3872
SSR;2019;040780520;750056335;SSR_A;;40;14600;;408;15496;45;0
SSR;2019;040780520;750056335;SSR_A50;1;40;;;;15496;;0
SSR;2019;040780520;750056335;SSR_TOT;;40;14600;;408;15496;45;0
SSR;2019;040782021;130037815;SSR_A;;66;24090;;595;20575;28;0
SSR;2019;040782021;130037815;SSR_A50;1;46;;;;6380;;0
SSR;2019;040782021;130037815;SSR_A59;1;20;;;;14195;;0
SSR;2019;040782021;130037815;SSR_TOT;;66;24090;;595;20575;28;0
SSR;2019;050000041;130037815;SSR_A;;90;30607;25;902;30607;54;7453
SSR;2019;050000041;130037815;SSR_A50;1;26;;5;;7511;;1437
