BOR;AN;FI;FI_EJ;TELEMED_A1;TELEMED_A20;TELEMED_A21;TELEMED_A22;TELEMED_B1;TELEMED_B20;TELEMED_B21;TELEMED_B22;TELEMED_A2;TELEMED_A23;TELEMED_B2;TELEMED_B23;TELEMED_A3;TELEMED_A24;TELEMED_A25;TELEMED_B3;TELEMED_B24;TELEMED_B25;TELEMED_A4;TELEMED_B4;TELEMED_A17;TELEMED_A18;TELEMED_A19;TELEMED_A6;TELEMED_A26;TELEMED_A27;TELEMED_A28;TELEMED_A29;TELEMED_A30;TELEMED_A31;TELEMED_A32;TELEMED_A33;TELEMED_A34;TELEMED_A35;TELEMED_A36;TELEMED_A37;TELEMED_A38
TELEMED;2019;130002835;130789316;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;1
TELEMED;2019;130034002;130006562;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;;0;0;0;0;1;0;0;0;0;0;0;0;0;0
TELEMED;2019;130034044;130006562;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;1;0;0;0;0;0;0;0;0;0
TELEMED;2019;130783152;130001365;0;0;0;0;0;0;0;;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;1;0;0;0;0;0;0
TELEMED;2019;130783236;130786049;1;;;;0;;;;1;;1;;0;;;0;;;0;0;1;;;0;;;;;;;;;;;;;
TELEMED;2019;130783293;130786049;1;;;;0;;;;0;;0;;1;;;0;;;1;1;;;;;;;;;;;;;;;;;
TELEMED;2019;130784051;130037823;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;130784481;130006562;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;1;0;0;0;0;0;0;0;0;0
TELEMED;2019;130804297;130786049;1;;;;0;;;;1;;1;;1;;;0;;;0;0;;0;;0;;;;;;;;;;;;;
TELEMED;2019;130806078;130016058;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2019;130808843;920030152;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1
TELEMED;2019;140000027;140000035;1;0;1;0;1;0;0;0;0;1;1;0;1;1;0;0;;0;1;0;0;1;10;1;0;0;0;1;0;1;0;0;0;0;0;0;0
TELEMED;2019;140000209;140000100;1;1;1;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;1;1;21;1;0;1;0;0;0;1;1;1;0;1;1;1;0
TELEMED;2019;140000233;140000118;1;0;0;0;1;0;1;0;0;;1;1;0;;;0;;;0;0;0;0;;0;1;1;1;0;0;1;0;1;0;1;1;0;1
TELEMED;2019;140000373;140000159;0;0;0;0;0;;;;0;0;1;1;0;0;0;0;;;0;0;0;0;;0;0;0;0;0;0;0;1;0;0;0;0;0;0
TELEMED;2019;140000456;140000316;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;0;0;0;1;0;0
TELEMED;2019;140002452;140025800;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;0;0;1;0;0;0;0;1;0;0;0;0;0;1
TELEMED;2019;140015975;310021092;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;1;0;0;0;0;0;0
TELEMED;2019;140016155;140027426;0;;;;1;0;0;0;0;;0;;0;;;1;0;0;0;0;0;0;;0;0;0;0;0;0;0;1;0;0;0;0;0;0
TELEMED;2019;140016759;140003146;1;1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;1;1;7;0;0;1;1;0;0;1;0;0;0;0;0;0;0
TELEMED;2019;140018730;140000423;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2019;140025123;310021126;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;1;0;0;0;0;0;0
TELEMED;2019;140025255;310020383;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;1;0;0;0;0;0;0
TELEMED;2019;140026410;140026279;0;;;;0;;;;0;;0;;1;1;0;0;;;0;0;1;0;;0;0;0;0;0;0;0;1;0;0;0;0;0;0
TELEMED;2019;140026709;140000415;0;;;;0;;;;0;;0;;0;;;1;0;0;0;0;0;0;;0;0;0;0;0;0;0;1;0;0;0;0;0;0
TELEMED;2019;150000032;150780088;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;;0;0;1;1;0;0;1;0;0;0;0;0;0;0
TELEMED;2019;150000040;150780096;0;;;;1;0;0;0;1;0;1;0;0;;;0;;;0;1;0;1;3;0;0;1;1;1;0;1;0;0;0;0;1;0;0
TELEMED;2019;150000164;150780468;0;0;0;0;0;;;;1;0;1;1;0;0;0;0;0;0;0;0;0;1;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0
TELEMED;2019;150001758;630000990;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;;0;0;0;0;1;0;0;1;0;0;0;0;0;0
TELEMED;2019;150002608;660006370;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;;1;0;0;0;1;0;0;0;0;0;0;1;0;0
TELEMED;2019;150780120;150000065;0;0;0;0;1;0;0;0;0;;0;;0;0;0;1;0;0;0;1;0;0;;0;0;0;0;0;0;1;0;1;0;0;1;0;0
TELEMED;2019;160000170;160000204;0;;;;0;;;;0;;1;0;0;;;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;160000253;160000451;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;;0;0;1;1;0;0;1;1;0;0;0;1;0;0
TELEMED;2019;160000337;160000493;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;160006110;860000348;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;1;0;0;1;0;0;0;1;0;0
TELEMED;2019;160012159;860000348;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;1;0;0;1;0;0;0;1;0;0
TELEMED;2019;160015368;160014411;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0;0;0;0;0;0;0;1;0;0
TELEMED;2019;170000038;170780050;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;13;0;0;1;0;0;0;1;0;1;0;0;1;0;0
TELEMED;2019;170000087;170024194;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;;0;0;0;0;1;5;1;0;1;1;1;1;1;0;1;0;0;0;0;0
TELEMED;2019;170000095;170780167;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;3;0;0;1;0;0;0;1;0;0;0;0;1;0;0
TELEMED;2019;170000103;170780175;0;;;;0;;;;1;1;1;1;0;;;0;;;1;1;0;0;;1;0;0;1;1;0;0;0;0;0;0;1;0;0
TELEMED;2019;170000129;170780191;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;170000152;170780225;0;;;;0;;;;1;1;1;1;0;;;0;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;170022818;170022057;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;170780621;170000285;0;;;;0;;;;0;0;1;1;0;;;0;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;180000010;180000028;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;1;9;1;0;1;0;0;0;1;0;0;0;0;1;0;1
TELEMED;2019;180000176;180001158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;1;0;0;0;0;0;0;0;0;0
TELEMED;2019;180000200;180000051;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;1;0;0;0;0;0;0;0;0;1
TELEMED;2019;180000283;180000069;1;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2019;180003287;180000028;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;1;0;0;0;1;0;0;0;0;0;0;0;0;1
TELEMED;2019;180004145;180000887;0;;;;0;;;;0;;0;;0;;;0;;;0;0;0;0;;1;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;190000018;190000042;1;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0;0;1;0;0;0;0;0;0;0
TELEMED;2019;190000026;190000059;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;190005140;190002485;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;1;0;0;0;1;0;0;0;0;1;0;0
