BOR;AN;FI;FI_EJ;EQUIPSSR;SANSEQ;EQPL;EQAU
SSR2;2019;010008852;010783009;APTAUT;1;;
SSR2;2019;010008852;010783009;ASSMAR;1;;
SSR2;2019;010008852;010783009;ASSMEM;1;;
SSR2;2019;010008852;010783009;EXPEQU;;1;
SSR2;2019;010008852;010783009;EXPURO;1;;
SSR2;2019;010008852;010783009;IDRACH;1;;
SSR2;2019;010008852;010783009;ISOCIN;1;;
SSR2;2019;010008852;010783009;LABMAR;1;;
SSR2;2019;010008852;010783009;PISCIN;1;;
SSR2;2019;010008852;010783009;SALINT;1;;
SSR2;2019;010008852;010783009;SIMESP;1;;
SSR2;2019;010008852;010783009;STICON;1;;
SSR2;2019;010008852;010783009;VEHADP;1;;
SSR2;2019;010009314;010780054;APTAUT;1;;
SSR2;2019;010009314;010780054;ASSMAR;1;;
SSR2;2019;010009314;010780054;ASSMEM;1;;
SSR2;2019;010009314;010780054;EXPEQU;1;;
SSR2;2019;010009314;010780054;EXPURO;1;;
SSR2;2019;010009314;010780054;IDRACH;1;;
SSR2;2019;010009314;010780054;ISOCIN;1;;
SSR2;2019;010009314;010780054;LABMAR;1;;
SSR2;2019;010009314;010780054;PISCIN;1;;
SSR2;2019;010009314;010780054;SALINT;1;;
SSR2;2019;010009314;010780054;SIMESP;1;;
SSR2;2019;010009314;010780054;STICON;1;;
SSR2;2019;010009314;010780054;VEHADP;1;;
SSR2;2019;010780252;010783009;APTAUT;;1;
SSR2;2019;010780252;010783009;ASSMAR;1;;
SSR2;2019;010780252;010783009;ASSMEM;1;;
SSR2;2019;010780252;010783009;EXPEQU;;1;
SSR2;2019;010780252;010783009;EXPURO;1;;
SSR2;2019;010780252;010783009;IDRACH;1;;
SSR2;2019;010780252;010783009;ISOCIN;1;;
SSR2;2019;010780252;010783009;LABMAR;;;1
SSR2;2019;010780252;010783009;PISCIN;;1;
SSR2;2019;010780252;010783009;SALINT;1;;
SSR2;2019;010780252;010783009;SIMESP;1;;
SSR2;2019;010780252;010783009;STICON;1;;
