BOR;AN;FI;FI_EJ;SPED;UPED;LIT_PED;PLA_PED;SEJHP_PED;SEJHC_PED;JOU_PED;EFFPL_PM;EFFPL_PED;EFFPA_PM;EFFPA_PED;ETP_PM;ETP_PED;GAR_PM;GAR_PED;AST_PM;AST_PED;EFFPL_INFNS;EFFPL_PUE;EFFPL_AUX;EFFPL_KINE;EFFPL_PSY;EFFPL_APNM;EFFPA_INFNS;EFFPA_PUE;EFFPA_AUX;EFFPA_KINE;EFFPA_PSY;ETP_INFNS;EFFPA_APNM;ETP_PUE;ETP_AUX;ETP_KINE;ETP_PSY;ETP_APNM
MCOPED;2019;120000039;120780044;1;0;11;2;179;953;2015;7;7;5;5;7.77;7.77;1;1;0;0;2;5;8;0;0;2;0;10;2;0;0;2;5;7.67;9.25;0;0;3
MCOPED;2019;120004668;120004619;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2019;130000409;130041916;1;1;18;4;736;2685;5838;10;10;11;11;14;14;1;1;;;1;3;8;;2;7;14;18;13;1;;8.07;16;12.59;12.04;0.31;1.34;12.17
MCOPED;2019;130000565;130781446;1;;12;1;300;1435;2834;;;11;11;7.46;7.46;1;1;0;0;1;3;3;0;0;1;2;3;5;0;0;3.78;0;4.5;6.12;;0;0.4
MCOPED;2019;130001225;130782634;1;0;14;0;0;1584;3383;2;2;6;6;5.3;5.3;1;1;0;0;1;4;3;;;2;3;9;10;1;1;3.99;11;11.24;10.72;0.06;0.25;7.87
MCOPED;2019;130002835;130789316;1;1;21;1;70;1300;2547;4;4;3;3;6.08;6.08;1;1;1;1;9;7;5;0;0;5;5;3;0;0;0;12.62;6;7.88;5.53;0;0;10.06
MCOPED;2019;130780521;130786049;1;1;38;10;2103;3114;5907;3;3;5;2;2.93;2.56;;;;;8;7;10;;1;8;6;5;11;;;9.71;7;8.75;16.15;;1;13.17
MCOPED;2019;130784234;130786049;1;0;;19;217;0;0;1;;4;2;2.62;0.67;;;;;;;1;;;1;;;;;1;;3;;1;;0.77;1.83
MCOPED;2019;130785652;130014228;1;1;45;0;0;3579;5863;1;;1;;1.8;;;;;;14;15;16;;;14;4;8;2;;;15.48;2;15.76;18.5;;;11.3
MCOPED;2019;130804297;130786049;1;1;212;53;12129;12674;51161;16;16;43;34;27.26;24.72;;;;;22;13;23;;5;21;31;36;32;;2;33.47;24;31.27;36.31;0.35;5.67;29.12
MCOPED;2019;140000027;140000035;1;0;25;3;207;1778;5552;5;0;2;0;4.67;0;;;;;7;4;9;;1;14;15;5;2;;1;19.24;4;7.92;8.88;;1.17;17.04
MCOPED;2019;140000209;140000100;1;1;70;15;2947;5816;17354;23;16;6;5;16.81;11.63;1;1;0;0;14;20;26;;1;20;13;23;8;;;20.81;11;29.32;30.55;;1;22.36
MCOPED;2019;140000233;140000118;1;0;15;1;218;1185;2885;2;2;2;2;2.48;2.48;0;0;0;0;4;;;;;5;3;;1;;1;6.14;8;0.75;0.8;;0.4;8.97
MCOPED;2019;140024886;140000092;1;0;11;;111;731;1363;3;1;3;3;4.5;3.1;;;1;;2;3;4;;;2;1;;2;;;2.79;3;3;3;;;4.92
MCOPED;2019;150000040;150780096;1;0;16;;0;1277;2315;2;2;3;3;2.27;2.27;0;0;1;1;4;2;6;;;3;2;;2;;;5.48;8;2.52;6.44;;;6.56
MCOPED;2019;160000253;160000451;1;1;12;6;549;1673;3464;2;2;4;4;4.69;4.67;1;1;0;0;15;2;4;;;12;8;2;5;;;20.17;9;3.42;6.45;;;16
MCOPED;2019;170000087;170024194;1;0;28;5;1011;2062;4929;6;6;4;4;8.9;8.9;1;1;;;5;3;11;;1;11;4;9;5;;;7.9;6;9.01;13.62;;0.4;12.9
MCOPED;2019;170000103;170780175;1;1;25;;0;2832;5527;12;9;1;1;8.17;5.61;0;0;0;0;16;9;12;9;0;12;6;15;9;1;0;8.97;4;8.33;12.13;1.12;0;6.31
MCOPED;2019;170000152;170780225;1;;12;2;104;1439;3144;3;3;8;5;4.04;3.74;1;1;1;1;3;12;11;;;7;2;5;5;;1;3.8;1;15.15;13.59;;0.6;7.21
MCOPED;2019;180000010;180000028;1;0;20;3;244;1742;3217;;;8;8;3.14;3.14;0;0;1;1;4;2;6;;;3;4;6;1;;;8.45;2;6.42;6.72;;;4.99
MCOPED;2019;180000200;180000051;1;0;6;1;4;639;1273;0;0;3;3;1.51;1.51;0;0;1;1;4;0;1;0;0;2;2;0;2;0;0;5.75;1;0;1.97;0;0;2.57
MCOPED;2019;190000018;190000042;1;0;20;4;217;1432;3892;6;5;3;3;3.77;3.37;0;0;1;1;13;6;16;;;5;2;4;;;1;11.62;3;7.23;17.72;;0.8;6.28
MCOPED;2019;190000026;190000059;1;0;6;2;16;678;1816;2;2;1;1;2.39;2.39;0;0;1;1;;;;;;;5;10;;;1;2.15;16;5;;;0.45;7.64
MCOPED;2019;210012670;210011367;1;0;8;;0;783;1823;4;4;;;4;4;1;1;0;0;;6;4;;;;1;;2;;;0.78;;5.29;5.71;;0.14;0.5
MCOPED;2019;210987558;210780581;1;1;50;10;4160;4885;16763;28;22;;;18.82;9.63;;1;;0;35;36;29;19;5;60;;;;;;30.55;;34.4;24.68;16.79;2.17;53.81
MCOPED;2019;210987657;210012175;1;1;14;0;0;1155;2521;2;2;3;3;4.27;4.27;0;0;1;1;2;10;;;;13;1;1;;;1;2.93;7;7.04;;0.06;0.39;14.17
MCOPED;2019;210987699;210780706;1;0;3;0;47;264;509;2;2;1;1;0.66;0.66;0;0;1;1;11;0;0;0;0;11;2;0;0;0;0;1.14;6;0;0;0;0;1.72
MCOPED;2019;220000012;220000020;1;1;20;4;1504;3411;8535;5;5;8;8;11.4;11.4;1;1;1;1;;;;;;;;1;;;;;;0.26;;;;
MCOPED;2019;220000095;220000046;1;0;3;0;0;414;710;3;3;0;;3;3;0;0;1;1;2;;1;;;;5;;4;;;5.61;1;;4.08;;;0.35
MCOPED;2019;220000343;220000079;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2019;220000368;220000103;1;0;8;0;0;803;1704;;;2;;1.36;;0;;1;;4;1;;;;3;2;;3;;;5.17;10;1;1.85;;;7.94
MCOPED;2019;230000820;230780041;1;0;10;;0;832;1648;3;3;;;1.86;1.86;0;0;0;0;7;5;11;;;6;;;;;;6.49;1;4.99;10.56;;;4.93
MCOPED;2019;240000372;240000059;1;0;13;;0;749;1711;2;2;2;2;3;3;0;0;1;1;3;0;0;0;0;6;6;1;0;0;0;8.61;5;0.53;0;0;0;7.27
MCOPED;2019;240000489;240000117;1;0;21;4;348;1677;4440;3;3;1;1;4.74;4.74;1;1;0;0;1;5;2;0;0;2;2;0;1;0;0;2.82;1;4.83;2.75;0;0;1.75
MCOPED;2019;250000700;250000452;1;0;14;;0;1117;2890;3;;2;;4.03;;0;0;1;1;6;2;10;;;12;3;1;5;;1;4.2;6;1.36;5.52;;0.06;4.61
MCOPED;2019;250006954;250000015;1;1;67;20;3688;5000;16350;0;0;40;39;14.61;14.21;0;0;1;1;15;17;19;0;0;17;27;25;26;5;1;34.25;19;33.27;36.75;1.8;1.65;30.73
MCOPED;2019;260000013;260000021;1;1;29;6;311;3529;7696;8;8;6;6;11;11;1;1;1;1;;;;;;;;;;;;7.2;;13.6;15.9;;2.8;12
MCOPED;2019;260000120;260016910;1;0;12;1;359;1278;3218;0;;4;4;2.8;2.8;0;;1;;6;1;;;2;7;2;2;;;;6.51;7;2.75;;;1.25;15.25
MCOPED;2019;260000138;260000047;1;1;21;0;0;1676;3168;2;2;2;2;3.49;3.49;0;0;1;1;2;4;9;0;0;3;3;8;10;0;1;5.94;2;8.59;13.07;0;0.5;4.46
MCOPED;2019;270000359;270023724;1;1;18;;0;1858;3599;6;6;9;9;9.72;9.72;1;1;0;0;5;4;4;;1;4;3;4;4;;;7.07;5;2.89;7.2;;1;7.49
MCOPED;2019;280000084;280000183;1;1;21;;0;1554;3871;;;9;9;2.66;2.66;1;;1;;11;3;8;;;14;1;1;2;;;9.66;2;4.27;7.29;;;13.92
MCOPED;2019;280504267;280000134;1;1;17;3;489;1887;4097;11;11;3;3;4.83;4.83;1;1;1;1;8;2;11;;;8;11;4;7;;;15.31;7;6.18;17.55;;;13.45
MCOPED;2019;290000025;290020700;1;1;24;2;474;3150;6720;8;8;10;9;14.9;14.2;1;1;0;0;14;9;13;;;7;4;3;8;;;9.43;5;6.2;9.09;0;0.09;5.15
MCOPED;2019;290000033;290021542;1;;16;0;264;1040;2242;5;5;3;3;4.61;4.61;0;0;1;1;;5;3;;;4;;11;4;;;1.35;6;13.77;6.2;;;7.66
MCOPED;2019;290000058;290000017;1;1;58;5;3163;6239;16471;10;;4;;13.4;;1;1;1;1;;;;;;;;;;;;;;;;;;
MCOPED;2019;2A0000022;2A0000014;1;0;15;0;0;1525;2733;;;3;3;3.64;3.02;0;0;1;1;3;2;4;;;2;5;8;14;;;7.4;7;7.96;15.99;;;6.76
MCOPED;2019;2B0000012;2B0000020;1;0;16;1;15;1333;2501;5;4;5;2;7.8;5.34;0;0;0;0;6;3;9;0;2;3;0;1;3;0;2;5.44;10;3.54;10.55;0;1.49;6.93
MCOPED;2019;300000023;300780046;1;0;14;0;0;1540;2913;5;5;0;0;4;4;0;;1;;6;3;6;1;;15;2;8;;1;1;6.57;2;7.66;4.37;0.25;0.25;13.95
MCOPED;2019;300000031;300780053;1;0;11;1;20;817;2106;4;3;0;0;4.89;1.49;0;0;1;1;4;3;8;0;1;6;4;5;3;0;1;6.31;2;6.69;7.24;0;0.26;5.37
MCOPED;2019;300002508;300000213;1;0;;15;1;0;0;;;1;;0.15;;0;;1;;;;;;;;;;;;;;;;;;;
MCOPED;2019;300782117;300780038;1;1;40;9;1514;3728;7091;9;9;3;1;9.15;8.26;1;1;0;0;17;14;19;;;16;2;3;4;;1;15.76;5;16.87;21.89;;0.5;19.41
MCOPED;2019;310000310;310780671;1;1;2;0;0;91;132;2;;1;;2.7;;0;;1;;;;;;;;;;;;;;;;;;;
MCOPED;2019;310016977;310781406;1;1;175;36;7893;13688;41430;17;12;58;30;40.91;25.48;;;;;57;128;152;6;;34;25;39;16;4;6;73.26;11;134.26;138.84;9.3;2.43;35.21
MCOPED;2019;310026083;310026075;1;1;2;5;5148;765;983;14;8;10;;19;8;0;0;1;1;;3;;;;;;6;4;4;1;;1;5.8;1;1;0.1;1.5
MCOPED;2019;310780150;310788799;1;0;7;6;1341;900;1483;7;;;;7;;0;;1;;;8;;;;;;1;;;;;;8.8;;;;
MCOPED;2019;310780259;310000096;1;0;2;1;239;126;131;;;4;2;0.5;0.5;0;0;1;1;2;2;;;2;;;;;;;0.5;;0.5;;;0.1;
MCOPED;2019;310783048;310781406;1;1;20;17;5091;1923;4630;;;7;6;3.22;2.82;;;;;11;12;14;;;3;2;3;3;;1;14.2;;12.7;14.65;;0.4;3.13
MCOPED;2019;320000086;320780117;1;1;14;0;0;1114;1922;1;1;5;5;4.45;4.45;1;1;1;1;3;3;6;0;0;11;2;3;3;0;0;4.4;3;8.05;8.5;0;0;12.55
MCOPED;2019;330000555;330781204;1;1;6;;0;590;1398;2;2;1;1;2.8;2.8;0;0;1;1;1;2;2;;;2;1;2;1;;1;1.8;;4.55;2.99;;0.1;0.6
MCOPED;2019;330000605;330781253;1;1;11;4;521;1740;4051;3;3;8;8;4.49;4.49;1;1;0;0;7;11;3;;;8;0;2;;;3;6.7;2;11.7;3.36;;0.97;7.36
MCOPED;2019;330780479;330000274;1;0;5;5;0;366;494;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;
MCOPED;2019;330781360;330781196;1;;101;24;7703;13522;36807;30;30;15;14;32.3;31.8;0;0;1;1;32;61;47;3;3;56;2;22;8;;5;34.25;11;69.74;50.35;2.07;5.82;66.93
MCOPED;2019;330783648;330781196;1;0;12;5;1172;1065;5425;2;;6;;2.7;;0;;1;;16;6;8;;;4;10;3;7;;1;13.25;1;4.07;11.24;;0.4;3.18
MCOPED;2019;330802752;330781196;1;0;21;6;1731;391;6749;4;;9;;8;;0;;1;;26;2;8;;;7;0;0;2;;8;20.75;8;2;8.76;;3.34;8.92
MCOPED;2019;340000025;340022722;1;0;0;4;1468;0;0;0;0;9;4;1.31;0.96;0;0;1;;1;0;0;0;0;2;1;0;0;1;2;1.12;10;0;0;0.05;0.69;5.24
MCOPED;2019;340000033;340780055;1;1;23;1;158;2863;4422;;;12;12;5.13;5.13;0;0;;;;18;12;;1;13;;4;4;;;;2;13.25;9.4;;1;10.83
MCOPED;2019;340000223;340011295;1;0;14;0;0;1025;1993;1;1;3;3;4.17;3.91;;;;;6;4;3;0;0;6;2;2;2;0;0;7.77;4;5.11;4.6;0;0;8.6
MCOPED;2019;340022979;340000306;1;1;11;0;10;31;48;;;13;2;5;1;0;0;1;1;2;2;2;;;;;3;;;2;1.88;1;3.95;2;;0.78;0.91
MCOPED;2019;340780634;340000272;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2019;340782085;340780477;1;0;16;4;989;1422;3520;10;6;3;2;5.49;4.3;0;0;1;1;;;;;;;;;;;;;;;;;;
MCOPED;2019;340785161;340780477;1;1;42;6;1144;4884;9986;5;;45;13;17.55;6.5;1;1;1;1;15;53;36;;;14;1;10;5;;;14.6;6;52.93;36.77;;;19.06
MCOPED;2019;340796663;340780477;1;0;48;18;4808;4345;14601;26;24;36;31;24.29;22.91;0;1;1;1;14;51;35;;3;14;4;13;10;2;1;14.7;7;55.51;41.54;0.63;1.6;17.88
MCOPED;2019;350000147;350000022;1;0;12;2;60;1369;2458;;;7;7;4.41;4.41;0;0;1;1;1;4;8;;;3;0;10;9;;;1.1;4;12.58;15.71;;;4.04
MCOPED;2019;350000154;350000030;1;1;5;1;9;753;1391;3;3;2;2;1.75;1.75;0;0;1;1;2;4;4;;;14;4;2;4;;;1.71;9;1.68;2.09;;;6.39
MCOPED;2019;350000162;350000048;1;0;9;1;24;656;1449;2;2;;;1.47;1.47;0;0;1;1;3;4;8;;;5;2;6;3;;;1.91;1;5.1;6.64;;;2.78
MCOPED;2019;350000188;350000055;1;0;5;0;0;552;894;3;3;4;3;3.95;3.95;0;0;1;1;3;4;;;;9;0;2;;;;2.42;2;3.83;0.04;;;3.27
MCOPED;2019;350000741;350005179;1;0;;;96;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2019;350007084;350005179;1;1;82;6;1250;6907;22718;63;24;19;10;18.26;12.91;;;;;39;45;37;;3;34;18;55;31;;6;50.81;12;85.76;62.14;;3.83;39.22
MCOPED;2019;360000137;360000053;1;0;11;0;0;954;2628;3;;0;;3;;0;;1;;8;2;8;;;5;3;1;;;;9.67;5;2.85;6.85;;;7.52
MCOPED;2019;370000499;370000481;1;1;127;23;3982;7878;23023;63;30;41;18;62.24;33.3;0;0;1;1;46;16;21;2;2;100;20;5;13;10;2;43.03;38;16.04;26.01;5.91;0.94;108.57
MCOPED;2019;380000034;380780049;1;1;20;;0;1871;4007;1;1;9;9;4.13;4.13;1;1;0;0;0;9;0;0;0;7;0;2;0;0;0;0.3;3;8.83;0;0;0;9.71
MCOPED;2019;380000067;380780080;1;1;91;23;6388;8108;26203;22;15;57;35;51.84;35.58;1;1;1;1;20;60;45;3;3;27;20;41;37;3;4;40.56;17;85.84;69.03;4.54;5.23;39.05
MCOPED;2019;380000174;380781435;1;1;14;2;59;1558;2794;;;5;5;2.1;2.1;1;1;0;0;6;1;6;;;2;2;1;3;;;7.03;3;3.03;7.18;;;4.99
MCOPED;2019;380000406;380784751;1;1;11;1;171;1167;2036;2;2;11;11;7.45;7.45;;;;;2;7;7;0;0;0;3;4;4;0;1;3.55;3;9.44;8.35;0;0.25;1.57
MCOPED;2019;390000040;390780146;1;0;14;0;0;1170;2457;2;2;3;3;3.59;3.21;0;0;1;1;;1;20;;;1;8;13;13;;;3.43;1;6.04;5.28;;;2.04
MCOPED;2019;390000222;390780609;1;0;15;0;0;1132;2507;3;3;4;4;5.27;5.27;;;;;3;7;5;;2;4;5;5;3;;;6.96;2;10.95;6.81;;1;5.8
MCOPED;2019;400000105;400780193;1;;17;1;66;1626;2618;2;2;4;4;2.29;2.29;0;0;1;1;1;8;11;0;0;7;1;6;3;1;1;1.82;2;13.42;14.33;0.1;0.48;8.48
MCOPED;2019;400000139;400011177;1;;16;2;390;1109;2482;5;5;2;2;5.58;5.58;1;1;0;0;2;3;3;0;0;3;5;1;3;0;1;5.88;6;4.35;5.76;0;0.5;5
MCOPED;2019;410000020;410000087;1;1;12;4;176;1617;4796;0;0;8;8;2.05;2.05;1;1;0;0;0;0;0;0;0;0;21;20;1;0;0;7.91;26;8.16;0.18;0;0;10.19
MCOPED;2019;410000046;410000103;1;0;8;0;0;726;1382;3;;;;3;;0;0;1;1;2;2;5;;;1;1;2;2;;;2.8;2;3.05;6.6;;;2
MCOPED;2019;420000010;420780033;1;1;22;0;0;1868;4768;8;8;5;4;3.47;3.16;1;1;0;0;6;5;10;1;;8;3;4;4;;;8.65;1;8.13;14.03;0.08;;5.73
MCOPED;2019;420000226;420013831;1;0;8;0;0;968;1688;1;;3;;3.59;;0;0;1;1;5;2;2;;;4;;3;4;;;5.07;2;4.79;7.07;;;5.23
MCOPED;2019;420000234;420780652;1;;7;8;380;808;749;1;1;3;3;1.64;1.64;;;1;1;5;3;;;;1;;1;0;;;4.91;1;4.46;0.1;;;2.04
MCOPED;2019;420780504;420000135;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2019;420782559;420784878;1;0;;1;255;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2019;420785354;420784878;1;1;65;7;2668;6036;16004;43;28;7;5;15.46;10.21;1;1;1;1;59;13;37;0;1;36;31;9;21;0;3;62.41;12;18.37;42.22;0;1.28;26.68
MCOPED;2019;430000117;430000018;1;0;17;;0;2057;3092;0;0;6;6;2.46;2.46;0;0;1;1;1;0;0;0;0;1;3;10;17;0;1;3.39;16;4.58;3.42;0;0.7;5.59
MCOPED;2019;440000016;440000057;1;1;24;2;1408;2662;6438;13;10;1;1;9.25;8.18;1;1;0;0;3;3;5;;;1;4;11;14;1;3;6.2;6;11.11;16.28;0.02;0.8;4.29
MCOPED;2019;440000271;440000289;1;1;111;29;8041;9931;33539;43;28;26;15;27.67;18.35;1;1;1;;73;60;57;0;0;50;47;37;37;1;4;105.9;17;84.35;77.66;0.56;0.85;61.22
MCOPED;2019;440000503;440000313;1;1;4;;0;505;1129;3;3;1;1;2.06;2.06;0;0;1;1;;;;;;1;5;3;3;;;4.41;5;1.53;1.05;;;2.45
MCOPED;2019;450000047;450000096;1;1;20;;0;1358;2767;1;1;6;6;2.7;2.7;0;0;1;1;2;3;7;1;;6;6;;3;;;6.53;2;3;9.32;0.4;;7.64
MCOPED;2019;450000062;450000104;1;1;13;;0;1369;2482;1;1;5;5;2.5;2.5;1;1;0;0;11;4;7;;;6;7;1;4;;;14.98;3;6.1;8.44;;;8.19
MCOPED;2019;450002613;450000088;1;1;55;6;2020;5267;13227;7;1;32;19;12;6.65;1;1;1;1;20;20;28;0;0;7;13;15;12;0;6;29.47;7;26.02;38.75;0;2.65;10.66
MCOPED;2019;460000110;460780216;1;0;10;0;145;573;1174;2;2;1;1;3.64;3.64;0;0;1;1;1;5;5;0;0;2;1;3;1;0;0;1.27;2;5.55;5.53;0;0;3.34
MCOPED;2019;470000423;470016171;1;0;10;2;552;1252;4001;2;2;9;9;6.26;6.26;1;1;;;1;8;6;;0;5;3;8;7;;2;2.91;15;12.13;8.69;;1.3;8.33
MCOPED;2019;470000431;470000324;1;0;7;0;0;686;1541;2;2;1;1;2.61;2.61;0;;1;;;3;11;;;2;;;7;;1;;7;2.1;15.22;;0.15;4
MCOPED;2019;470000480;470001660;1;0;14;2;35;794;1924;2;2;;;2;2;0;0;0;1;6;2;4;2;;7;1;1;1;;;4.8;2;2.3;2.8;0.3;;9
MCOPED;2019;480000017;480780097;1;0;6;0;92;411;796;1;1;1;;1.01;1;0;0;1;1;2;10;;;;4;;4;;;1;0.74;3;11.58;;;0.25;2.78
MCOPED;2019;490000049;490000031;1;;62;12;2906;6305;15463;8;6;28;20;16.28;12.46;1;1;1;1;7;4;15;0;0;25;22;28;12;1;0;16.66;22;19.23;23.22;0.2;0;34.08
MCOPED;2019;490000635;490000676;1;;20;2;246;1971;4823;7;6;4;3;4.31;3.55;1;1;0;0;6;2;6;;;3;6;6;7;;;11.91;;7;11.35;;;3.92
MCOPED;2019;490001765;490528452;1;1;5;1;138;720;1479;5;5;2;2;0.74;0.74;1;1;0;0;12;5;5;;;23;7;2;3;;;3.18;9;1.58;6.43;;;4.12
MCOPED;2019;500000021;500000054;1;0;15;;0;1389;3112;7;7;3;3;7.58;7.58;1;1;0;0;3;0;2;;;6;12;10;8;;;12.22;9;7.48;6.39;;;11.89
MCOPED;2019;500000187;500000013;1;;23;2;196;1736;6267;8;8;1;1;6.31;6.31;0;0;0;0;14;7;6;0;0;21;9;2;2;0;1;19.39;5;9.33;4.24;0;0.5;20.91
MCOPED;2019;500000450;500000112;1;1;22;0;47;1608;4591;3;;3;;6.39;;1;;0;;7;6;6;;;4;5;5;6;;1;4.72;;5.83;9.32;;0.21;3.4
MCOPED;2019;510000169;510000037;1;0;14;0;178;1087;2440;;;6;6;3.6;3.6;;;;;7;1;4;;;2;5;;6;;1;7.93;11;2.09;7.21;;0.49;6.76
MCOPED;2019;510000235;510000060;1;0;10;;0;751;2196;1;1;6;5;2.82;2.77;0;;1;;2;3;2;;;3;3;;4;;;3.88;3;2.47;5.21;;;4.15
MCOPED;2019;510002470;510000029;1;1;52;15;4032;4785;14886;28;16;1;1;14.15;6.3;1;1;1;1;9;18;12;0;0;18;11;6;5;0;0;16.05;5;18.7;19.75;0;0;16.02
