BOR;AN;FI;FI_EJ;ORG_A1;ORG_B1;ORG_C1;ORG_A2;ORG_B2;ORG_C2;ORG_A24;ORG_B24;ORG_C24;ORG_A3;ORG_B3;ORG_C3;ORG_A6;ORG_B6;ORG_C6;ORG_A7;ORG_B7;ORG_C7;ORG_A8;ORG_B8;ORG_C8;ORG_A10;ORG_B10;ORG_C10;ORG_A11;ORG_B11;ORG_C11;ORG_A17;ORG_A18;ORG_A19;ORG_A20;ORG_A21;ORG_A22;ORG_A23;ORG_A12;GCS_PM;GHT_PM;AUT_PM;GCS_PARA;GHT_PARA;AUT_PARA;GCS_ADMTECLOG;GHT_ADMTECLOG;AUT_ADMTECLOG
ORG;2019;040000028;040780124;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;1;1;ALPES-DE-HAUTE-PROVENCE;;;;;0;0;0;0;;;;;;
ORG;2019;040000036;040780132;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;ALPES DU SUD;;;;;;;;;;;;;;
ORG;2019;040000069;040780181;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;1;1;ALPES-DE-HAUTE-PROVENCE;;;;;0;;;;;;;;;
ORG;2019;040000093;040780215;;;;2;A;C;;;;;;;;;;2;D;;;;;64;A;C;;;;;;;;;;;0;;0.4;2.37;;;2.35;;4.2;3.47
ORG;2019;040000119;040780231;;;;;;;;;;;;;;;;;;;;;;29;;;;;;1;1;ALPES-DE-HAUTE-PROVENCE;;;;;;;0.1;;;;;;0.3;
ORG;2019;040000127;040780249;;;;1;A;;;;;;;;1;A;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0
ORG;2019;040000135;050002948;;;;4;C;D;;;;;;;1;B;;;;;4;C;;35;C;D;5;D;A;0;;;;;;;;;;;;;;;;
ORG;2019;040000911;040788879;;;;1;A;;;;;;;;;;;2;D;;;;;37;C;D;;;;1;1;ALPES-DE-HAUTE-PROVENCE;;;;;2.56;0.86;0.89;2.47;7.23;5.37;11.64;21.55;9.04;3.87
ORG;2019;040780405;040000168;;;;;;;;;;;;;;;;;;;;;;2;C;C;;;;0;;;;;;;;;;;;;;;;
ORG;2019;040780488;040000200;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;;0.03;;;0.14;;;;;;
