BOR;AN;FI;FI_EJ;AUT;SAL;SALANG;SEJ;JOU;ACT;ACT1;ACT2;ACT3;ADU;ENF;GREF;SALAS;CEC;INTENF;INTADU;INTURG;INTCEC;LIT_CHIRC;LIT_CAR;SEJ_CHIRC;JOU_CHIRC
CHIRCAR;2019;130784051;130037823;1;3;3;2113;6433;2726;1432;0;1294;1;0;0;;;0;908;;766;17;34;934;7372
CHIRCAR;2019;130784713;130038847;1;2;1;1157;5712;1386;400;0;986;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;130785652;130014228;1;2;1;2246;6792;2766;1521;0;1245;1;0;0;3;3;0;1001;;880;22;49;1183;4105
CHIRCAR;2019;130804297;130786049;0;;;0;0;0;0;0;0;0;1;1;1;2;343;2;;0;16;;851;3960
CHIRCAR;2019;140000209;140000100;1;4;2;2225;6226;2436;715;3;1718;1;0;1;2;2;0;1166;;0;0;22;0;0
CHIRCAR;2019;140017237;140003278;1;3;1;3697;8841;4124;948;0;3176;1;0;0;2;2;0;798;;744;14;40;719;3134
CHIRCAR;2019;150000040;150780096;1;1;0;921;2498;1026;175;0;851;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;160000253;160000451;1;1;1;1653;4825;1769;441;0;1328;0;0;0;;;0;0;;0;;38;0;0
CHIRCAR;2019;170000087;170024194;1;3;0;1902;4757;2076;819;0;1257;0;0;0;;;0;0;;0;;43;0;0
CHIRCAR;2019;170000103;170780175;1;;1;1393;3865;1539;319;0;1220;0;0;0;;;0;0;;0;;28;0;0
CHIRCAR;2019;180000010;180000028;1;1;2;1421;4165;1579;292;0;1287;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;190000018;190000042;1;1;1;1204;3090;1344;122;0;1222;0;0;0;0;0;0;0;0;0;;34;0;0
CHIRCAR;2019;210012670;210011367;1;0;2;1602;3310;1655;267;0;1388;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;210987558;210780581;1;3;2;2771;8014;3214;1147;0;2067;1;1;1;2;3;5;1262;;978;19;44;998;7109
CHIRCAR;2019;220000012;220000020;1;2;2;1401;3553;1505;363;0;1142;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;230000820;230780041;1;1;0;127;649;136;90;0;46;0;0;0;;;0;0;;0;;23;0;0
CHIRCAR;2019;240000489;240000117;1;1;1;1323;4849;1539;382;0;1157;0;0;0;0;0;0;0;0;0;0;35;0;0
CHIRCAR;2019;250000270;250000643;1;2;2;1287;1969;1320;388;0;932;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;250006954;250000015;1;3;3;2442;6193;2693;677;2;2014;1;0;0;3;4;1;922;;733;24;37;958;5907
CHIRCAR;2019;260000013;260000021;1;2;1;1807;4973;1883;483;0;1400;0;0;0;;;0;0;;0;;38;0;0
CHIRCAR;2019;270000862;270000953;1;;1;542;1692;560;68;0;492;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;280504267;280000134;1;0;1;1651;4538;1853;761;0;1092;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;290000025;290020700;1;0;1;948;3196;1007;109;0;898;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;290004324;290000017;1;3;3;1679;5003;1964;904;3;1057;1;0;0;2;6;1;768;34;1057;27;54;1654;8891
CHIRCAR;2019;290019777;290022508;1;1;1;839;3162;907;177;0;730;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;2A0000022;2A0000014;1;1;1;793;3362;930;77;0;853;1;0;0;;;0;2;;0;;20;0;0
CHIRCAR;2019;2B0000012;2B0000020;1;1;1;1183;2942;1279;205;0;1074;0;0;0;0;0;0;0;0;0;0;22;0;0
CHIRCAR;2019;300000023;300780046;1;0;0;61;332;;;;;0;0;0;;;;;;;0;0;0;0
CHIRCAR;2019;300780152;300017985;1;3;3;1633;5255;1962;860;0;1102;1;0;0;2;2;0;536;17;432;;46;0;0
CHIRCAR;2019;300782117;300780038;1;2;2;2177;5875;2424;710;0;1714;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;310016977;310781406;1;1;1;112;386;126;12;114;0;0;1;0;2;2;0;0;104;0;;;0;0
CHIRCAR;2019;310026927;310026794;1;2;;962;3086;1095;83;0;1012;0;0;0;;;0;0;;0;;16;0;0
CHIRCAR;2019;310780259;310000096;1;4;4;6901;12594;7862;2900;2;4960;1;0;0;5;5;7;1544;;1379;38;110;2297;10910
CHIRCAR;2019;310781000;310788880;1;1;1;1084;2591;1198;102;0;1096;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;310783055;310781406;1;6;6;4214;13796;4973;1438;0;3535;1;0;1;4;5;0;1873;536;1601;25;75;1316;3394
CHIRCAR;2019;330000605;330781253;1;1;1;1301;3649;1429;466;0;963;0;0;0;0;0;0;0;0;0;0;32;0;0
CHIRCAR;2019;330780081;330000043;1;2;2;2151;6046;2608;1036;1;1571;1;0;0;3;3;1;1999;58;1837;34;46;1417;8455
CHIRCAR;2019;330780479;330000274;1;2;2;1251;4064;1403;365;0;1038;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;330780503;330000308;1;0;1;1365;3938;1448;45;0;1403;0;0;0;0;0;0;0;;0;;28;0;0
CHIRCAR;2019;330781352;330781196;1;0;1;131;629;138;71;0;67;0;0;0;;;0;0;;0;0;30;0;0
CHIRCAR;2019;330783648;330781196;1;7;3;4196;12778;5669;2433;126;3110;1;1;1;5;7;487;2856;;2462;58;168;2704;17651
CHIRCAR;2019;340015502;340000512;1;3;3;2616;7902;2845;921;1;1923;1;0;0;2;2;0;696;;638;25;60;1193;5913
CHIRCAR;2019;340780667;340000280;1;2;2;1369;5061;1599;458;0;1141;0;0;0;0;0;0;0;0;0;0;0;0;0
CHIRCAR;2019;340796663;340780477;1;;3;2815;9726;3572;1102;6;2464;1;0;1;3;4;1;955;;873;56;64;2898;15587
CHIRCAR;2019;350000147;350000022;1;1;1;1217;3926;1406;273;0;1133;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;350000741;350005179;1;5;2;2541;9573;2914;1248;1;1665;1;0;1;5;4;13;1879;;1534;40;66;3053;11178
CHIRCAR;2019;350002192;220020739;1;3;2;1689;4072;1751;375;0;1376;0;0;0;0;0;0;0;0;0;0;0;0;0
CHIRCAR;2019;360000137;360000053;1;1;1;210;1416;151;32;0;60;0;0;0;;;0;0;;0;;3;0;0
CHIRCAR;2019;370000085;370013468;1;4;2;1148;3247;1288;453;0;835;1;0;0;2;2;0;404;28;393;0;;315;1089
CHIRCAR;2019;370000093;370013468;0;4;2;864;2649;982;378;0;604;1;0;0;2;2;0;237;24;231;6;;232;843
CHIRCAR;2019;370000499;370000481;0;0;0;0;0;0;0;0;0;0;1;0;2;2;273;0;0;0;4;0;227;1059
CHIRCAR;2019;370004467;370000481;1;0;3;3367;9473;3888;1552;1;2335;1;0;1;3;3;2;776;;718;8;54;776;2498
CHIRCAR;2019;380000034;380780049;1;1;;103;613;109;79;0;30;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;380000067;380780080;1;3;2;2536;8853;2855;1398;36;1421;1;0;1;2;3;8;840;158;734;25;;851;7167
CHIRCAR;2019;380012658;380012609;1;0;3;1459;3702;1528;113;0;1415;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;380786442;380798025;1;2;2;1351;2662;1595;463;0;1132;0;0;0;;;0;0;;0;;37;0;0
CHIRCAR;2019;400000139;400011177;1;2;1;782;2595;865;158;0;707;0;0;0;;;0;0;;0;;18;0;0
CHIRCAR;2019;410000020;410000087;1;1;0;233;1273;244;217;0;27;0;0;0;;;0;0;;0;;24;0;0
CHIRCAR;2019;420000010;420780033;1;1;;179;736;192;166;0;26;0;0;0;;;0;0;;0;;16;0;0
CHIRCAR;2019;420011413;420011405;1;1;;848;3164;937;259;0;678;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;420785354;420784878;1;6;2;3369;10345;3786;1669;0;2117;1;0;0;2;2;3;803;;668;10;52;606;3557
CHIRCAR;2019;440000016;440000057;1;2;1;905;3589;1040;48;0;992;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;440000271;440000289;1;1;0;129;640;131;2;90;39;0;1;1;1;2;0;0;;0;;;0;0
CHIRCAR;2019;440017598;440000289;1;6;6;2606;9174;2929;1139;3;1787;1;0;1;5;6;5;2089;;1868;5;;136;948
CHIRCAR;2019;440041580;440041572;1;0;4;3337;6949;3580;1877;0;1703;0;0;0;;;0;0;;0;;40;0;0
CHIRCAR;2019;450000294;450000591;1;3;3;1773;5904;2057;548;0;1509;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;450002613;450000088;1;0;2;2389;6152;2602;531;0;2071;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;470000027;470014069;1;2;;1429;4350;1601;296;0;1305;0;0;0;;;0;0;;0;;32;0;0
CHIRCAR;2019;490000049;490000031;1;3;1;1938;8882;2504;729;1;1774;1;0;0;2;4;6;882;166;829;15;51;754;3733
CHIRCAR;2019;490000262;490000171;1;2;;1735;4485;1921;995;0;926;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;490000635;490000676;1;1;;124;579;127;46;0;81;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;510002447;510000029;1;1;2;1873;6047;2047;775;0;1272;1;0;0;2;2;0;866;139;754;20;67;1424;6642
CHIRCAR;2019;510024979;510000532;1;2;3;2175;7066;2429;820;0;1609;0;0;0;;;0;0;;0;0;34;0;0
CHIRCAR;2019;530000264;530000371;1;1;0;940;3080;1193;101;0;1092;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;540000445;540000890;1;2;2;2829;5684;3108;940;0;2168;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;540000478;540003449;1;3;4;3269;7892;3460;474;0;2986;0;0;0;;;0;0;;0;;54;0;0
CHIRCAR;2019;540002698;540023264;1;6;3;3263;11243;3807;1491;0;2316;1;0;1;2;3;3;888;;686;24;73;1866;7296
CHIRCAR;2019;560000127;560023210;1;2;0;1570;3983;1646;478;0;1168;0;0;0;;;;;;;;;0;0
CHIRCAR;2019;560000135;560005746;1;1;1;1677;4650;1757;527;0;1230;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;570000349;570005165;1;1;1;112;531;122;97;0;25;0;0;0;;;0;0;0;0;;27;0;0
CHIRCAR;2019;570000646;570001115;1;1;2;1791;4409;2050;492;0;1558;1;0;0;;;0;791;;483;17;23;998;7008
CHIRCAR;2019;570026682;570005165;1;5;5;3526;7672;4029;1074;0;2955;1;0;0;3;3;1;524;130;330;16;58;861;4564
CHIRCAR;2019;580972693;580780039;1;1;0;1179;4360;1249;60;0;1189;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;590000337;590781415;1;0;1;524;1417;558;52;0;506;0;0;0;;;0;0;;0;;26;0;0
CHIRCAR;2019;590000618;590782215;1;3;2;1544;5950;3733;740;0;2993;0;0;0;;;0;0;;0;;67;0;0
CHIRCAR;2019;590008041;590008033;1;2;;1599;4128;1833;964;0;869;0;0;0;;;0;0;;0;;54;0;0
CHIRCAR;2019;590780268;590053955;1;1;1;1407;3953;1748;598;0;1150;1;0;0;2;2;0;1356;;1093;20;23;1060;5028
CHIRCAR;2019;590780284;590051801;1;1;1;1366;5238;1601;970;0;631;0;0;0;;;0;0;;0;;44;0;0
CHIRCAR;2019;590780383;590000204;1;;1;831;1912;838;63;0;775;1;0;0;;;0;2;;0;;;0;0
CHIRCAR;2019;590782553;590000741;1;1;;469;1321;484;96;0;388;1;0;0;;;0;7;;0;;29;0;0
CHIRCAR;2019;590787586;590780193;1;6;4;2840;9668;3251;1083;106;2062;1;1;1;4;4;38;2024;;1558;52;117;1656;13014
CHIRCAR;2019;590801106;590782421;1;2;1;876;3861;944;341;0;603;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;600000194;600100713;1;1;1;705;2859;774;83;0;691;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;600000467;600101984;1;1;;990;2831;1147;238;0;909;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;600113476;600100721;1;1;1;642;2798;668;259;0;409;0;0;0;;;0;0;;0;0;30;0;0
CHIRCAR;2019;610000051;610780082;0;0;0;0;0;;;;;0;0;0;;;;;;;;22;0;0
CHIRCAR;2019;620000257;620100685;1;1;3;2170;5994;2402;860;0;1542;0;0;0;;;0;0;;0;;60;0;0
CHIRCAR;2019;620000653;620103440;1;2;2;880;2406;931;285;0;646;0;0;0;0;0;0;0;0;0;0;27;0;0
CHIRCAR;2019;620033761;620023770;1;3;3;206;1280;370;94;0;276;1;0;0;2;2;0;797;;640;11;;613;2976
CHIRCAR;2019;620101501;620000364;1;2;2;1770;3793;1979;577;0;1402;0;0;0;;;0;0;;0;9;;0;0
CHIRCAR;2019;620118513;620002915;1;2;1;658;1483;685;62;0;623;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;630000404;630780989;1;6;3;3622;10655;4844;1875;23;2946;1;0;1;3;3;1;1410;140;1270;24;102;1007;6811
CHIRCAR;2019;630780211;630000107;1;4;4;1973;4098;2422;1343;0;1079;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;640000600;640781290;1;2;1;1744;2467;1913;831;0;1082;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;640016580;640010658;1;1;1;2302;4897;6634;1449;0;1717;0;0;0;;;0;0;;0;;58;0;0
CHIRCAR;2019;640781225;640000568;1;;2;830;2435;869;290;0;579;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;650000417;650783160;1;0;1;677;1815;720;169;0;551;0;0;0;0;0;0;0;0;0;0;0;0;0
CHIRCAR;2019;650780679;650000243;1;;1;808;3470;969;272;0;697;0;0;0;;;0;0;;0;;24;0;0
CHIRCAR;2019;660000084;660780180;1;1;1;1342;4824;1560;501;0;1059;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;660780784;660000407;1;3;2;2724;7615;3167;1049;0;2118;1;0;0;2;2;0;543;57;537;;42;0;0
CHIRCAR;2019;670000025;670780055;1;1;2;3237;10393;3780;1369;0;2411;1;0;1;3;4;168;1361;;1227;24;91;1387;6849
CHIRCAR;2019;670000157;670780337;1;2;1;1592;4917;1714;422;1;1291;0;0;0;;;0;0;;0;;55;0;0
CHIRCAR;2019;670014430;670001734;1;3;1;1147;2098;1342;543;37;762;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;670783273;670780055;1;1;2;58;361;54;10;44;0;0;1;0;3;4;0;0;;0;;4;0;0
CHIRCAR;2019;680000320;680000643;1;0;2;1923;5821;2087;119;0;1968;0;0;0;0;0;0;0;0;0;0;68;0;0
CHIRCAR;2019;680000684;680000973;1;;1;616;2322;692;133;0;559;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;680001195;680000643;1;;2;1319;5452;1434;415;0;1019;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;680004546;680020336;1;2;2;1617;5600;1756;418;0;1338;1;0;0;2;2;0;803;;504;27;49;553;4447
CHIRCAR;2019;690000575;690782222;1;1;1;743;2634;807;197;0;610;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;690041124;690000724;1;5;3;2674;5069;3188;1174;0;2014;1;0;0;2;3;0;1090;;974;10;24;846;3816
CHIRCAR;2019;690780390;690000229;1;1;;936;1863;1268;1237;0;31;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;690780648;690036900;1;3;3;1837;3744;2073;837;0;1236;1;0;0;2;2;0;990;;891;24;15;776;5589
CHIRCAR;2019;690784152;690781810;1;1;;1921;4654;2148;866;0;1282;0;0;0;;;0;0;;0;;32;0;0
CHIRCAR;2019;690784186;690781810;1;3;3;2967;8930;3328;1242;118;1968;1;1;1;4;5;763;1454;;1148;79;125;1588;10853
CHIRCAR;2019;690793468;690002068;1;0;3;2070;4183;2303;1393;1;909;1;0;0;2;2;0;739;;613;21;13;637;3225
CHIRCAR;2019;690805361;690805353;1;2;1;1803;4206;2023;572;0;1451;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;710978263;710780958;1;3;0;286;1086;301;244;0;57;0;0;0;;;0;0;;0;;17;0;0
CHIRCAR;2019;710978289;710780263;1;1;1;829;2626;917;79;0;838;0;0;0;;;0;0;;0;;20;0;0
CHIRCAR;2019;720000033;720000025;1;2;1;1299;3949;1357;432;0;925;0;0;0;;;0;0;;0;;47;0;0
CHIRCAR;2019;720017748;720000561;1;1;1;1235;4493;1344;479;0;865;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;730000031;730000015;1;1;1;1291;4114;1427;381;0;1046;0;0;0;;;0;0;;0;;48;0;0
CHIRCAR;2019;740000237;740781133;1;2;2;1581;4295;1718;725;0;993;1;0;0;2;2;3;915;37;798;17;14;987;4578
CHIRCAR;2019;740014345;740000617;1;;2;513;719;537;0;0;537;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;740780416;740000112;1;0;2;355;500;365;41;0;324;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;750000523;750150120;1;2;2;1384;3269;1502;586;0;916;0;0;0;;;0;0;;0;;33;0;0
CHIRCAR;2019;750100042;750712184;1;2;2;1149;2868;1218;40;0;1178;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;750100091;750712184;1;1;;74;375;80;;;;0;0;0;;;;;;;;;0;0
CHIRCAR;2019;750100125;750712184;1;2;2;3524;13039;4090;1584;2;2504;1;0;1;6;6;1;1853;;1536;27;60;3684;5655
CHIRCAR;2019;750100166;750712184;1;1;;615;1750;703;46;;657;0;0;0;;;;;;;;;0;0
CHIRCAR;2019;750100208;750712184;1;1;;326;1678;398;61;308;29;0;1;1;2;3;1185;18;;17;3;10;653;669
CHIRCAR;2019;750100232;750712184;1;3;2;1681;7313;2161;564;4;1593;1;0;1;0;;12;1696;;1407;24;;2428;7366
CHIRCAR;2019;750150104;750720476;1;3;2;3451;7807;3731;1751;1;1979;1;0;0;2;4;3;1250;;1193;30;47;918;3777
CHIRCAR;2019;750300154;750000671;1;1;1;1249;1702;1303;54;0;1249;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;750301137;750001034;1;1;1;890;1822;918;473;0;445;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;750803447;750712184;1;5;2;2219;9705;2723;1179;4;1540;1;0;1;3;5;70;1395;;1202;26;63;2247;7653
CHIRCAR;2019;760000018;760780023;1;1;0;90;372;100;62;0;38;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;760000158;760780239;1;4;2;2463;6702;3122;1278;1;1843;1;0;1;3;3;3;1059;130;977;24;50;1668;6021
CHIRCAR;2019;760021329;760000448;1;;1;697;2175;766;88;0;678;0;0;0;;;0;0;;0;;25;0;0
CHIRCAR;2019;760780619;760000307;1;0;2;1937;4836;2061;406;0;1655;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;760805770;760780726;1;1;1;1039;2598;1131;415;0;716;0;0;0;;;0;0;;0;;34;0;0
CHIRCAR;2019;770019032;770021145;1;4;4;2669;6535;2928;887;0;2041;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;770300135;770000289;1;1;1;1228;3725;1442;641;0;801;0;0;0;;;0;0;;0;;23;0;0
CHIRCAR;2019;780000311;780001236;1;2;1;842;2975;922;296;0;626;0;0;0;;;0;0;;0;0;0;0;0
CHIRCAR;2019;780300075;780000485;1;2;2;921;3171;1046;164;0;882;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;780300406;780018032;1;3;3;2347;6084;2666;1489;0;1177;1;0;0;9;3;0;1443;;1174;22;24;1142;6812
CHIRCAR;2019;780300414;780000675;1;1;0;86;446;86;56;0;30;0;0;0;0;0;0;0;0;0;0;22;0;0
CHIRCAR;2019;780800256;780110078;1;2;2;1034;3639;1176;126;0;1050;0;0;0;;;0;0;;0;;44;0;0
CHIRCAR;2019;790000087;790000012;1;2;1;1078;4407;1167;221;0;946;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;800006124;800000044;1;2;2;2098;7427;2425;987;0;1438;1;0;0;2;3;19;2261;251;1887;14;66;620;4413
CHIRCAR;2019;800015729;800015679;1;2;2;977;2927;1035;305;0;730;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;810000224;810000471;1;1;1;961;2495;1099;67;0;1032;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;810000505;810000331;1;1;0;158;886;173;142;0;31;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;810000521;810000380;1;1;;143;630;151;144;0;7;0;0;0;;;0;2;;0;;;0;0
CHIRCAR;2019;820000032;820000016;1;1;0;127;463;130;123;0;7;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;820000057;820000131;1;2;2;1548;3691;1782;66;0;1716;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;830000311;830100566;1;1;1;931;3223;1078;100;0;978;0;0;0;;;0;0;;0;;21;0;0
CHIRCAR;2019;830000345;830100616;1;2;2;1470;3781;1608;413;0;1195;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;830100319;830020855;1;2;2;2851;5732;3152;945;0;2207;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;830100574;750821092;1;1;1;648;2175;737;156;0;581;0;0;0;;;;;;;;;0;0
CHIRCAR;2019;840001861;840006597;1;2;2;2359;5474;2621;444;0;2177;0;0;0;;;0;0;;0;;36;0;0
CHIRCAR;2019;840013312;840003685;1;4;4;2260;5862;2688;1197;0;1491;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;850000142;850000019;1;2;2;1658;6673;1825;574;0;1251;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;860000223;860014208;1;3;2;3191;9409;3602;1326;0;2276;1;0;0;2;2;4;625;;576;16;74;892;5756
CHIRCAR;2019;870000064;870000015;1;4;2;2123;6749;2479;715;0;1764;1;0;0;2;2;0;576;185;412;14;44;1481;8642
CHIRCAR;2019;870000288;870017415;1;1;;312;1302;325;267;0;58;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;880000021;880007059;1;1;1;108;504;112;83;0;29;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;890975527;890000037;1;;1;1431;3620;1563;499;0;1064;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;900003039;900000365;1;2;1;1721;5376;1798;574;0;1224;0;0;0;;;0;0;;0;;42;0;0
CHIRCAR;2019;910008028;910001221;1;1;4;2514;8318;2966;1164;1;1801;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;910020254;910002773;1;3;3;1550;5844;1831;580;0;1251;0;0;0;;;0;0;;0;;41;0;0
CHIRCAR;2019;910300219;910003888;1;1;1;629;2080;741;291;0;450;1;0;0;6;6;0;1331;;1040;45;46;2564;12633
CHIRCAR;2019;910803543;910017615;1;2;2;1205;4395;1319;467;0;852;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;920000577;920110020;1;1;0;100;484;103;87;0;16;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;920000650;920150059;1;1;1;625;1962;655;25;0;630;0;0;0;;;0;0;;0;0;;0;0
CHIRCAR;2019;920000684;920150091;1;4;4;2192;4966;2703;64;326;2313;1;1;1;4;6;1236;1109;;977;40;12;5310;10372
CHIRCAR;2019;920100013;750712184;1;2;2;444;1739;487;12;0;475;0;0;0;0;0;0;0;;0;0;31;0;0
CHIRCAR;2019;920120011;750821092;1;1;1;695;2405;804;407;0;397;0;0;0;;;0;0;;0;;14;0;0
CHIRCAR;2019;920300043;920001526;1;2;2;703;3222;779;218;0;561;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;920300753;920810736;1;3;2;3999;8670;4734;2782;0;1952;1;0;0;3;4;1;1519;;1362;26;45;1389;4959
CHIRCAR;2019;920300787;920000981;1;;1;617;578;642;33;0;609;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;930000286;930021480;1;1;1;1226;4089;1313;540;0;773;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;930000302;930110036;1;;1;945;2625;970;76;0;894;0;0;0;;;0;0;;0;;;0;0
