BOR;AN;FI;FI_EJ;AUTSU;AUTGEN;AUTSAIS;AUTPED;EMG
URGENCES;2019;270000391;760024042;1;1;0;0;
URGENCES;2019;270000425;270000102;1;1;0;0;
URGENCES;2019;270000441;270000110;1;1;0;0;0
URGENCES;2019;270000458;270023724;1;1;0;0;1
URGENCES;2019;280000084;280000183;1;1;0;0;
URGENCES;2019;280000662;280500075;1;1;0;0;
URGENCES;2019;280502998;280000589;1;1;0;0;0
URGENCES;2019;280504267;280000134;1;1;0;0;1
URGENCES;2019;280505777;280001199;1;1;0;0;1
URGENCES;2019;290000025;290020700;1;1;0;0;1
URGENCES;2019;290000033;290021542;1;1;0;0;1
URGENCES;2019;290000058;290000017;1;0;0;1;0
URGENCES;2019;290000066;290020700;1;1;0;0;0
URGENCES;2019;290000173;290000041;1;1;0;0;0
URGENCES;2019;290000181;290000074;1;1;0;0;1
URGENCES;2019;290000256;290000017;1;1;0;0;0
URGENCES;2019;290000728;750821092;1;1;0;0;0
URGENCES;2019;290000785;220020739;1;1;0;0;1
URGENCES;2019;290000934;560005746;1;1;0;0;
URGENCES;2019;290004324;290000017;1;1;0;0;0
URGENCES;2019;290019777;290022508;1;1;0;0;
URGENCES;2019;2A0000022;2A0000014;1;1;0;0;1
URGENCES;2019;2A0000154;2A0000204;1;1;0;0;0
URGENCES;2019;2B0000012;2B0000020;1;1;0;0;1
URGENCES;2019;2B0005359;2B0005342;1;1;0;0;0
URGENCES;2019;300000023;300780046;1;1;0;0;1
URGENCES;2019;300000031;300780053;1;1;0;0;1
URGENCES;2019;300780137;920028396;1;1;0;0;1
URGENCES;2019;300782117;300780038;1;1;0;1;1
URGENCES;2019;300788502;300017985;1;1;0;0;
URGENCES;2019;310000310;310780671;1;1;0;0;1
URGENCES;2019;310016977;310781406;1;0;0;1;
URGENCES;2019;310026927;310026794;1;1;0;0;0
URGENCES;2019;310780283;310000112;1;1;0;0;1
URGENCES;2019;310780382;310000179;1;1;0;0;
URGENCES;2019;310781000;310788880;1;1;0;0;1
URGENCES;2019;310781067;310788898;1;1;0;0;0
URGENCES;2019;310781505;310000492;1;1;0;0;1
URGENCES;2019;310783048;310781406;1;1;0;0;1
URGENCES;2019;310783055;310781406;1;1;0;0;
URGENCES;2019;320000086;320780117;1;1;0;0;1
URGENCES;2019;320000102;320780133;1;1;0;0;0
URGENCES;2019;330000555;330781204;1;1;0;0;1
URGENCES;2019;330000571;330781220;1;1;0;0;0
URGENCES;2019;330000589;330027509;1;1;0;0;1
URGENCES;2019;330000605;330781253;1;1;0;0;1
URGENCES;2019;330058355;330781253;1;1;0;0;0
URGENCES;2019;330780263;330000134;1;1;0;0;
URGENCES;2019;330780479;330000274;1;1;0;0;0
URGENCES;2019;330780495;330796392;1;1;0;0;
URGENCES;2019;330780529;330796392;1;1;0;0;
URGENCES;2019;330780537;330000324;1;1;0;0;0
URGENCES;2019;330781303;750821092;1;1;0;0;0
URGENCES;2019;330781352;330781196;1;1;0;0;
URGENCES;2019;330781360;330781196;1;1;0;1;
URGENCES;2019;330783648;330781196;1;1;0;0;
URGENCES;2019;340000033;340780055;1;1;0;0;
URGENCES;2019;340000223;340011295;1;1;0;0;
URGENCES;2019;340015502;340000512;1;1;0;0;0
URGENCES;2019;340015965;340000074;1;1;0;0;0
URGENCES;2019;340022979;340000306;1;1;0;0;0
URGENCES;2019;340780147;340000108;1;1;0;0;0
URGENCES;2019;340780154;340000116;1;1;0;0;0
URGENCES;2019;340780634;340000272;1;1;0;0;1
URGENCES;2019;340780642;340785856;1;1;0;0;0
URGENCES;2019;340780667;340000280;1;1;0;0;0
URGENCES;2019;340780717;340023225;1;1;0;0;0
URGENCES;2019;340780725;340000330;1;1;0;0;0
URGENCES;2019;340785161;340780477;1;1;0;1;1
URGENCES;2019;350000121;350000303;1;1;0;0;0
URGENCES;2019;350000147;350000022;1;1;0;0;1
URGENCES;2019;350000154;350000030;1;1;0;0;1
URGENCES;2019;350000162;350000048;1;1;0;0;1
URGENCES;2019;350000188;350000055;1;1;0;0;1
URGENCES;2019;350000741;350005179;1;1;0;0;1
URGENCES;2019;350005146;350000733;1;1;0;0;0
URGENCES;2019;350007084;350005179;1;0;0;1;0
URGENCES;2019;360000038;360000046;1;1;0;0;0
URGENCES;2019;360000137;360000053;1;1;0;0;1
URGENCES;2019;360000160;360000053;1;1;0;0;0
URGENCES;2019;370000093;370013468;1;1;0;0;0
URGENCES;2019;370000499;370000481;1;0;0;1;
URGENCES;2019;370000531;370000606;1;1;0;0;0
URGENCES;2019;370000879;370000564;1;1;0;0;0
URGENCES;2019;370000903;370000614;1;1;0;0;0
URGENCES;2019;370004467;370000481;1;1;0;0;
URGENCES;2019;370007569;370007528;1;1;0;0;0
URGENCES;2019;380000026;380780031;1;1;0;0;0
URGENCES;2019;380000034;380780049;1;1;0;0;1
URGENCES;2019;380000042;380780056;1;1;0;0;0
URGENCES;2019;380000067;380780080;1;1;0;1;1
URGENCES;2019;380000174;380781435;1;1;0;0;1
URGENCES;2019;380000406;380784751;1;1;0;0;
URGENCES;2019;380012658;380012609;1;1;0;0;1
URGENCES;2019;380020123;380021139;1;1;0;0;0
URGENCES;2019;380782722;380780080;1;1;0;0;
URGENCES;2019;380785956;380795211;1;1;0;0;0
URGENCES;2019;390000040;390780146;1;1;0;0;1
URGENCES;2019;390000065;390780161;1;1;0;0;0
URGENCES;2019;390000222;390780609;1;1;0;0;1
URGENCES;2019;400000105;400780193;1;1;0;0;1
URGENCES;2019;400000139;400011177;1;1;0;0;1
URGENCES;2019;400782769;400014213;1;1;0;0;0
URGENCES;2019;410000020;410000087;1;1;0;0;1
URGENCES;2019;410000038;410000095;1;1;0;0;0
URGENCES;2019;410000046;410000103;1;1;0;0;0
URGENCES;2019;420000010;420780033;1;1;0;0;1
URGENCES;2019;420000226;420013831;1;1;0;0;1
URGENCES;2019;420000234;420780652;1;1;0;0;1
URGENCES;2019;420000267;420013831;1;1;0;0;0
URGENCES;2019;420010050;420787061;1;1;0;0;0
URGENCES;2019;420011413;420011405;1;1;0;0;0
URGENCES;2019;420780504;420000135;1;1;0;0;0
URGENCES;2019;420780637;420002495;1;1;0;0;1
URGENCES;2019;420782310;420000853;1;1;0;0;0
URGENCES;2019;420785354;420784878;1;1;0;1;1
URGENCES;2019;430000117;430000018;1;1;0;0;0
URGENCES;2019;430000190;430000034;1;1;0;0;1
URGENCES;2019;440000016;440000057;1;1;0;0;
URGENCES;2019;440000271;440000289;1;1;0;1;1
URGENCES;2019;440000396;440053643;1;1;0;0;0
URGENCES;2019;440000503;440000313;1;1;0;0;1
URGENCES;2019;440041580;440041572;1;1;0;0;0
URGENCES;2019;450000047;450000096;1;1;0;0;1
URGENCES;2019;450000062;450000104;1;1;0;0;1
URGENCES;2019;450000070;450000112;1;1;0;0;0
URGENCES;2019;450000294;450000591;1;1;0;0;0
URGENCES;2019;450002613;450000088;1;1;0;1;
URGENCES;2019;460000045;460780083;1;1;0;0;
URGENCES;2019;460000052;460780091;1;1;0;0;0
URGENCES;2019;460000102;460780208;1;1;0;0;0
URGENCES;2019;460000110;460780216;1;1;0;0;1
URGENCES;2019;470000027;470014069;1;1;0;0;0
URGENCES;2019;470000423;470016171;1;1;0;0;1
URGENCES;2019;470000431;470000324;1;1;0;0;1
URGENCES;2019;470000480;470001660;1;1;0;0;1
URGENCES;2019;480000017;480780097;1;1;0;0;1
URGENCES;2019;490000049;490000031;1;1;0;1;1
URGENCES;2019;490000635;490000676;1;1;0;0;1
URGENCES;2019;490001765;490528452;1;1;0;0;1
URGENCES;2019;490014909;490008109;1;1;0;0;0
URGENCES;2019;500000021;500000054;1;1;0;0;1
URGENCES;2019;500000187;500000013;1;1;0;0;
URGENCES;2019;500000260;500000054;1;1;0;0;0
URGENCES;2019;500000427;500000096;1;1;0;0;0
URGENCES;2019;500000450;500000112;1;1;0;0;
URGENCES;2019;500000591;500000393;1;1;0;0;
URGENCES;2019;510000169;510000037;1;1;0;0;0
URGENCES;2019;510000185;510000532;1;1;0;0;0
URGENCES;2019;510000235;510000060;1;1;0;0;0
URGENCES;2019;510000250;510000078;1;1;0;0;
URGENCES;2019;510002470;510000029;1;0;0;1;0
URGENCES;2019;510004302;510000029;1;1;0;0;0
URGENCES;2019;510024979;510000532;1;1;0;0;0
URGENCES;2019;520000027;520780032;1;1;0;0;
URGENCES;2019;520000043;520780057;1;1;0;0;1
URGENCES;2019;520000068;520780073;1;1;0;0;1
URGENCES;2019;530000017;530000025;1;1;0;0;1
URGENCES;2019;530000173;530000074;1;1;0;0;1
URGENCES;2019;530000264;530000371;1;1;0;0;1
URGENCES;2019;540000023;540000049;1;1;0;0;1
URGENCES;2019;540000155;540000080;1;1;0;0;1
URGENCES;2019;540000296;540000106;1;1;0;0;
URGENCES;2019;540000486;540000932;1;1;0;0;0
URGENCES;2019;540001070;540000767;1;1;0;0;1
URGENCES;2019;540001096;570010181;1;1;0;0;0
URGENCES;2019;540001138;540023264;1;1;0;0;1
URGENCES;2019;540002698;540023264;1;0;0;1;0
URGENCES;2019;550000012;550006795;1;1;0;0;1
URGENCES;2019;550000434;550003354;1;1;0;0;1
URGENCES;2019;560000127;560023210;1;1;0;0;1
URGENCES;2019;560000135;560005746;1;1;0;0;1
URGENCES;2019;560000143;560014748;1;1;0;0;1
URGENCES;2019;560000192;560000044;1;1;0;0;1
URGENCES;2019;560000200;560023210;1;1;1;0;
URGENCES;2019;570000059;570025254;1;1;0;0;1
URGENCES;2019;570000117;570015099;1;1;0;0;1
URGENCES;2019;570000216;570010181;1;1;0;0;0
URGENCES;2019;570000349;570005165;1;1;0;0;1
URGENCES;2019;570000596;750821092;1;1;0;0;0
URGENCES;2019;570000646;570001115;1;1;0;0;
URGENCES;2019;570000901;570000158;1;1;0;0;1
URGENCES;2019;570026682;570005165;1;1;0;0;1
URGENCES;2019;580972669;580780070;1;1;0;0;
URGENCES;2019;580972677;580780088;1;1;0;0;0
URGENCES;2019;580972685;580780096;1;1;0;0;0
URGENCES;2019;580972693;580780039;1;1;0;0;
URGENCES;2019;590000121;590780227;1;1;0;0;1
URGENCES;2019;590000337;590781415;1;1;0;0;1
URGENCES;2019;590000428;590781605;1;1;0;0;1
URGENCES;2019;590000436;590781621;1;1;0;0;1
URGENCES;2019;590000469;590781662;1;1;0;0;0
URGENCES;2019;590000535;590781803;1;1;0;0;1
URGENCES;2019;590000592;590782165;1;1;0;0;1
URGENCES;2019;590000618;590782215;1;1;0;1;1
URGENCES;2019;590000758;590782637;1;1;0;0;1
URGENCES;2019;590000774;590782652;1;1;0;0;0
URGENCES;2019;590001004;590783239;1;1;0;0;
URGENCES;2019;590001749;590788956;1;1;0;0;0
URGENCES;2019;590008041;590008033;1;1;0;0;0
URGENCES;2019;590780284;590051801;1;1;0;0;0
URGENCES;2019;590796975;590780193;1;1;0;1;1
URGENCES;2019;590797353;590051801;1;1;0;1;
URGENCES;2019;590801106;590782421;1;1;0;1;1
URGENCES;2019;590804696;590781902;1;1;0;0;1
URGENCES;2019;590816310;590000048;1;1;0;0;0
URGENCES;2019;600000053;600101984;1;1;0;0;1
URGENCES;2019;600000186;600100648;1;1;0;0;0
URGENCES;2019;600000194;600100713;1;1;0;1;1
URGENCES;2019;600000285;600100721;1;1;0;0;0
URGENCES;2019;600000467;600101984;1;1;0;1;1
URGENCES;2019;600100754;600000228;1;1;0;0;0
URGENCES;2019;600113476;600100721;1;1;0;1;
URGENCES;2019;610000044;610780074;1;1;0;0;0
URGENCES;2019;610000051;610780082;1;1;0;0;1
URGENCES;2019;610000069;610780090;1;1;0;0;0
URGENCES;2019;610000077;610780124;1;1;0;0;0
URGENCES;2019;610000119;610780165;1;1;0;0;1
URGENCES;2019;610780116;610790594;1;1;0;0;0
URGENCES;2019;620000034;620100057;1;1;0;1;1
URGENCES;2019;620000224;620100651;1;1;0;0;0
URGENCES;2019;620000257;620100685;1;1;0;0;1
URGENCES;2019;620000323;620101337;1;1;0;0;1
URGENCES;2019;620000349;620101360;1;1;0;0;1
URGENCES;2019;620000653;620103440;1;1;0;1;1
URGENCES;2019;620003202;620103432;1;1;0;0;
URGENCES;2019;620003350;620001834;1;1;0;0;1
URGENCES;2019;620003376;620001834;1;1;0;0;1
URGENCES;2019;620025346;620001834;1;1;0;0;0
URGENCES;2019;620100735;620000265;1;1;0;0;
URGENCES;2019;630000404;630780989;1;1;0;0;1
URGENCES;2019;630000412;630780997;1;1;0;0;1
URGENCES;2019;630000420;630781003;1;1;0;0;0
URGENCES;2019;630000438;630781011;1;1;0;0;0
URGENCES;2019;630000446;630781029;1;1;0;0;0
URGENCES;2019;630780211;630000107;1;1;0;0;0
URGENCES;2019;630781268;630780989;1;0;0;1;0
URGENCES;2019;640000162;640780417;1;1;0;0;1
URGENCES;2019;640000402;640780813;1;1;0;0;
URGENCES;2019;640000410;640780821;1;1;0;0;1
URGENCES;2019;640000600;640781290;1;1;0;0;1
URGENCES;2019;640017646;640017638;1;1;0;0;0
URGENCES;2019;640018206;640012209;1;1;0;0;
URGENCES;2019;640780490;640000212;1;1;0;0;0
URGENCES;2019;640780748;640000360;1;1;0;0;
URGENCES;2019;640780938;640000451;1;1;0;0;0
URGENCES;2019;650000045;650780158;1;1;0;0;
URGENCES;2019;650000052;650780166;1;1;0;0;0
URGENCES;2019;650000417;650783160;1;1;0;0;0
URGENCES;2019;650780679;650000243;1;1;0;0;0
URGENCES;2019;650784218;650780174;1;1;0;0;1
URGENCES;2019;660000084;660780180;1;1;0;1;
URGENCES;2019;660780628;660000282;1;1;0;0;0
URGENCES;2019;660780776;660000399;1;1;0;0;0
URGENCES;2019;660780784;660000407;1;1;0;0;0
URGENCES;2019;660790387;660790379;1;1;0;0;0
URGENCES;2019;670000025;670780055;1;1;0;0;1
URGENCES;2019;670000157;670780337;1;1;0;0;
URGENCES;2019;670000165;670780345;1;1;0;0;0
URGENCES;2019;670000272;670780543;1;1;0;0;0
URGENCES;2019;670000397;670017755;1;1;0;0;1
URGENCES;2019;670018068;670017847;1;1;0;0;
URGENCES;2019;670780212;670014604;1;1;0;0;0
URGENCES;2019;670783273;670780055;1;1;0;1;1
URGENCES;2019;680000320;680000643;1;1;0;0;0
URGENCES;2019;680000544;680020336;1;1;0;0;0
URGENCES;2019;680000684;680000973;1;1;0;0;1
URGENCES;2019;680000700;680001005;1;1;0;0;0
URGENCES;2019;680004546;680020336;1;1;0;0;
URGENCES;2019;680020096;680020336;1;1;0;0;0
URGENCES;2019;690000013;690780036;1;1;0;0;0
URGENCES;2019;690000575;690782222;1;1;0;0;1
URGENCES;2019;690000625;690782271;1;1;0;0;0
URGENCES;2019;690007539;690781810;1;0;0;1;0
URGENCES;2019;690023411;690000252;1;1;0;0;0
URGENCES;2019;690041132;690006598;1;1;0;0;1
URGENCES;2019;690780093;750821092;1;1;0;0;0
URGENCES;2019;690780390;690000229;1;1;0;0;0
URGENCES;2019;690780416;690031190;1;1;0;0;0
URGENCES;2019;690780648;690036900;1;1;0;0;0
URGENCES;2019;690780655;690000377;1;1;0;0;0
URGENCES;2019;690783154;690781810;1;1;0;0;1
URGENCES;2019;690784137;690781810;1;1;0;0;1
URGENCES;2019;690784152;690781810;1;1;0;0;0
URGENCES;2019;690805361;690805353;1;1;0;0;1
URGENCES;2019;690807367;690003447;1;1;0;0;
URGENCES;2019;700000011;700780026;1;1;0;0;1
URGENCES;2019;700000029;700004591;1;1;0;0;1
URGENCES;2019;710010067;710780644;1;1;0;0;0
URGENCES;2019;710010786;710781451;1;1;0;0;
URGENCES;2019;710978263;710780958;1;1;0;0;1
URGENCES;2019;710978289;710780263;1;1;0;0;1
URGENCES;2019;710978313;710976705;1;1;0;0;0
URGENCES;2019;710978347;570010181;1;1;0;0;0
URGENCES;2019;720000033;720000025;1;1;0;1;1
URGENCES;2019;720000124;720000066;1;1;0;0;0
URGENCES;2019;720000470;610780082;1;1;0;0;0
URGENCES;2019;720000520;720000140;1;1;0;0;0
URGENCES;2019;720001437;720006022;1;1;0;0;0
URGENCES;2019;720016179;720016724;1;1;0;0;0
URGENCES;2019;720017748;720000561;1;1;0;0;0
URGENCES;2019;730000031;730000015;1;1;0;0;0
URGENCES;2019;730000080;730780103;1;1;0;0;1
URGENCES;2019;730000098;730000015;1;1;0;0;0
URGENCES;2019;730000247;730780525;1;1;0;0;0
URGENCES;2019;730000262;730002839;1;1;0;0;1
URGENCES;2019;730004298;730010048;1;1;0;0;0
URGENCES;2019;740000237;740781133;1;1;0;0;1
URGENCES;2019;740000294;740781208;1;1;0;0;0
URGENCES;2019;740000302;740781133;1;1;0;0;1
URGENCES;2019;740000328;740790381;1;1;0;0;
URGENCES;2019;740014345;740000617;1;1;0;0;0
URGENCES;2019;740780424;740000120;1;1;0;0;0
URGENCES;2019;740781141;740790258;1;1;0;0;1
URGENCES;2019;740781224;740001839;1;1;0;0;
URGENCES;2019;750000523;750150120;1;1;0;0;0
URGENCES;2019;750000549;750150229;1;1;0;0;0
URGENCES;2019;750100018;750712184;1;1;0;0;0
URGENCES;2019;750100042;750712184;1;1;0;0;1
URGENCES;2019;750100075;750712184;1;1;0;0;
URGENCES;2019;750100091;750712184;1;1;0;0;
URGENCES;2019;750100109;750712184;1;0;0;1;0
URGENCES;2019;750100125;750712184;1;1;0;0;0
URGENCES;2019;750100166;750712184;1;1;0;0;1
URGENCES;2019;750100208;750712184;1;0;0;1;
URGENCES;2019;750100232;750712184;1;1;0;0;
URGENCES;2019;750100273;750712184;1;1;0;0;0
URGENCES;2019;750150237;750006728;1;1;0;0;0
URGENCES;2019;750803447;750712184;1;1;0;0;0
URGENCES;2019;750803454;750712184;1;0;0;1;
URGENCES;2019;760000018;760780023;1;1;0;0;
URGENCES;2019;760000042;760780056;1;1;0;0;0
URGENCES;2019;760000141;760780239;1;1;0;0;0
URGENCES;2019;760000158;760780239;1;1;0;1;1
URGENCES;2019;760000364;760780734;1;1;0;0;1
URGENCES;2019;760000372;760780742;1;1;0;0;0
URGENCES;2019;760000463;760024042;1;1;0;0;1
URGENCES;2019;760021329;760000448;1;1;0;0;0
URGENCES;2019;760780510;760000257;1;1;0;0;0
URGENCES;2019;760780791;760000414;1;1;0;0;0
URGENCES;2019;760805770;760780726;1;1;0;1;1
URGENCES;2019;760921809;760000273;1;1;0;0;0
URGENCES;2019;770000131;770021145;1;1;0;1;0
URGENCES;2019;770000149;770021152;1;1;0;1;1
URGENCES;2019;770000156;770110054;1;1;0;1;1
URGENCES;2019;770000164;770021152;1;1;0;0;0
URGENCES;2019;770000172;770110070;1;1;0;1;1
URGENCES;2019;770000214;770021152;1;1;0;0;1
URGENCES;2019;770000446;770021145;1;1;0;1;0
URGENCES;2019;770019032;770021145;1;1;0;1;1
URGENCES;2019;770300010;770004299;1;1;0;0;0
URGENCES;2019;770300135;770000289;1;1;0;0;0
URGENCES;2019;770790707;770000719;1;1;0;0;0
URGENCES;2019;780000287;780110011;1;1;0;1;
URGENCES;2019;780000295;780002697;1;1;0;0;1
URGENCES;2019;780000311;780001236;1;1;0;1;1
URGENCES;2019;780000329;780110052;1;1;0;1;1
URGENCES;2019;780022737;780000675;1;1;0;0;0
URGENCES;2019;780300323;780003679;1;1;0;0;0
URGENCES;2019;780300406;780018032;1;1;0;0;0
URGENCES;2019;780300414;780000675;1;1;0;0;0
URGENCES;2019;780300422;780002259;1;1;0;0;0
URGENCES;2019;780300455;780000717;1;1;0;0;0
URGENCES;2019;780800256;780110078;1;1;0;1;1
URGENCES;2019;790000087;790000012;1;1;0;0;1
URGENCES;2019;790009948;790001242;1;1;0;0;0
URGENCES;2019;790019848;790006654;1;1;0;0;
URGENCES;2019;800000143;800000028;1;1;0;0;1
URGENCES;2019;800000226;800000069;1;1;0;0;
URGENCES;2019;800000390;800000085;1;1;0;0;0
URGENCES;2019;800000432;800000093;1;1;0;0;0
URGENCES;2019;800006124;800000044;1;1;0;1;0
URGENCES;2019;800015729;800015679;1;1;0;0;0
URGENCES;2019;810000224;810000471;1;1;0;0;0
URGENCES;2019;810000505;810000331;1;1;0;0;1
URGENCES;2019;810000521;810000380;1;1;0;0;1
URGENCES;2019;810000562;810000455;1;1;0;0;1
URGENCES;2019;810101444;810000992;1;1;0;0;0
URGENCES;2019;820000032;820000016;1;1;0;0;1
URGENCES;2019;820000057;820000131;1;1;0;0;0
URGENCES;2019;820000883;820004950;1;1;0;0;0
URGENCES;2019;830000279;830100517;1;1;0;0;1
URGENCES;2019;830000287;830100525;1;1;0;0;1
URGENCES;2019;830000295;830100533;1;1;0;0;1
URGENCES;2019;830000311;830100566;1;1;0;0;1
URGENCES;2019;830000337;830100590;1;1;0;0;0
