BOR;AN;FI;FI_EJ;PN_A1;PN_A2;PN_A3;PN_A4;PN_A5;PN_A6;PN_A7;PN_A73;PN_A8;PN_A9;PN_A74;PN_A10;PN_A11;PN_A12;PN_A13;PN_A75;PN_A14;PN_A15;PN_A16;PN_A17;PN_A18;PN_A19;PN_A20;PN_A21;PN_A22;PN_A23;PN_A24;PN_A25;PN_B25;PN_A26;PN_A27;PN_A28;PN_A29;PN_A30;PN_A31;PN_A32;PN_A33;PN_A34;PN_B30;PN_B31;PN_B32;PN_B33;PN_B34;PN_C30;PN_C31;PN_C32;PN_C33;PN_C34;PN_A35;PN_A36;PN_A37;PN_A38;PN_A39;PN_A40;PN_A41;PN_A42;PN_A43;PN_A44;PN_A45;PN_A46;PN_A47;PN_A48;PN_A49;PN_A50;PN_A51;PN_A53;PN_A54;PN_A55;PN_A56;PN_A57;PN_A58;PN_A59;PN_A60;PN_A61;PN_A62;PN_A63;PN_A64;PN_A65;PN_A66
PN;2019;020000394;020000253;2;0.7;1796;1;2;206;0;0;0;1;;389;3605;529;0;0;1135;715;1;0;;;0;;;1;1;1;01/01/2005;171;77;0;999;0;0;0;0;0;2;2;0;2;2;0.37;0.37;0;1.07;1.07;0;;;;0;;;;0;;;;1;19;1167;1;3.02;1;3.75;957;143;1;39;26;999;0.9;0;;;;
PN;2019;020000519;020000261;1;0.5;112;1;1.4;140;0;0;0;0;;;;;;;;;;0;;;0;;;1;1;1;01/06/2003;564;260;0;90;;;;1;;4;3;1;1;1;1.1;0.9;0.2;1.5;0.5;0;;;;0;;;;0;;;;1;39;1408;1;0.1;1;1;366;144;1;1424;417;4;2;0;;;;
PN;2019;020000535;020000287;0.1;0;;0;;;;;0;0;;;;;;;;;;0;;;0;;;1;1;0;;0;0;0;;0;0;0;;;0;0;0;;;0;0;0;;;0;;;;0;;;;0;;;;0;;;0;;1;0.14;510;58;1;;;;0.43;0;;;;
PN;2019;020000543;020000295;0.4;0;;1;1;351;0;1;1;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;020000915;020003620;0.5;0.2;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;020001061;020004404;1;0.11;956;1;0.6;221;1;;0;1;020000543;134;489;486;987;;155;90;1;0;;;0;;;1;1;1;;92;54;0;23;;;;;;4;1;2;;;0.6;0.1;0.4;;;0;;;;0;;;;0;;;;1;;;0;;0;;;;1;998;143;3;0.6;0;;;;
PN;2019;020001087;020004495;0;0;0;1;1.25;115;0;0;0;0;;;;;;;;;;0;;;0;;;1;1;0;;115;59;0;70;0;;;;;;;;;;0.3;;;;;0;;;;0;;;;0;;;;0;;;0;;1;0.7;108;52;1;1068;299;15;0.9;0;;;;
PN;2019;020004156;590805065;0.25;0.15;79;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;020004297;020005179;0.1;0.03;15;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;020006664;020000063;0;0;0;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;1;932;748;3;4.7;0;;;;
PN;2019;020010047;020001632;1.9;2.5;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;3;0;;;;0;;;;;0;;;;
PN;2019;020010310;750719361;0.2;0.15;16;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;020014767;590805065;0.1;0;0;0;;;;;0;0;;;;;;;;;0;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;030000012;030180020;0.5;0.1;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;030000061;030780092;1.8;0.5;1543;1;0.9;267;1;1;0;1;;272;2516;533;1195;1330;705;612;2;0;;;0;;;1;1;1;16/12/2005;583;284;1;60;0;0;0;1;1;2;2;0;0;0;0.45;0.45;0;1;1;0;;;;0;;;;0;;;;1;19;2331;1;3.35;1;2.6;432;0;1;1809;237;15;2.6;1;28;0;0;0
PN;2019;030000079;030780100;3.03;0.3;1992;1;0.75;288;0;1;0;1;;35;711;163;126;;0;108;1;0;;;0;;;1;1;1;14/04/2011;216;87;0;56;2;2;;4;1;1;;1;;;0.3;0.2;0.1;2.5;1;0;;;;0;;;;0;;;;1;13;1834;1;1.75;1;1;206;48;1;1278;438;14;4;0;;;;
PN;2019;030000087;030780118;2.33;1.35;3607;1;1;450;0;0;1;0;;;;;;;;;;0;;;0;;;1;2;1;31/12/2010;1079;818;0;90;2;2;;3;1;;;;1;0;0.35;0.35;;2.51;1;1;10;65;3579;0;;;;0;;;;1;6;1655;1;0.3;0;;;;1;3235;1324;44;1;0;;;;
