BOR;AN;FI;FI_EJ;LIT;JOU;ENT;DECES;URG_EJ;URG_EXT;MCO_EJ;MCO_EXT;GER_EJ;GER_EXT;SSR_EJ;SSR_EXT;PSY_EJ;PSY_EXT;HAD_EJ;HAD_EXT;DOMIC1;PEGER;EMGER;GERPSY;EMPAL;ALZ;EHPAD;VILHOS;RETR
USLD;2019;480000074;480780162;30;10823;35;17;;;;;;;;;;;13;0;;;;5;5;;18;11;
USLD;2019;490000353;490000411;35;11451;23;15;;;;;;;9;10;;;4;;;;;;;;7;1;
USLD;2019;490000569;440000313;36;12808;34;23;1;;3;2;;;10;2;;;;;15;;;2;1;;4;9;
USLD;2019;490000635;490000676;34;12210;29;25;;;;;;;;;;;;;;;;;;;;;
USLD;2019;490000650;490007689;30;8490;34;22;;;6;;;;9;4;;1;;;14;;;;;;9;;
USLD;2019;490008604;490001070;90;32045;47;20;;;;14;;5;;3;;;;;25;;;;;;;;
USLD;2019;490531910;490535093;60;21727;34;28;;;;11;;;3;4;;;;;16;;;;;;1;;
USLD;2019;500000021;500000054;70;25041;83;15;;;;;;;2;2;;;;;11;;;1;;47;;;
USLD;2019;500000260;500000054;50;18154;76;16;;;3;;1;;5;;;;;;56;;10;;23;886;3;;1
USLD;2019;500000450;500000112;35;12602;17;15;;;3;1;;;4;2;;;1;;6;;;;;;;;
USLD;2019;500000591;500000393;60;21095;31;16;;;16;2;;;7;1;;;;;5;;;;;;;;
USLD;2019;510000169;510000037;30;9902;20;22;;;;;3;;7;;;;1;;11;;;11;7;;1;1;1
USLD;2019;510000235;510000060;30;10276;35;28;;;3;;5;;;8;;;;;19;;;2;4;;2;3;
USLD;2019;510000466;510000102;30;10587;13;11;;;8;3;5;;6;1;;;;;33;;;7;3;;;;
USLD;2019;510011679;510000029;120;42614;73;64;;;7;2;4;;29;6;1;;;;24;;;180;28;62;7;1;
USLD;2019;510024466;510000128;30;8942;25;23;;;;4;;;7;3;;;;;11;0;0;2;3;0;1;;
USLD;2019;520000019;520780024;32;11393;22;16;;;3;9;;1;1;4;;1;;;3;;;;18;;2;2;
USLD;2019;520000076;520780081;35;12653;30;13;;;;2;;;;3;;;;;11;;;;1;;1;2;
USLD;2019;520782939;520780032;40;14514;28;27;;;2;;3;;10;;;;;;13;;;;;;;;
USLD;2019;530000132;530007202;30;10769;9;5;;;2;2;;;4;;;;;;1;;;;11;;;;
USLD;2019;530000264;530000371;55;18724;30;29;;;6;;8;;8;;;;;;7;;;;17;;;;
USLD;2019;530031384;530000074;47;15277;18;14;0;0;6;0;0;0;8;0;0;0;0;0;4;0;2;0;22;0;0;0;0
USLD;2019;530032788;530000025;56;19953;38;27;;;1;1;3;;8;;;;;;25;;1;;14;;13;;
USLD;2019;540000072;540014081;43;14221;55;56;;;10;12;;;;15;;;;;12;;;;1;3;3;;
USLD;2019;540000155;540000080;30;10607;29;11;;;2;1;;3;;;;;;;20;;;;;;4;;
USLD;2019;540000312;540000114;30;9248;22;12;;;;6;;3;8;;;;;;3;;;;;;;;
USLD;2019;540000395;540000122;60;21321;42;32;;1;9;2;;;23;2;;;;;5;;;;;;;;
USLD;2019;540000668;540006707;56;18982;26;22;;;;5;;1;6;6;;;;;8;;;;;;1;2;1
USLD;2019;540006459;540023264;34;11809;22;22;;;3;;5;;11;;;;;;3;51;;;;;1;0;
USLD;2019;540006665;540019007;31;9484;15;10;;;1;1;;;6;4;;;;;3;;;;;;1;0;0
USLD;2019;540008364;540000049;36;12327;32;23;;;2;3;7;;4;2;;1;;;13;;;;23;;;;
USLD;2019;540009859;570010181;30;9910;27;21;1;;8;2;3;;6;3;0;;0;;4;;;;;;6;;
USLD;2019;540013232;540023264;72;25563;40;38;;;5;;4;;20;5;;;;;7;110;;24;2;0;2;0;
USLD;2019;550000038;550000046;32;10715;18;;;;11;;;;3;;;;;;4;;;;;;;;
USLD;2019;550000251;550000095;30;10896;17;15;;;;3;;5;;;;7;;;2;;;;;;2;;
USLD;2019;550000434;550003354;30;10227;14;14;0;0;0;0;1;0;10;0;0;0;1;0;0;0;0;5;4;0;0;0;0
USLD;2019;550003370;550006795;48;10502;22;17;;;0;5;1;;7;3;;;;;5;;;;4;;;;
USLD;2019;560000127;560023210;60;21651;45;19;0;0;2;1;3;0;31;2;0;0;0;0;5;;;;;;;;
USLD;2019;560000200;560023210;30;10634;22;15;0;0;1;0;1;0;15;0;0;0;0;0;2;;;;;;;;
USLD;2019;560000275;560005746;45;16068;24;21;;;;;;;;;;;;;;;;;;;;;
USLD;2019;560000291;560000085;15;5029;7;4;;;;;;;;;;;;;7;0;0;0;0;0;0;0;0
USLD;2019;560003980;560005746;40;14386;17;18;;;;;;;;;;;;;;;;;;;;;
USLD;2019;560010092;560002032;58;21118;13;;;;;;;;;;5;;0;;4;;;;;;2;;
USLD;2019;560012122;560002677;50;17853;11;11;;;;;;1;;;8;;;;2;;;35;;;;;
USLD;2019;560014219;560014748;30;10172;6;;;;;;;;;;;;;;;;;;;;;;
USLD;2019;560015422;560005746;30;9941;19;15;;;;;;;;;;;;;;;;;;;;;
