BOR;AN;FI;FI_EJ;EMGER;EVALIH;EVALEH;FILACT;ETP;UGER;LIT_GER;PLA_GER;SEJHC_GER;SEJHP_GER;JOU_GER;EFFPL_PM;EFFPL_GER;EFFPA_PM;EFFPA_GER;ETP_PM;ETP_GER;GAR_PM;GAR_GER;AST_PM;AST_GER;EFFPL_INF;EFFPL_AID;EFFPL_ERG;EFFPL_PMT;EFFPL_APNM;EFFPA_INF;EFFPA_AID;EFFPA_ERG;EFFPA_PMT;EFFPA_APNM;ETP_INF;ETP_AID;ETP_ERG;ETP_PMT;ETP_APNM
MCOGER;2019;130002835;130789316;1;460;72;436;2.7;1;16;0;580;0;5492;;;1;;1.27;;0;0;1;1;;;;;;25;18;;;13;8.2;6.68;;;2.84
MCOGER;2019;130043664;130002157;1;810;;735;4.11;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2019;130780521;130786049;1;612;0;454;1.9;1;25;2;718;259;8211;;0;4;3;1.82;0.93;;;;;14;12;;;4;;2;;;3;12.29;13.8;;;4.57
MCOGER;2019;130781255;220020739;0;;;;;1;30;8;592;343;7578;2;1;2;1;3;1.5;0;0;1;1;8;8;0;0;4;0;0;0;0;4;7.4;8;0;0;6.6
MCOGER;2019;130783293;130786049;1;2026;45;1866;6.5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2019;130784234;130786049;0;;;;;1;25;;575;0;8145;9;;14;;11.21;;;;;;14;12;1;;10;6;5;;1;4;17.99;15.37;1;0.25;13.18
MCOGER;2019;130785652;130014228;1;1598;0;1550;5;1;0;3;0;648;0;2;;2;;2.95;;0;0;0;0;2;;;;1;;;;;1;1.88;;;;1.51
MCOGER;2019;130809015;130001928;0;;;;;1;43;5;976;802;12013;1;;7;;4.15;0.6;1;0;1;0;13;16;;;10;1;;;;10;13.8;16;;;14.36
MCOGER;2019;140000027;140000035;1;546;0;479;2.9;1;25;2;1057;143;9091;4;;2;;3.93;;0;0;0;0;11;12;0;;5;7;5;1;;3;13.36;15.95;0.5;;5.16
MCOGER;2019;140000209;140000100;1;644;11;626;5;1;30;1;725;194;10235;8;8;;;5.38;5.38;0;0;0;0;10;14;;;10;9;6;;;5;14.79;17.51;;;9.93
MCOGER;2019;140000233;140000118;0;;;;;1;20;;565;0;7111;;;2;1;1.77;1.21;;;;;5;4;;;;14;16;;;19;10.55;10.92;;;5.52
MCOGER;2019;140000373;140000159;0;;;;;1;20;;676;0;7064;1;;2;1;2.18;0.2;0;0;0;0;11;13;;;2;1;1;;;5;10.59;14.44;;;3.95
