BOR;AN;FI;FI_EJ;DIM_A1;DIM_A2;DIM_A3;DIM_A4;DIM_A5;DIM_A6;DIM_A7;DIM_A8;DIM_A9;DIM_A10;DIM_A11;DIM_A12;DIM_A13;DIM_A14;DIM_A15;DIM_A16;DIM_A17;DIM_A18;DIM_A19;DIM_A20;DIM_A21;DIM_A22;DIM_A23;DIM_A24;DIM_A25
INFOMED;2019;050000991;050000546;;;;;;;;1;;;1;;0;0;0;0;1;0;0;0;0;0;;1.14;0.6
INFOMED;2019;050001064;050000561;;;;;;;1;;;;;;0;0;0;1;1;1;1;0;0;0;;0.2;0.3
INFOMED;2019;050002351;130037815;;;;;;;;1;;;;;0;0;0;1;1;1;1;1;0;1;050000041;1;0.1
INFOMED;2019;060000296;060780640;;;;;;;;1;;;;;0;0;0;0;0;1;1;0;1;0;;0.5;0.1
INFOMED;2019;060000304;060780657;;1;;;;;;1;;;;;1;1;1;1;1;0;0;0;0;0;;;0.18
INFOMED;2019;060000478;060780897;1;;;1;;;1;;;1;;;0;0;0;0;0;1;1;0;0;0;;4.41;1.5
INFOMED;2019;060000486;060780905;;;1;;;;;1;;;;;1;1;1;1;1;0;0;0;0;1;060785011;0;0
INFOMED;2019;060000494;060780921;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;0.02;0.03
INFOMED;2019;060000510;060780954;1;;;;;;1;;;1;;;0;0;0;0;0;1;0;0;1;0;;3.8;1
INFOMED;2019;060000528;060780962;;;1;;;;;;;;;;0;0;0;0;0;1;1;0;1;0;;3;0.8
INFOMED;2019;060000544;060780988;;1;;;1;;;1;;1;;;1;1;0;0;1;1;1;1;1;0;;5.08;1
INFOMED;2019;060002102;060791761;;;1;;;;;;1;;;;0;0;0;0;0;1;1;1;1;0;;1.6;0.5
INFOMED;2019;060005469;920030269;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.2;
INFOMED;2019;060010899;060785011;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;1;0;060785011;;
INFOMED;2019;060015328;060015278;;;;;;;;;1;;;;0;0;0;1;1;0;;;0;0;;0.14;0.05
INFOMED;2019;060021094;060024619;;;;;;;;1;;;;;1;1;1;1;1;0;0;0;0;0;;0.2;0.3
INFOMED;2019;060021201;060000155;;;;;;;;1;;;;;0;0;1;1;1;0;0;0;0;0;;0.1;0.1
INFOMED;2019;060023694;060023686;;;;;;;;1;;;;;1;1;1;1;1;1;0;0;1;1;060800182;;
INFOMED;2019;060780145;060000049;;;;;;;;1;;;;;0;0;0;1;1;0;;;0;0;;0.8;0.5
INFOMED;2019;060780186;060006939;;;;;;;;;1;;;;0;0;0;0;0;0;;;1;0;;0.25;0.25
INFOMED;2019;060780277;920030269;0;0;0;0;0;0;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.2;0.2
INFOMED;2019;060780343;060000171;;;;;;;;;1;;;;0;0;0;0;0;1;1;1;0;1;060780517;0;0.06
INFOMED;2019;060780350;750056335;;;;;;;;;1;;;;0;0;0;0;0;1;0;1;0;0;;0.1;0.1
INFOMED;2019;060780392;060000205;;;;;;;;;1;;;;0;0;0;0;0;1;1;1;0;1;060780517;0;0.07
INFOMED;2019;060780442;060000213;;1;;;;;;;;;1;;1;1;1;1;1;0;;;0;;;1;0.5
INFOMED;2019;060780459;010783009;;;;;;;;1;;;;;0;0;0;1;1;1;1;0;0;0;;0.5;0.2
INFOMED;2019;060780491;060790797;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;2;0.63
INFOMED;2019;060780517;060000239;;;1;;;;;;;;;;0;0;0;0;0;1;1;0;0;1;060780343;9;1
INFOMED;2019;060780525;060000247;;;;;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;;0.2;1
INFOMED;2019;060780541;060000262;;;;;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;;0.2;0.2
INFOMED;2019;060780558;750720575;;;;;;;;1;;;;;0;0;0;1;1;0;0;0;0;0;;1;0.05
INFOMED;2019;060780590;060000270;;;1;;;;;;;;;;1;1;1;1;1;0;;;0;0;;1;0.1
INFOMED;2019;060780665;060000312;;;;;;;;1;;;;;;;1;1;1;1;1;1;1;0;;0.92;0.1
INFOMED;2019;060780715;060000361;;;1;;;;;;;;;;0;0;0;1;1;0;;;0;0;;5;0.3
INFOMED;2019;060780723;060004959;;1;;;;;;;;;;;0;0;1;1;1;1;1;1;0;0;;3;0.2
INFOMED;2019;060780749;060000395;;;;;;;;;;;1;;1;1;1;1;1;0;0;0;0;0;;0.2;0.3
INFOMED;2019;060780756;060000403;1;;;;;;;;;;;;0;0;0;0;0;1;1;0;1;0;;5;0.1
INFOMED;2019;060780947;060800174;;1;;;;;;;;;;;0;0;0;1;0;0;0;0;0;0;;2.52;0.5
INFOMED;2019;060780996;630786754;;;;;;;;;;;1;;0;0;0;0;0;1;1;0;0;0;;2.6;1
INFOMED;2019;060781200;060000635;;;1;;;;;;;;;;0;0;0;0;0;0;;;0;0;;1;0.2
INFOMED;2019;060781374;060000718;;;;;;;;;1;;;;;;;;;1;;;1;;;0.5;0.05
INFOMED;2019;060781929;060000858;;;;;;;;;;;;1;1;1;1;1;1;0;0;0;0;0;;;0.24
INFOMED;2019;060785003;060785011;;;1;;;;;;;1;;;0;0;0;0;1;1;0;0;1;0;060785011;0;0
INFOMED;2019;060785219;060780608;;;1;;;;;;;;;;0;0;0;1;1;1;1;0;1;0;;7;0.2
INFOMED;2019;060785227;060780608;;;;;;;;;1;;;;0;0;0;1;1;1;1;0;1;0;;1.2;0.1
INFOMED;2019;060785243;060001484;;;;;;1;;;;;;;0;0;0;0;0;1;0;0;0;0;;;0.2
INFOMED;2019;060788957;060785011;;;1;;;;;1;;;;;0;0;0;0;1;1;0;0;1;0;060785011;18.67;5.33
INFOMED;2019;060789195;060785011;;;1;;;;;1;;;;;0;0;0;0;1;1;0;0;1;0;060785011;;
INFOMED;2019;060789674;130037815;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;;1;0.1
INFOMED;2019;060790177;060785011;;;;;;;;1;;;;;0;0;0;0;0;1;0;0;1;0;060785011;;
INFOMED;2019;060790862;060001997;;;;;;;;;1;;;;0;0;0;0;0;1;1;1;0;0;;34;0.1
INFOMED;2019;060791811;060010808;;;1;;;;;1;;;;;0;0;0;0;0;0;0;1;1;0;;2;0.6
INFOMED;2019;060791860;060790797;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;0.09;0.09
INFOMED;2019;060792900;060790797;;1;;;;;;;;;;;0;0;0;0;0;0;;;0;0;;0.01;0.01
INFOMED;2019;060792926;920033636;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;0.05;0.05
INFOMED;2019;060794013;060790797;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;0.93;0.37
