BOR;AN;FI;FI_EJ;DIS;PART;NB_SECT;NB_DIF;INT;CAP_HTP;CAP_PFT;CAP_AAT;CAP_ACP;CAP_CCU;CAP_HAD;JLI_HTP;CAP_HDJ;CAP_HDN;NB_AT;SEJ_HTP;JOU_HTP;JOU_PFT;JOU_AAT;JOU_ACP;JOU_CCU;JOU_HAD;JOU_ST;VEN_HDJ;VEN_HDN;VEN_AT;NB_CMP_SEUL_PA;NB_CMP_SEUL_PL;NB_CONSULT_SEUL;NB_CATTP;ACT_CMP_SEUL;ACT_CONSULT_SEUL;ACT_CATTP;ACT_AD;ACT_EMS;ACT_UHS;ACT_EME;FIL_TOT;FIL_AMB;FIL_TPL;FIL_PLA;EFFPL_PKT;EFFPA_PKT;ETP_PKT;EFFPL_MED;EFFPA_MED;ETP_MED;GAR_SEN;AST_SEN;EFFPL_PNM;EFFPA_PNM;ETP_PNM;ETP_INF;ETP_AID;ETP_PSY;ETP_ASS;ETP_REE;ETP_EDU;HPLEFFPL_PKT;HPLEFFPA_PKT;HPLETP_PKT;HPLEFFPL_MED;HPLEFFPA_MED;HPLETP_MED;HPLEFFPL_PNM;HPLEFFPA_PNM;HPLETP_PNM;HPLETP_INF;HPLETP_AID;HPLETP_PSY;HPLETP_ASS;HPLETP_REE;HPLETP_EDU
PSY;2019;410000046;410000103;GEN;;1;;;49;14;0;0;0;0;17885;45;0;0;502;15405;3243;;;;;109;4304;;;2;1;1;1;2384;3773;2405;1005;3;889;;1326;870;340;21;2;2;3.47;;;;0;1;79;12;86.68;50.59;15.1;1.26;;0;0.83;;;;;;;43;5;48.26;30.27;14.16;0;;0;0
PSY;2019;410000046;410000103;INF;;1;;;0;0;;;;0;0;25;0;0;0;0;0;;;;;;2088;;;4;1;2;6;6094;3;1117;;77;83;36;802;655;;;;1;1.53;;;;0;0;17;11;24.11;11.73;0;3.27;;0;3.55;;;;;;;;;;;;;;;
PSY;2019;410000046;410000103;TOT;1;;0;0;49;14;0;0;0;0;17885;70;0;0;502;15405;3243;;;;;109;6392;;;6;2;3;7;8478;3776;3522;1005;80;972;36;2122;;;;2;2;5;;;;;;96;23;110.79;62.32;15.1;4.53;;0;4.38;;;;;;;43;5;48.26;30.27;14.16;0;;0;0
PSY;2019;410000277;410000467;GEN;;;;;107;;;;;;39055;30;;;157;37714;;;;;;;11183;;;;;;;;;;;;;;433;;157;83;5;1;5.17;;;;;;85;18;95.29;31.14;14.8;1;;2.38;11.9;;;;;;;;;;;;;;;
PSY;2019;410000277;410000467;TOT;0;;;0;107;;;;;;39055;30;;;157;37714;;;;;;;11183;;;;;;;;;;;;;;433;;157;83;5;1;;;;;;;85;18;95.29;31.14;14.8;1;;2.38;11.9;;;;;;;;;;;;;;;
PSY;2019;410000293;410000491;GEN;;;;;101;;;;;;36865;20;10;;864;37501;;;;;;;9257;679;;;;;;;;;;;;;237;;209;;2;2;3.8;;2;1.01;0;0;64;11;70.34;38.46;8.71;;;;4.24;;;;;;;;;;;;;;;
PSY;2019;410000293;410000491;TOT;0;;;0;101;;;;;;36865;20;10;;864;37501;;;;;;;9257;679;;;;;;;;;;;;;237;;209;;2;2;3.8;;2;1.01;;;64;11;70.34;38.46;8.71;;;;4.24;;;;;;;;;;;;;;;
PSY;2019;410000475;;GEN;;;;;42;;;;;;15330;10;3;;245;8224;;;;;;;4252;131;;;;;;;;;;;;;153;;66;;2;;2;;2;0.92;1;1;39;13;42.35;21.59;5.23;2.86;;;11.84;;;;;;;;;;;;;;;
PSY;2019;410000475;;INF;;;;;15;;;;;;5475;10;;;361;10726;;;;;;;2584;;;;;;;;;;;;;;176;;104;;;;;;;;;;;;;;;;;;;;1;0.92;;1;0.1;7;2;7;3.45;;2.38;;;2
PSY;2019;410000475;;TOT;0;;;0;57;;;;;;20805;20;3;;606;18950;;;;;;;6836;131;;;;;;;;;;;;;288;;130;;2;;2;;2;0.92;;;39;13;42.35;21.59;5.23;2.86;;;11.84;;1;0.92;;1;0.1;7;2;7;3.45;;2.38;;;2
PSY;2019;410003768;410000095;GEN;;1;;;40;;;;;;14600;20;;;415;11642;;;;;;;4511;;;;1;;1;3183;;1867;1682;;215;;1079;736;255;1;4;1;3.83;0;0;0;;;44;10;50.71;35.99;5.33;0.98;;0.8;1.53;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
PSY;2019;410003768;410000095;TOT;1;;;0;40;;;;;;14600;20;;;415;11642;;;;;;;4511;;;;1;;1;3183;;1867;1682;;215;;1079;736;255;1;4;1;3.83;0;0;0;;;44;10;50.71;35.99;5.33;0.98;;0.8;1.53;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
PSY;2019;420000010;420780033;GEN;;2;;;52;3;;;;;18250;40;;;882;15272;0;;;;;;7726;;;;2;6;1;17292;2701;3392;4213;209;5240;;3677;3161;565;5;2;8;6.28;0;2;0.67;0;1;103;27;117.57;72.34;12;10.88;;2.08;4.58;2;7;4.02;0;0;0;58;14;61.98;37.41;9.95;1;;0.4;1.46
PSY;2019;420000010;420780033;INF;;1;;;;;;;;;;16;;;;;;;;;;;2022;;;2;2;1;2;11194;452;1743;533;35;1070;141;1043;1002;6;;2;3;3;0;0;0;0;1;35;22;47.07;19.42;0.99;7.01;;5.06;10.33;0;0;0;0;0;0;;;;;;;;;
PSY;2019;420000010;420780033;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;5310;;;;512;512;;;0;4;0.92;0;0;0;;;5;4;6.79;2.55;;4.24;;;;0;0;0;0;0;0;;;;;;;;;
PSY;2019;420000010;420780033;TOT;1;;3;1;52;3;;;;;18250;56;;;882;15272;0;;;;;;9748;;;2;5;7;3;28486;3153;5135;10056;244;6310;141;5235;4605;571;5;4;15;10.2;0;2;0.67;;;143;53;171.43;94.31;12.99;22.13;;7.14;14.91;2;7;4.02;0;0;0;58;14;61.98;37.41;9.95;1;;0.4;1.46
PSY;2019;420000226;420013831;GEN;;2;;;28;0;9;0;0;0;10220;20;0;0;464;9686;0;2892;0;0;0;0;4668;0;0;0;3;0;4;15467;0;3597;0;0;0;0;2159;1661;405;0;4;1;5.01;;2;0.63;0;1;56;55;88.2;64.43;;6.29;;;0.48;1;3;2.4;;;;19;25;32.7;28.12;;2.25;;;0.5
PSY;2019;420000226;420013831;INF;;1;;;0;0;;;0;0;0;12;0;0;0;0;0;;;0;0;0;1939;0;0;0;2;0;2;7261;0;6848;0;0;0;0;1525;1511;0;0;3;1;3.13;;;;0;;17;35;34.88;12.35;;5.61;;;8.34;0;0;0;;;;0;0;0;0;;0;;;0
PSY;2019;420000226;420013831;TOT;1;;0;0;28;0;9;0;0;0;10220;32;0;0;464;9686;0;2892;0;0;0;0;6607;0;0;0;5;0;6;22728;0;10445;0;0;0;0;3684;3172;405;0;7;2;8.14;;2;0.63;;;73;90;123.08;76.78;;11.9;;;8.82;1;3;2.4;;;;19;25;32.7;28.12;;2.25;;;0.5
PSY;2019;420781767;420000523;GEN;;;;;68;;;;;;24820;;;;723;24362;;;;;;;;;;;;;;;;;;;;;516;;;;4;;;1;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;
