BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
BRULES_P;2019;690783154;690781810;NAUT;4;5;6.47;;
BRULES_P;2019;750100075;750712184;M1030;4;4;4.65;1;1
BRULES_P;2019;750100075;750712184;M2040;1;5;3.1;0;0
BRULES_P;2019;750100075;750712184;M3020;;1;0.1;;
BRULES_P;2019;750100075;750712184;N2120;1;0;1;;
BRULES_P;2019;750100075;750712184;N2200;38;0;37.69;;
BRULES_P;2019;750100075;750712184;N2410;1;;0.2;;
BRULES_P;2019;750100075;750712184;N2500;33;0;32.99;;
BRULES_P;2019;750100075;750712184;N2710;1;0;1;;
BRULES_P;2019;750100075;750712184;NAUT;2;1;2.86;;
BRULES_P;2019;750100109;750712184;M1030;3;0;3;1;0
BRULES_P;2019;750100109;750712184;M2040;5;4;6.7;0;0
BRULES_P;2019;750100109;750712184;N2120;2;;2;;
BRULES_P;2019;750100109;750712184;N2200;29;4;32.7;;
BRULES_P;2019;750100109;750712184;N2300;1;1;1.9;;
BRULES_P;2019;750100109;750712184;N2410;1;;1;;
BRULES_P;2019;750100109;750712184;N2500;24;1;24.9;;
BRULES_P;2019;750100109;750712184;N2710;1;;1;;
BRULES_P;2019;750100109;750712184;NAUT;2;;2;;
BRULES_P;2019;830100574;750821092;M1030;1;;0.8;1;1
BRULES_P;2019;830100574;750821092;M2040;2;;2;1;1
BRULES_P;2019;830100574;750821092;N2120;1;;0.5;;
BRULES_P;2019;830100574;750821092;N2200;10;;10;;
BRULES_P;2019;830100574;750821092;N2300;3;;2.8;;
BRULES_P;2019;830100574;750821092;N2410;1;;0.3;;
BRULES_P;2019;830100574;750821092;N2500;4;;4;;
BRULES_P;2019;830100574;750821092;N2710;1;;0.1;;
BRULES_P;2019;920120011;750821092;M1030;10;0;10;1;1
BRULES_P;2019;920120011;750821092;M2040;0;0;0;0;1
BRULES_P;2019;920120011;750821092;N2120;4;0;4;;
BRULES_P;2019;920120011;750821092;N2200;33;0;33;;
BRULES_P;2019;920120011;750821092;N2300;1;0;1;;
BRULES_P;2019;920120011;750821092;N2500;24;0;24;;
BRULES_P;2019;920120011;750821092;NAUT;1;0;1;;
BRULES_P;2019;970100442;970100228;MAUT;1;1;1.17;;
BRULES_P;2019;970100442;970100228;N2120;;1;0.25;;
BRULES_P;2019;970100442;970100228;N2300;3;;3;;
BRULES_P;2019;970100442;970100228;N2500;1;;1;;
BRULES_P;2019;970100442;970100228;NAUT;1;1;1.5;;
BRULES_P;2019;970400024;970408589;M1030;2;;2;0;1
BRULES_P;2019;970400024;970408589;M2040;;1;0.6;0;0
BRULES_P;2019;970400024;970408589;N2120;1;;1;;
BRULES_P;2019;970400024;970408589;N2200;15;4;16.85;;
BRULES_P;2019;970400024;970408589;N2300;4;;4;;
BRULES_P;2019;970400024;970408589;N2410;1;;1;;
BRULES_P;2019;970400024;970408589;N2500;20;;20;;
BRULES_P;2019;970400024;970408589;N2710;1;;1;;
BRULES_P;2019;970400024;970408589;NAUT;1;;1;;
