BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
DIALYSE_P;2019;090784679;310000633;N4100;;;0.29;;
DIALYSE_P;2019;090784679;310000633;NAUT;;;0.79;;
DIALYSE_P;2019;090784679;310000633;NCINF;;3;1.7;;
DIALYSE_P;2019;100000090;100000017;M1110;0;2;0.4;0;1
DIALYSE_P;2019;100000090;100000017;N2500;11;0;10.64;;
DIALYSE_P;2019;100000090;100000017;NAUT;5;2;5.65;;
DIALYSE_P;2019;100000090;100000017;NCINF;15;2;16.05;;
DIALYSE_P;2019;100005958;510000953;M1110;;;0.09;;
DIALYSE_P;2019;100005958;510000953;NCINF;3;;3;;
DIALYSE_P;2019;100006550;510000953;M1110;;4;1.28;0;0
DIALYSE_P;2019;100006550;510000953;NCINF;16;1;16.5;;
DIALYSE_P;2019;110000023;110780061;M1110;;5;1.68;;
DIALYSE_P;2019;110000023;110780061;N2500;12;;12.07;;
DIALYSE_P;2019;110000023;110780061;NAUT;1;;1;;
DIALYSE_P;2019;110000023;110780061;NCINF;20;5;23.6;;
DIALYSE_P;2019;110004413;340000264;M1110;;5;0.05;0;1
DIALYSE_P;2019;110004413;340000264;N4100;;5;0.21;;
DIALYSE_P;2019;110004413;340000264;NAUT;;6;0.1;;
DIALYSE_P;2019;110004413;340000264;NCINF;;9;0.33;;
DIALYSE_P;2019;110004421;340000264;M1110;;2;0.37;0;1
DIALYSE_P;2019;110004421;340000264;N4100;;5;0.2;;
DIALYSE_P;2019;110004421;340000264;NAUT;;5;0.3;;
DIALYSE_P;2019;110004421;340000264;NCINF;;9;0.29;;
DIALYSE_P;2019;110004439;340000264;N4100;;2;0.05;;
DIALYSE_P;2019;110004439;340000264;NAUT;;2;0.06;;
DIALYSE_P;2019;110005311;340000264;M1110;;7;0.69;;1
DIALYSE_P;2019;110005311;340000264;N4100;;6;0.69;;
DIALYSE_P;2019;110005311;340000264;NAUT;;5;0.85;;
DIALYSE_P;2019;110005311;340000264;NCINF;7;10;8.85;;
DIALYSE_P;2019;110007259;110000114;M1110;;3;0.6;0;1
DIALYSE_P;2019;110007259;110000114;N4100;;2;0.5;;
DIALYSE_P;2019;110007259;110000114;NAUT;;1;0.2;;
DIALYSE_P;2019;110007259;110000114;NCINF;;18;4.2;;
DIALYSE_P;2019;110780228;110000114;M1110;3;;2.4;;1
DIALYSE_P;2019;110780228;110000114;N2500;5;2;6.2;;
DIALYSE_P;2019;110780228;110000114;N4100;2;;1.53;;
DIALYSE_P;2019;110780228;110000114;NAUT;2;;0.9;;
DIALYSE_P;2019;110780228;110000114;NCINF;19;4;14.93;;
DIALYSE_P;2019;120000039;120780044;M1110;4;0;3.5;0;1
DIALYSE_P;2019;120000039;120780044;N2500;2;3;4.11;;
DIALYSE_P;2019;120000039;120780044;NAUT;1;2;1.66;;
DIALYSE_P;2019;120000039;120780044;NCINF;14;6;17.24;;
DIALYSE_P;2019;120001748;340000264;M1110;;3;0.95;;
DIALYSE_P;2019;120001748;340000264;N4100;;5;0.5;;
DIALYSE_P;2019;120001748;340000264;NAUT;;9;1.7;;
DIALYSE_P;2019;120001748;340000264;NCINF;9;14;12.58;;
DIALYSE_P;2019;120005228;310000633;M1110;;;0.3;1;1
DIALYSE_P;2019;120005228;310000633;N4100;;;0.29;;
DIALYSE_P;2019;120005228;310000633;NAUT;;;0.79;;
DIALYSE_P;2019;120005228;310000633;NCINF;;4;3.34;;
DIALYSE_P;2019;120007786;310000633;M1110;;;0.21;1;1
DIALYSE_P;2019;120007786;310000633;N4100;;;0.29;;
DIALYSE_P;2019;120007786;310000633;NAUT;;;0.79;;
DIALYSE_P;2019;120007786;310000633;NCINF;;5;2.3;;
DIALYSE_P;2019;120788088;310000633;M1110;;;0.01;1;1
DIALYSE_P;2019;120788088;310000633;N4100;;;0.05;;
DIALYSE_P;2019;120788088;310000633;NAUT;;;0.13;;
DIALYSE_P;2019;120788088;310000633;NCINF;;2;0.01;;
DIALYSE_P;2019;130000409;130041916;M1110;0;3;0.9;1;0
DIALYSE_P;2019;130000409;130041916;N2500;5;1;5.5;;
DIALYSE_P;2019;130000409;130041916;NAUT;3;1;3.55;;
DIALYSE_P;2019;130000409;130041916;NCINF;13;4;14.4;;
DIALYSE_P;2019;130002835;130789316;M1110;;4;1.73;0;1
DIALYSE_P;2019;130002835;130789316;N2500;;1;0.33;;
DIALYSE_P;2019;130002835;130789316;NAUT;4;4;7;;
DIALYSE_P;2019;130002835;130789316;NCINF;14;3;16.1;;
DIALYSE_P;2019;130008287;130006810;M1110;1;;1.79;;
DIALYSE_P;2019;130008287;130006810;N4100;;;0.6;;
