BOR;AN;FI;FI_EJ;ANTGEO;NB_ANT;FI1;FI2;FI3;POP;EMSP;EQDOU;TELESUR;TELECONS;INDOM;ASTR;CONVPER;CONV;AUTMED;PLAMED;AUTOBS;PLAOBS;AUTSSR;PLASSR;AUTCAN;PLACAN;PLATOT;SEJ_HAD;SEJ_PER;SEJ_PAL;SEJ_CAN;JOU_HAD;JOU_PER;JOU_PAL;JOU_CAN;FIL_HAD;FIL_PER;FIL_PAL;FIL_CAN;P80_HAD;P80_PAL;P80_CAN;PMS_HAD;PMS_PER;PMS_PAL;PMS_CAN
HAD;2019;140000233;140000118;0;;;;;67000;1;1;0;0;1;1;;;1;15;0;;0;;0;;15;200;0;107;8;4138;0;2086;150;166;0;89;6;73;50;0;30;0;25;0
HAD;2019;140000373;140000159;1;4;500021274;500021282;610007312;;0;0;1;0;1;1;0;0;1;20;0;;0;;0;;20;177;0;56;9;5593;0;1545;284;119;0;37;6;61;23;4;25;0;4;0
HAD;2019;140002619;750721334;0;;;;;300000;0;0;0;0;1;1;0;0;0;;0;;0;;0;;80;617;0;191;7;26494;0;6441;110;463;0;167;4;179;81;0;90;0;20;0
HAD;2019;140016155;140027426;0;;;;;87000;1;1;0;1;1;1;;;1;40;0;;0;;0;;40;245;0;138;0;11145;0;5618;0;175;0;99;0;71;46;0;20;0;9;0
HAD;2019;140026709;140000415;0;;;;;72935;1;1;0;0;1;1;;;1;30;0;;0;;0;;30;334;0;131;27;10977;0;3423;134;215;0;120;6;105;70;3;56;0;44;0
HAD;2019;150000040;150780096;1;3;150000040;;;145000;1;1;0;0;1;0;1;0;1;15;0;;0;;0;;15;382;0;46;129;5009;0;918;329;181;0;38;31;34;9;5;20;0;6;0
HAD;2019;160002036;160009908;0;;;;;350240;1;0;0;0;1;1;;;1;110;0;;0;;0;;110;998;0;442;76;36271;0;14692;2313;692;0;331;50;215;121;8;66;0;19;0
HAD;2019;170000087;170024194;1;3;170000087;170000111;;365000;0;0;0;0;1;0;1;0;1;25;1;20;1;20;1;20;85;844;0;360;106;27738;0;13728;639;509;0;269;24;151;88;5;35;0;10;0
HAD;2019;170000103;170780175;1;3;170000095;170000038;170000129;;1;0;0;0;0;0;1;0;1;;0;;1;;1;;90;864;0;205;125;25962;0;5434;740;538;0;173;36;160;70;4;79;0;36;0
HAD;2019;180000010;180000028;0;;;;;182009;1;1;0;0;1;0;1;0;1;30;0;;0;;1;30;30;418;0;78;135;10022;0;3213;447;189;0;69;14;64;29;3;29;0;9;0
HAD;2019;180008278;750056335;0;;;;;180000;1;1;0;0;1;1;;;1;43;0;;0;;0;;43;329;0;198;8;13111;0;6328;232;240;0;146;7;81;61;0;25;0;16;0
HAD;2019;190000026;190000059;0;;;;;243551;1;0;0;0;1;0;1;0;1;82;0;;0;;1;1;83;608;0;172;7;30297;0;2550;54;419;0;156;4;196;102;0;76;0;56;0
HAD;2019;190010629;190010579;0;;;;;240000;1;0;0;0;1;0;1;0;1;40;0;;0;;1;20;60;1350;0;117;888;15461;0;3479;2569;342;0;99;100;135;65;27;34;0;18;1
HAD;2019;210003059;210987400;0;;;;;384631;1;1;0;0;1;1;;;1;43;0;;0;;0;;43;569;0;221;9;18297;0;8181;125;316;0;144;7;111;73;1;58;0;25;0
HAD;2019;210780789;210003208;0;;;;;250000;1;0;0;0;1;1;;;1;30;0;;0;;0;;30;375;0;164;34;9085;0;3180;731;271;0;130;20;106;67;2;30;0;15;0
HAD;2019;210987657;210012175;0;;;;;100000;1;0;0;0;1;1;;;1;35;0;;0;;0;;35;293;0;93;32;7227;0;1524;449;177;0;79;9;82;43;2;46;0;22;0
HAD;2019;210987731;210780417;0;;;;;250000;1;1;0;0;1;1;;;0;;0;;0;;1;18;18;460;0;83;333;4533;0;1561;1645;135;0;55;84;26;13;14;0;0;0;0
HAD;2019;220000368;220000103;1;1;220000541;;;;1;1;0;0;1;1;0;0;1;25;0;;0;;0;;25;322;0;145;31;7521;0;2220;897;216;0;87;21;72;39;5;15;0;6;0
HAD;2019;220000541;220000152;0;;;;;;1;0;0;0;1;0;1;0;1;10;0;;0;;0;;10;101;0;46;7;1935;0;589;139;79;0;42;5;32;21;0;2;0;0;0
HAD;2019;220019616;220019608;0;;;;;235052;0;0;0;0;1;0;1;0;1;70;0;;0;;0;;70;676;11;392;13;20789;121;12852;355;529;9;316;11;209;133;2;85;0;28;0
HAD;2019;220020341;350000626;0;;;;;75441;0;0;0;0;1;0;1;0;1;25;0;;0;;0;;25;320;2;150;10;9802;27;4909;286;253;2;121;9;115;63;0;44;0;19;1
HAD;2019;230782617;920028560;1;4;230782617;;;117340;0;1;0;0;1;0;1;0;1;35;1;35;1;35;1;35;35;450;0;130;131;13452;0;4946;775;240;0;102;35;80;54;9;20;0;8;2
HAD;2019;240000489;240000117;1;2;240000489;;;188000;1;1;0;0;1;0;1;0;1;40;0;0;0;0;0;4;44;825;0;199;304;21204;0;4999;1523;451;0;176;37;227;104;14;128;0;75;1
HAD;2019;240000687;240000448;0;;;;;80000;1;1;0;0;1;1;;;1;30;0;;0;;0;;30;216;0;103;1;6257;0;2744;4;159;0;91;1;65;48;0;34;0;22;0
HAD;2019;240011668;240000612;0;;;;;;0;0;0;0;1;1;;;1;30;0;;0;;0;;30;328;0;113;5;12108;0;3167;613;251;0;101;5;121;52;1;64;0;18;0
HAD;2019;250012069;250017803;0;;;;;17197;0;0;0;0;1;1;;;1;20;0;;0;;0;;20;129;0;61;1;3952;0;1255;2;99;0;51;1;35;27;0;11;0;8;0
HAD;2019;250012838;250017803;0;;;;;227067;0;0;0;0;1;1;1;0;0;;1;0;0;;0;;0;10;10;0;0;98;98;0;0;9;9;0;0;0;0;0;0;0;0;0
HAD;2019;250016037;250017803;0;;;;;17197;0;0;0;0;1;1;;;1;35;0;;0;;0;;35;215;0;78;1;9840;0;3060;8;163;0;68;1;46;24;0;11;0;1;0
HAD;2019;250016045;250017803;0;0;;;;525000;0;0;0;0;1;1;;;1;40;0;0;0;0;0;0;40;285;11;97;2;12151;60;3166;157;204;10;83;2;61;37;1;8;0;4;0
HAD;2019;260000138;260000047;0;;;;;182337;1;0;0;0;1;0;1;0;1;22;0;;0;;0;;22;275;0;68;79;9382;0;1468;2827;186;0;62;39;48;24;8;15;0;12;1
HAD;2019;260000146;260000054;1;4;;;;480000;1;0;0;0;1;1;;;1;115;1;11;0;;1;14;140;1916;356;347;336;51131;4054;8932;5146;1208;345;312;109;308;151;27;73;0;35;1
HAD;2019;270000441;270000110;0;;;;;55000;1;1;0;0;1;0;1;0;1;8;0;;1;8;1;8;24;175;0;68;21;4360;0;1081;411;126;0;61;16;59;39;1;41;0;25;0
HAD;2019;270016058;750047367;0;;;;;270000;1;0;0;0;1;1;;;1;39;;;;;;;39;343;0;169;13;14405;0;6673;153;242;0;125;5;78;50;1;19;0;9;0
HAD;2019;270029416;270000102;0;;;;;88476;0;1;0;0;1;0;1;0;1;20;0;;1;5;1;5;30;359;0;124;44;7265;0;2589;426;270;0;104;9;110;60;3;7;0;3;0
HAD;2019;280001678;370001638;1;1;;;;445083;1;1;0;0;1;1;;;1;43;1;15;1;2;1;10;70;830;198;182;224;17019;2751;5043;1122;520;184;146;33;84;53;8;21;0;11;0
HAD;2019;290000785;220020739;0;;;;;;;;;;;;;;1;90;0;;0;;0;;90;1034;0;389;297;21947;0;11646;1748;553;0;308;62;203;139;7;34;0;25;0
HAD;2019;290032838;350000626;0;;;;;154407;0;0;0;0;1;0;1;0;1;50;0;;0;;0;;50;558;0;200;19;18725;0;6371;23;402;0;167;2;188;86;0;140;0;57;0
HAD;2019;290036375;290000447;0;;;;;;0;0;0;0;1;1;;;1;60;0;;0;;1;60;120;1587;0;542;68;37717;0;8599;976;1104;0;489;27;547;342;5;467;0;290;0
HAD;2019;2A0001988;2A0001848;0;;;;;90000;1;0;0;0;1;0;1;0;1;30;0;;0;;0;;30;253;0;105;5;9877;0;2637;75;152;0;68;3;66;33;0;22;0;14;0
HAD;2019;2A0002614;2A0002606;0;;;;;60000;;;;;;;;;1;25;0;;0;;0;;25;85;0;52;0;3009;0;2203;0;44;0;29;0;10;9;0;0;0;0;0
HAD;2019;2B0000038;2B0004246;0;;;;;23000;0;0;0;0;1;1;;;1;10;0;;1;5;1;5;20;75;0;36;7;4945;0;1956;180;48;0;22;4;20;9;1;0;0;0;0
