BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;DISU;DISHU
IMAGES_P;2019;060780715;060000361;M1160;;14;2.8;0;1;0;0
IMAGES_P;2019;060780715;060000361;N4130;14;;12;0;1;;
IMAGES_P;2019;060780715;060000361;NAUT;10;;7.46;;;;
IMAGES_P;2019;060780756;060000403;M1160;0;0;0;0;1;;
IMAGES_P;2019;060780947;060800174;M1160;2;6;4.86;0;0;1;1
IMAGES_P;2019;060780947;060800174;N4130;15;4;11.71;1;0;;
IMAGES_P;2019;060780947;060800174;N4160;1;0;0.52;;;;
IMAGES_P;2019;060780947;060800174;NAUT;2;4;4.95;;;;
IMAGES_P;2019;060780996;630786754;M1160;;1;0.2;0;0;0;0
IMAGES_P;2019;060780996;630786754;N4130;1;;1;0;0;;
IMAGES_P;2019;060781200;060000635;M1160;;14;1;0;1;0;0
IMAGES_P;2019;060781200;060000635;N4130;2;;2;0;1;;
IMAGES_P;2019;060781200;060000635;NAUT;1;;1;;;;
IMAGES_P;2019;060785003;060785011;M1160;13;10;16.51;1;1;;
IMAGES_P;2019;060785003;060785011;N4130;71;21;80.8;0;0;;
IMAGES_P;2019;060785003;060785011;NAUT;49;8;50.34;;;;
IMAGES_P;2019;060788957;060785011;M1160;0;0;0.38;0;0;;
IMAGES_P;2019;060788957;060785011;N4130;1;1;1.02;;;;
IMAGES_P;2019;060788957;060785011;NAUT;2;;2;;;;
IMAGES_P;2019;060789195;060785011;M1160;6;6;7.76;0;1;;
IMAGES_P;2019;060789195;060785011;M1210;3;0;3;0;0;;
IMAGES_P;2019;060789195;060785011;N4130;27;6;29.92;;;;
IMAGES_P;2019;060789195;060785011;NAUT;39;2;36.6;;;;
IMAGES_P;2019;060789674;130037815;N4130;;2;1.36;0;0;;
IMAGES_P;2019;060790177;060785011;N4130;1;;0.2;;;;
IMAGES_P;2019;060791811;060010808;N4130;2;1;2.31;0;1;;
IMAGES_P;2019;060794013;060790797;N4130;3;;3.69;0;1;;
IMAGES_P;2019;060794013;060790797;N4160;1;;1;;;;
IMAGES_P;2019;060794013;060790797;NAUT;7;;6.53;;;;
IMAGES_P;2019;060798881;060798873;M1160;;6;0.1;0;0;0;0
IMAGES_P;2019;060798881;060798873;N4130;;4;0.1;0;0;;
IMAGES_P;2019;060800174;;M1160;2;37;0.89;0;1;1;1
IMAGES_P;2019;060800174;;N4130;15;4;11.71;0;1;;
IMAGES_P;2019;060800174;;N4160;1;0;0.52;;;;
IMAGES_P;2019;060800174;;NAUT;2;4;4.95;;;;
IMAGES_P;2019;070000013;070002878;M1160;2;1;2;0;1;1;0
IMAGES_P;2019;070000013;070002878;N4130;6;2;6.99;0;1;;
IMAGES_P;2019;070000013;070002878;N4160;2;0;0.9;;;;
IMAGES_P;2019;070000013;070002878;NAUT;9;2;9.83;;;;
IMAGES_P;2019;070000070;070780150;N4130;1;;1;0;0;;
IMAGES_P;2019;070000179;070780358;M1160;6;1;6.4;0;1;0;0
IMAGES_P;2019;070000179;070780358;N4130;9;9;16.06;0;1;;
IMAGES_P;2019;070000179;070780358;N4160;1;0;0.8;;;;
IMAGES_P;2019;070000179;070780358;NAUT;6;7;10.27;;;;
IMAGES_P;2019;070000187;070780366;M1160;0;0;0;0;0;0;1
IMAGES_P;2019;070000187;070780366;N4130;0;2;1;0;0;;
IMAGES_P;2019;070000195;070780374;N4130;0;1;0.3;0;0;;
IMAGES_P;2019;070000195;070780374;NAUT;1;;0.1;;;;
IMAGES_P;2019;070000609;070005566;M1160;4;3;5.38;;;;
IMAGES_P;2019;070000609;070005566;N4130;16;1;16.82;;;;
IMAGES_P;2019;070000609;070005566;N4160;1;0;1;;;;
IMAGES_P;2019;070000609;070005566;NAUT;9;4;11.27;;;;
IMAGES_P;2019;070780424;070000245;M1160;9;2;10.5;0;1;0;0
IMAGES_P;2019;070780424;070000245;N4130;;;;1;1;;
IMAGES_P;2019;080000110;080000037;M1160;1;;1.26;0;1;0;
IMAGES_P;2019;080000110;080000037;N4130;7;3;9.62;;;;
IMAGES_P;2019;080000110;080000037;NAUT;4;;4;;;;
IMAGES_P;2019;080000219;080001969;M1160;;1;1.18;0;1;1;1
IMAGES_P;2019;080000219;080001969;N4130;6;3;7.77;0;1;;
IMAGES_P;2019;080000276;080001969;M1160;;;0.27;0;1;1;0
IMAGES_P;2019;080000276;080001969;N4130;;2;1.19;0;1;;
IMAGES_P;2019;080000276;080001969;NAUT;;1;0.35;;;;
IMAGES_P;2019;080000284;080000060;M1160;;1;0.2;0;0;;
IMAGES_P;2019;080000284;080000060;N4130;1;;1;0;0;;
IMAGES_P;2019;080000425;080000615;M1160;7;1;6.29;0;1;1;0
IMAGES_P;2019;080000425;080000615;M1210;1;1;1.35;0;0;;
IMAGES_P;2019;080000425;080000615;N4130;34;10;41.82;;;;
IMAGES_P;2019;080000425;080000615;N4160;2;;2;;;;
IMAGES_P;2019;080000425;080000615;NAUT;17;1;16.75;;;;
IMAGES_P;2019;090000019;090180019;M1160;0;2;0.3;0;0;0;1
IMAGES_P;2019;090000019;090180019;N4130;0;1;0.15;0;0;;
IMAGES_P;2019;090000175;090781774;M1160;5;1;4.66;0;1;0;0
IMAGES_P;2019;090000175;090781774;N4130;24;5;26.45;1;0;;
IMAGES_P;2019;090000175;090781774;N4160;1;;1;;;;
IMAGES_P;2019;090000175;090781774;NAUT;8;;7.81;;;;
IMAGES_P;2019;090000183;090781816;M1160;1;1;1.3;0;0;0;0
IMAGES_P;2019;090000183;090781816;N4130;11;2;11.7;0;1;;
IMAGES_P;2019;090000183;090781816;NAUT;4;1;4.36;;;;
IMAGES_P;2019;090001629;090781774;M1160;;1;0.22;0;0;0;0
