BOR;AN;FI;FI_EJ;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;EFFPL_MED;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFSP;EFFPL_INFNS;EFFPA_INFNS;ETP_INFNS;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPL_APNM;EFFPA_APNM;ETP_APNM
REA;2019;590801106;590782421;AUTSI;4;1460;76;;;1307;;;;0;1;0.5;;;;4;;4;;;;;;;;;
REA;2019;590801106;590782421;REAADU;20;7300;768;792;45;5999;5;42;99;5;3;7;;;;39;8;43.7;24;4;26.42;;;;4;1;2.74
REA;2019;590801106;590782421;SITOT;22;8030;1639;;;6693;;;;;;;;;;;;;;;;;;;;;
REA;2019;590801106;590782421;SIUNV;6;2190;707;;;1769;;;;2;0;2;;;;10;2;10.41;5;1;5.15;;;;;;
REA;2019;590801106;590782421;SURVADU;6;2190;369;;;1247;;;;;;;;;;4;3;6.09;6;;5.98;;;;1;;1
REA;2019;590801106;590782421;SURVENF;4;2190;473;;;1161;;;;;;;6;1;6.1;;;;;;;;;;;;
REA;2019;590801106;590782421;USIC;12;4380;856;;;3617;;;;1;;1;;;;16;2;17.08;11;2;11.04;;;;;;
REA;2019;590804696;590781902;REAADU;16;5840;783;808;29;4609;12;34;128;7;;6.1;1;1;1.15;35;4;34.05;17;8;22.34;;;;1;8;5.7
REA;2019;590804696;590781902;SITOT;4;1460;270;;;1401;;;;;;;;;;;;;;;;;;;;;
REA;2019;590804696;590781902;SIUNV;4;1460;270;;;1401;;;;4;;1.92;;1;0.25;;7;2.85;1;5;3.88;;;;;3;0.66
REA;2019;590804696;590781902;SURVADU;10;3170;549;;;2443;;;;7;;0.9;;;;6;2;6.98;8;2;8.36;;;;;3;1.05
REA;2019;590811279;590780193;AUTSI;59;21289;2178;;;17936;;;;5;3;8.75;4;0;3.09;76;25;94.2;53;26;67.99;0;0;0;9;4;13.26
REA;2019;590811279;590780193;REAADU;16;5840;433;466;15;4579;77;51;43;4;2;3.05;1;1;1.6;37;3;39.29;25;3;23.7;0;0;0;3;2;2.95
REA;2019;590811279;590780193;SITOT;59;21289;2178;;;17936;;;;;;;;;;;;;;;;;;;;;
REA;2019;590811279;590780193;SURVADU;32;11519;1245;;;10334;;;;;;2.73;1;0;1.16;24;4;25.13;21;2;21.6;0;0;0;4;1;5.26
REA;2019;590813382;590000386;SURVADU;6;2190;88;;;254;;;;;;;;;;;;;;;;;;;;;
REA;2019;590813507;590000485;SURVADU;6;2190;164;;;1097;;;;;15;8;;2;0.7;8;;8;8;;8;;;;;1;0.15
REA;2019;590815056;590005492;SURVADU;6;2190;91;;;596;;;;15;;15;;;;12;1;12.8;4;8;9.9;0;0;0;;;
REA;2019;590816310;590000048;SURVADU;10;3650;380;;;2374;;;;30;;30;;;;;;;;;;;;;;;
REA;2019;590817458;590053955;SURVADU;6;2190;129;;;649;;;;;6;;;;;4;;4;4;;4;;;;;;
REA;2019;600000194;600100713;REAADU;11;4015;612;635;42;4287;10;43;60;7;3;8.75;1;0;1;30;2;26.52;25;0;18.74;0;0;0;3;1;2.91
REA;2019;600000194;600100713;SITOT;12;4380;1068;;;3666;;;;;;;;;;;;;;;;;;;;;
REA;2019;600000194;600100713;SIUNV;4;1460;396;;;1020;;;;0;3;0.9;0;0;0.01;2;0;2;0;0;0.86;0;0;0;0;1;0.5
REA;2019;600000194;600100713;SURVADU;6;2190;333;;;853;;;;0;0;0;0;0;0;23;1;5.43;13;0;3.58;0;0;0;1;0;0.33
REA;2019;600000194;600100713;USIC;8;2920;672;;;2646;;;;0;3;0.9;0;0;0;5;6;6.9;3;8;6.57;0;0;0;0;1;0.5
REA;2019;600000467;600101984;REAADU;15;5475;553;560;28;4913;13;56;114;;9;4.61;;1;0.4;19;14;29.35;15;12;23.75;;;;3;1;3.81
REA;2019;600000467;600101984;SITOT;12;4316;947;;;3041;;;;;;;;;;;;;;;;;;;;;
REA;2019;600000467;600101984;SIUNV;4;1460;160;;;848;;;;;7;0.75;;;;2;1;2.91;1;;2.41;;;;;;
REA;2019;600000467;600101984;SURVADU;6;2190;252;;;1059;;;;;9;2.31;;1;0.4;7;;7;4;1;4.8;;;;1;;1
REA;2019;600000467;600101984;SURVENF;6;1946;282;;;1631;;;;;12;0.6;;2;0.68;5;5;7.89;4;4;6.77;;;;1;;0.78
REA;2019;600000467;600101984;USIC;8;2856;787;;;2193;;;;;11;3.05;;1;0.3;5;1;7.25;6;1;7.22;;;;1;;1.03
REA;2019;600100168;600106629;SURVADU;4;1460;37;;;279;;;;3;2;4.5;;1;0.2;2;;2;2;;1;;;;;;
REA;2019;600100754;600000228;AUTSI;8;2920;246;;;1037;;;;53;65;7.4;1;0;0.28;45;4;3.24;32;2;2.07;8;0;0.6;0;5;0.43
REA;2019;600100754;600000228;SITOT;8;2920;246;;;1037;;;;;;;;;;;;;;;;;;;;;
REA;2019;600100754;600000228;SURVADU;12;4380;684;;;5241;;;;53;65;13.7;1;0;1.04;52;5;13.17;40;42;9.12;;;;1;0;0.03
REA;2019;600110175;600001234;SURVADU;6;2190;84;;;654;;;;;3;1;;1;0.2;6;;5.5;2;;1.67;1;;0.1;;;
REA;2019;600113476;600100721;AUTSI;2;730;46;;;363;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REA;2019;600113476;600100721;REAADU;10;3650;478;488;23;3394;8;49;97;5;0;5.26;1;0;0.5;28;7;25.65;17;3;18.5;0;0;0;3;1;3.76
REA;2019;600113476;600100721;SITOT;14;5110;1249;;;3897;;;;;;;;;;;;;;;;;;;;;
REA;2019;600113476;600100721;SIUNV;5;1825;574;;;1292;;;;0;10;0.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REA;2019;600113476;600100721;SURVADU;5;1825;314;;;1054;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REA;2019;600113476;600100721;USIC;7;2555;629;;;2242;;;;0;13;1.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REA;2019;610000044;610780074;SURVADU;5;1825;262;;;1287;;;;0;0;0;0;0;0;3;1;3.97;2;2;3.51;0;0;0;0;0;0.04
REA;2019;610000051;610780082;REAADU;8;2920;395;410;17;2507;5;39;109;5;1;4.8;1;;1;22;7;21.21;14;1;14.96;;;;3;;3.12
