BOR;AN;FI;FI_EJ;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APR15;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;NRML;NBLIB;NBSAL;CAR;SAMUSDIS
SMURSAMU;2019;130000409;130041916;1;1;0;0;0;;0;0;252;250;0;;;;;2473;964;;;;;3437;1417;202;26;120;1069;1056;53;236;594;462;;;;;;;;;;;;;;;;
SMURSAMU;2019;130000565;130781446;1;1;0;0;0;;0;0;168;168;168;0;2;0;0;2063;234;0;0;0;0;2297;1123;95;23;60;668;1428;;;331;1097;;;;;;;;;;;;;;;;
SMURSAMU;2019;130001225;130782634;1;1;0;0;0;;0;0;168;168;0;0;1;0;0;1379;53;0;0;0;0;1432;;106;13;35;;1030;;;593;437;;;;;;;;;;;;;;;;
SMURSAMU;2019;130002827;130789274;1;1;0;0;0;;0;0;168;168;0;;;;;1329;113;;;;;1442;384;181;8;202;573;1058;83;333;920;138;;;;;;;;;;;;;;;;
SMURSAMU;2019;130002835;130789316;1;1;0;0;0;;0;0;252;252;0;;;;;1853;238;;;;;2091;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2019;130044977;130786049;1;0;0;0;1;130783293;0;0;168;168;168;1;1;;;1550;96;;0;;;1646;1041;79;16;85;861;1383;102;408;639;744;;;;;;;;;;;;;;;;
SMURSAMU;2019;130044985;130786049;1;0;0;0;1;130783293;0;0;168;168;168;1;;;1;2198;402;;;;;2600;1469;189;39;134;1107;2719;135;695;;2719;;;;;;;;;;;;;;;;
SMURSAMU;2019;130044993;130786049;1;0;0;0;1;130783293;0;0;168;168;168;1;0;0;0;3109;199;;;;;3308;2323;199;38;328;1758;2668;394;607;;2668;;;;;;;;;;;;;;;;
SMURSAMU;2019;130045008;130786049;1;0;0;0;1;130783293;0;0;168;168;168;1;0;0;0;1639;189;;;;;1828;1102;125;20;88;869;1519;108;383;;1519;;;;;;;;;;;;;;;;
SMURSAMU;2019;130045016;130786049;1;0;0;0;1;130783293;0;0;84;84;0;;;1;0;319;8;;286;8;;621;;;;;;255;78;12;;255;;;;;;;;;;;;;;;;
SMURSAMU;2019;130045040;130786049;1;0;0;0;1;130783293;0;0;140;140;140;2;;;;1428;271;;0;;;1699;864;109;15;70;670;1459;96;495;356;1103;;;;;;;;;;;;;;;;
