BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;MOD;COMSMUR
URGENCES_P;2019;060000478;060780897;M9999;21;3;15.09;;
URGENCES_P;2019;060000478;060780897;N1220;1;0;1.08;;
URGENCES_P;2019;060000478;060780897;N2120;5;0;4.71;;
URGENCES_P;2019;060000478;060780897;N2500;19;2;12.12;;
URGENCES_P;2019;060000478;060780897;N3120;0;1;0.54;;
URGENCES_P;2019;060000478;060780897;N9999;60;9;59.9;;
URGENCES_P;2019;060000478;060780897;NINF;34;6;33.95;;
URGENCES_P;2019;060000510;060780954;M3020;1;3;1.3;;
URGENCES_P;2019;060000510;060780954;M9999;7;17;15.55;1;1
URGENCES_P;2019;060000510;060780954;N1220;3;;2.33;;
URGENCES_P;2019;060000510;060780954;N2120;2;;1.7;;1
URGENCES_P;2019;060000510;060780954;N2500;20;2;20.86;;
URGENCES_P;2019;060000510;060780954;N9999;64;6;66.23;;
URGENCES_P;2019;060000510;060780954;NINF;28;4;30.61;;0
URGENCES_P;2019;060000544;060780988;M1140;0;4;1.03;;0
URGENCES_P;2019;060000544;060780988;M9999;10;7;12.28;3;1
URGENCES_P;2019;060000544;060780988;N1220;10;1;9.13;3;1
URGENCES_P;2019;060000544;060780988;N2120;;1;0.8;3;1
URGENCES_P;2019;060000544;060780988;N2500;36;2;30.15;;
URGENCES_P;2019;060000544;060780988;N3120;;1;0.05;;
URGENCES_P;2019;060000544;060780988;N9999;99;9;88.72;;
URGENCES_P;2019;060000544;060780988;NINF;42;4;36.46;3;1
URGENCES_P;2019;060002102;060791761;M9999;9;16;10;1;1
URGENCES_P;2019;060002102;060791761;N1220;4;1;4.25;;0
URGENCES_P;2019;060002102;060791761;N2500;7;1;7.8;;
URGENCES_P;2019;060002102;060791761;N2620;5;;5;;0
URGENCES_P;2019;060002102;060791761;N3120;1;;0.5;;
URGENCES_P;2019;060002102;060791761;N9999;24;3;26;;
URGENCES_P;2019;060002102;060791761;NINF;7;;6.5;;0
URGENCES_P;2019;060780491;060790797;M9999;1;4;4.91;;
URGENCES_P;2019;060780491;060790797;N1220;4;;3.6;;
URGENCES_P;2019;060780491;060790797;N2120;;1;0.75;;
URGENCES_P;2019;060780491;060790797;N2500;5;;4.94;;
URGENCES_P;2019;060780491;060790797;N3120;;1;0.1;;
URGENCES_P;2019;060780491;060790797;N9999;17;2;17.06;;
URGENCES_P;2019;060780491;060790797;NINF;8;;7.67;;
URGENCES_P;2019;060780517;060000239;M9999;;12;0;;0
URGENCES_P;2019;060780517;060000239;N1220;4;;4;;
URGENCES_P;2019;060780517;060000239;N2120;2;0;2.1;;
URGENCES_P;2019;060780517;060000239;N2500;1;1;1.78;;
URGENCES_P;2019;060780517;060000239;N2620;5;0;5.65;;
URGENCES_P;2019;060780517;060000239;N3120;;1;0.17;;
URGENCES_P;2019;060780517;060000239;N9999;25;2;23.65;;
URGENCES_P;2019;060780517;060000239;NINF;13;;9.95;;
URGENCES_P;2019;060780715;060000361;M9999;;12;8;;
URGENCES_P;2019;060780715;060000361;N1220;4;;4;;
URGENCES_P;2019;060780715;060000361;N2500;5;1;4.8;;
URGENCES_P;2019;060780715;060000361;N2620;2;;2.16;;
URGENCES_P;2019;060780715;060000361;N3120;;1;0.1;;
URGENCES_P;2019;060780715;060000361;N9999;20;3;18.96;;
URGENCES_P;2019;060780715;060000361;NINF;7;1;7.9;;
URGENCES_P;2019;060780723;060004959;M9999;4;0;4;;
