BOR;AN;FI;FI_EJ;LIT_MED;LIT_CHI;LIT_OBS;LIT_MCO;SEJHC_MED;SEJHC_CHI;SEJHC_OBS;SEJHC_MCO;JOU_MED;JOU_CHI;JOU_OBS;JOU_MCO;PLA_MED;PLA_CHI;PLA_OBS;PLA_MCO;SEJHP_MED;SEJHP_CHI;SEJHP_OBS;SEJHP_MCO;SEANCES_MED;CONSULT_EXT;SPED;UGER;CAP_COMPLET_GEN;CAP_COMPLET_INF;CAP_COMPLET_PEN;CAP_COMPLET_TOT;SEJ_HTP_GEN;SEJ_HTP_INF;SEJ_HTP_PEN;SEJ_HTP_TOT;FIL_TPL_GEN;FIL_TPL_INF;FIL_TPL_PEN;FIL_TPL_TOT;CAP_HDJ_GEN;CAP_HDJ_INF;CAP_HDJ_PEN;CAP_HDJ_TOT;VEN_HDJ_GEN;VEN_HDJ_INF;VEN_HDJ_PEN;VEN_HDJ_TOT;CAP_HDN_GEN;CAP_HDN_INF;CAP_HDN_TOT;VEN_HDN_GEN;VEN_HDN_INF;VEN_HDN_TOT;NB_CATTP_GEN;NB_CATTP_INF;NB_CATTP_PEN;NB_CATTP_TOT;ACT_CATTP_GEN;ACT_CATTP_INF;ACT_CATTP_PEN;ACT_CATTP_TOT;NB_CMP_GEN;NB_CMP_INF;NB_CMP_TOT;ACT_CMP_GEN;ACT_CMP_INF;ACT_CMP_TOT;FIL_AMB_GEN;FIL_AMB_INF;FIL_AMB_PEN;FIL_AMB_TOT;FIL_TOT_GEN;FIL_TOT_INF;FIL_TOT_PEN;FIL_TOT_TOT;LIT_SSR;SEJHC_SSR;JOUHP_SSR;PLA_SSR;LIT_USLD;ENT;PLATOT_HAD;SEJ_HAD;AUTGEN;PASSU_GEN;AUTPED;PASSU_PED;GEN;PED;ANT;SAMU;REA;SEJ_REANIM;TYPE1;SEJACC;TYPE2;SEJ_NEO;TYPE3;SEJ_REA;TRT_HEMO_CENTRE;SEAN_HEMO_CENTRE;TRT_INSUFF_REN;SEM_TRT_INSUFF_REN;CHIMIO;SEAN_CHIMIO;RTH;SEAN_RADIO;CHIRCAR;CARDIO_INT;NEUROCHIR;NEURO_INT;GREFFE;AMP;PRIS;EFFSAL_SPEMED;EFFSAL_DT_MEDGEN;EFFSAL_DT_URG;EFFSAL_DT_ANESTREA;EFFSAL_SPECHI;EFFSAL_DT_GYNOBS;EFFSAL_PSY;EFFSAL_ODON;EFFSAL_PHARMA;EFFSAL_AUT;EFFSAL_TOT;INTTOT;EFFLIB_SPEMED;EFFLIB_DT_MEDGEN;EFFLIB_DT_URG;EFFLIB_DT_ANESTREA;EFFLIB_SPECHI;EFFLIB_DT_GYNOBS;EFFLIB_PSY;EFFLIB_ODON;EFFLIB_PHARMA;EFFLIB_AUT;EFFLIB_TOT;ETPSAL_SPEMED;ETPSAL_DT_MEDGEN;ETPSAL_DT_URG;ETPSAL_DT_ANESTREA;ETPSAL_SPECHI;ETPSAL_DT_GYNOBS;ETPSAL_PSY;ETPSAL_ODON;ETPSAL_PHARMA;ETPSAL_AUT;ETPSAL_TOT;ETPINT;EFF_SAG;EFF_CAD;EFF_INFAVECSPE;EFF_INFSANSSPE;EFF_AID;EFF_ASH;EFF_PSYCHO;EFF_REEDU;EFF_SOINS;EFF_DIR;EFF_DIRINF;EFF_AUTADM;EFF_EDU;EFF_DTSOC;EFF_PERSPHARMA;EFF_PERSLABO;EFF_PERSRADIO;EFF_AUTMEDTEC;EFF_TEC;EFF_TOT_HORS_SOINS;EFF_TOT_PNM;ETP_SAG;ETP_CAD;ETP_INFAVECSPE;ETP_INFSANSSPE;ETP_AID;ETP_ASH;ETP_PSYCHO;ETP_REEDU;ETP_SOINS;ETP_DIR;ETP_DIRINF;ETP_AUTADM;ETP_EDU;ETP_DTSOC;ETP_PERSPHARMA;ETP_PERSLABO;ETP_PERSRADIO;ETP_AUTMEDTEC;ETP_TEC;ETP_TOT_HORS_SOINS;ETP_TOT_PNM;BIOGENSPE;MICROBIO;HEMATO;IMMUNO;GENE;ASSISTMED;ANOTO;PHARMA_A11;PHARMA_A20;PHARMA_A19;PHARMA_A26;NB_SCAN;ACT_SCAN;NB_IRM;ACT_IRM;NB_CAM;ACT_CAM;NB_TOMO;ACT_TOMO;SAL_INTERV;POST_REVEIL
SYGEN;2019;010000214;010007987;16;;;16;338;0;0;338;4353;0;0;4353;;;;;0;0;0;0;;3159;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;109;1000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;4;;;;;;1;2;1;13;;;;;;;;;;;;;6.17;3.08;;;;;;0.3;2;0.12;8.59;;;8;;56;85;49;4;19;221;1;1;37;3;3;4;;3;;67;116;337;;7.96;;51.91;79.65;38.48;2.69;16.26;196.95;0.58;0.5;31.69;2.1;2.1;3.4;;2.6;;60.67;101.54;298.49;;;;;;;;;;;;;;;;;;;;;
SYGEN;2019;010000495;010783009;;;;;;;;;;;;;;;;;;;;;;;;;294;11;0;305;4121;369;;4490;1757;123;;1931;65;14;0;79;7353;2150;;9503;;;;;;;13;6;1;20;36966;9597;864;47427;16;12;29;71572;27604;103153;10302;3222;884;14249;11860;3538;911;16006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;15;;;1;;48;1;2;2;70;7;;;;;;;;;;;;12.45;11.45;;;0.02;;38.45;0.3;2.16;1.96;55.34;3.99;;45;;476;107;99;85;30;842;9;;125;53;25;3;;;;63;253;1095;;40.79;;439.01;104.08;92.99;55.98;20.35;753.2;8.94;;106.49;44.72;24.21;3;;;;61.67;224.82;978.02;;;;;;;;;;;;;;;;;;;;;
SYGEN;2019;010002129;750056335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;827;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;4;;;;;;;2;1;9;;;;;;;;;;;2;2;4.46;3.02;;;;;;;1.17;0.2;5.83;;;3;;18;25;16;1;13;76;2;;7;2;2;1;;;;9;21;97;;2.43;;18.55;24.11;15.49;0.4;10.64;71.62;1.96;;6.7;1.03;1.03;1.18;;;;8.33;19.2;90.82;;;;;;;;;;;;;;;;;;;;;
SYGEN;2019;010005239;010008407;60;21;21;102;4501;1223;925;6649;20925;5425;2902;29252;7;7;1;15;816;1492;75;2383;0;65657;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;343;0;;;;;;1;21947;0;;1;0;0;0;1;417;1;665;0;0;0;0;;;;;1;0;0;;0;0;0;0;0;0;1;35;16;;5;16;3;;;3;2;56;;0;0;;0;0;0;;;0;0;0;27.71;14.48;;5.33;11.13;2.93;;;2.75;2.25;43.84;0;20;7;13;101;125;25;2;4;297;2;0;65;3;2;11;9;8;1;53;152;449;18.19;7.14;13.25;93.99;108.89;22.73;0.81;3.71;268.71;2;0.8;60.04;1.72;1.25;9.39;8.14;8.12;1.67;50.68;142.56;411.27;1;1;1;0;0;0;0;;;;;1;0;1;0;;;;;7;8
SYGEN;2019;010005379;010010718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;;2;;;;;;;;;;;;;1;1;;;;;;;0.4;;1.4;;;;;5;;;2;;7;;;1;2;2;1;;;;;4;11;;0.25;;3.24;;;0.68;;4.17;;;0.97;0.99;0.99;0.8;;;;;2.76;6.93;;;;;;;;;;;;;;;;;;;;;
SYGEN;2019;010006526;690796552;;;;;;;;;;;;;;;;;;;;;2201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;0.25;;;;;;;;;;0.25;;;1;;6;;;;;7;;;0;;;;;;;;0;7;;0.17;;3;;;;;3.17;;;0.13;;;;;;;;0.13;3.3;;;;;;;;;;;;;;;;;;;;;
SYGEN;2019;010007300;010007292;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2075;0;2075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;6;6;;;;;;15;;;;;;;;;;;;;;;1;6;;1;;;8;1;;2;;;;;;;;3;11;;;0.7;3.1;;0.4;;;4.2;1;;1.25;;;;;;;;2.25;6.45;;;;;;;;;;;;;;;;;;;;2;5
SYGEN;2019;010008852;010783009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2412;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;1;;3;;;;;;;;;;;;;1.25;1;;;;;;;0.05;;1.3;;;1;;1;;1;2;8;13;8;;5;1;1;3;;;;;17;30;;0.16;;1;;1;0.59;4.1;6.85;2.55;;1.47;0.9;0.9;0.09;;;;;5.01;11.86;;;;;;;;;;;;;;;;;;;;;
SYGEN;2019;010009314;010780054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;522;3454;13;94;74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;8;;;;;;;;;;;;;5.56;;;0.13;;;;;;;5.56;;;4;;38;56;15;2;12;127;;;5;2;2;;;;;2;9;136;;2.91;;31.29;48.81;13.09;0.75;4.02;100.87;;;3.24;0.52;0.52;;;;;1.78;5.54;106.41;;;;;;;;;;;;;;;;;;;;;
SYGEN;2019;010009702;010780054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;5;13;3;;2;24;;;;;;;;;;;;24;;0.5;;4.77;10.89;2.81;;0.8;19.77;;;;;;;;;;;;19.77;;;;;;;;;;;;;;;;;;;;;
SYGEN;2019;010010171;010011559;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;446;;;446;759;;;;20;;;20;4634;;;4634;4;;4;0;;0;;;;;;;;;;;;;;;;;;;759;;;759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;1;;;;;;;;4;;;;4;1;1;;;;;;;;;1;;;2;;19;19;;8;3;51;1;;11;1;1;;;;;2;15;66;;2.64;;20.18;16.95;;6.85;2.83;49.45;1;;10.36;1;1;;;;;2.09;14.45;63.9;;;;;;;;;;;;;;;;;;;;;
SYGEN;2019;010780195;010000156;68;69;;137;4303;6116;0;10419;13233;17268;0;30501;;31;;31;0;9973;0;9973;3090;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;23027;0;;;;;;1;1802;;;;;;;;;;;1;3090;0;;0;1;0;0;0;;;;;;;;;;;2;;2;;62;2;6;12;34;5;;;;;96;;;;;;;;;2;;2;;;5;31;111;59;17;2;1;226;2;1;44;1;1;7;;1;;12;68;294;;4.75;32.92;113.27;50.45;14.66;1;0.5;217.55;2;1;29.37;0.6;0.6;6.22;;1.09;;8.3;48.58;266.13;;;;;;;;;;;;1;;1;;2;;;;9;14
SYGEN;2019;010780203;010010718;26;46;15;87;3993;1944;740;6677;12511;6338;3115;21964;2;26;;28;671;5251;0;5922;6;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;30499;0;;1;0;0;0;1;415;1;716;0;0;0;0;;;;;1;6;0;;0;0;0;0;0;0;0;3;;;;1;1;;;1;;5;;17;8;;4;26;6;;;;;43;1.88;;;;0.63;0.63;;;1.18;;3.69;;12;8;1;68;52;25;;1;167;1;1;44;;;4;;;;6;56;223;12.76;4.67;1.15;57.78;45.63;20.95;;0.79;143.73;1;0.59;33.77;;;4.2;;;;6.12;45.68;189.41;;;;;;;;;;;;;;;;;;;;6;8
SYGEN;2019;010780252;010783009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71;533;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;;;;;;;1;1;6;;;;;;;;;;;;;3.09;1.91;;;;;;;0.46;0.08;3.63;;;3;;18;15;27;2;15;80;7;;13;2;1;3;;;;24;49;129;;2.45;;11.99;12.14;21.25;0.61;9.12;57.56;2.54;;7.04;0.97;0.47;0.21;;;;9.66;20.42;77.98;;;;;;;;;;;;;;;;;;;;;
SYGEN;2019;010780278;010783009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;481;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;;;;;;;1;1;7;;;;;;;;;;;;;4.27;1;;;;;;;0.46;0.08;4.81;;;6;;19;23;33;5;23;109;7;;15;3;2;3;;;;24;52;161;;5.03;;21.51;29.56;28.15;3.51;16.87;104.63;3.5;;9.63;2.47;1.97;0.28;;;;9.65;25.53;130.16;;;;;;;;;;;;;;;;;;;;;
SYGEN;2019;010780294;690000278;;;;;0;0;0;0;0;0;0;0;;;;;0;0;0;0;9424;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;6769;;;0;;0;;;;;;;;;3;;;;;;;;1;;4;;;;;;;;;;;;;2.87;;;;;;;;0.89;0.16;3.92;;;1;;10;4;;;;15;;;1;;;;;;;;1;16;;0.8;;10.08;4;;;;14.88;0.16;0.16;2.01;;;;;;0.22;0.16;2.71;17.59;;;;;;;;;;;;;;;;;;;;;
SYGEN;2019;010780310;010000222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;349;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;2;;;;;;;;;;;;;1;;;;;;;;0.55;;1.55;;;1;;7;7;6;1;4;26;3;;21;1;1;1;;;;4;30;56;;1;;7.91;8.46;6;0.31;2.41;26.09;0.8;;4.93;0.4;0.4;0.21;;;;1.27;7.61;33.7;;;;;;;;;;;;;;;;;;;;;
SYGEN;2019;010780328;010000222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;395;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;;3;;;;;;;;;;;;;1.63;;;;;;;;0.51;;2.14;;;1;;10;8;12;1;5;37;4;;22;1;1;1;;;;5;33;70;;1;;9.72;10.33;9.9;0.36;3.29;34.6;0.99;;6.07;0.45;0.45;0.31;;;;1.57;9.39;43.99;;;;;;;;;;;;;;;;;;;;;
SYGEN;2019;010780476;750005068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;115;840;275;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;3;;2;;7;;;;;;;;;;;;;1.93;;;;;;2.1;;0.6;;4.63;;;4;;16;25;6;5;6;62;1;;18;27;2;1;;;;25;72;134;;3.56;;13.49;19.43;4.86;3.59;4.64;49.57;1;;13.42;20.51;0.93;0.5;;;;23.97;59.4;108.97;;;;;;;;;;;;;;;;;;;;;
SYGEN;2019;010780492;360000707;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67;1760;9368;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;1;;11;;;;;;;;;;;;;6.37;;;;;;;;0.57;;6.94;;;2;5;25;67;;6;51;156;3;;7;26;3;1;;1;;36;74;230;;2;3.29;11.55;42.19;;2.41;31.72;93.16;3;;4.78;18;0.67;0.3;;0.05;;16.1;42.23;135.39;;;;;;;;;;;;;;;;;;;;;
