BOR;AN;FI;FI_EJ;AUTOR;LACTA;LIT_OBS;LIT_NEO_HSI;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO_HSI;SEJ0_NEO_HSI;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;SEJ_BAM;SEJ0_BAM;JOU_OBS;JOU_NEO_HSI;JOU_SIN;JOU_REA;JOU_BAM;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCMU;ENFTR;TRANSDES;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;CONV;IMG;AMP;PAT_AMP
PERINAT;2019;030000087;030780118;TYPE2;;18;6;;;3;1369;103;132;12;0;0;0;0;985;2;4893;1151;0;0;3561;1077;4440;193;985;1;1069;8;7;;1091;20604;4082;629;13;0;1;161;189;68;17;;14;0;0
PERINAT;2019;030781116;030000426;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;4;5;0;1;;5;0;0
PERINAT;2019;040000093;040780215;TYPE1;;18;;;;2;912;68;0;0;0;0;0;0;620;6;3420;0;0;0;2362;617;2756;124;720;0;614;3;6;0;623;4411;5076;630;27;0;1;183;244;141;0;;0;0;0
PERINAT;2019;040000135;050002948;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;822;0;0;0;0;0;0;0;0;;0;0;0
PERINAT;2019;040000911;040788879;TYPE1;;10;;;;2;687;201;0;0;0;0;0;0;290;1;1804;0;0;0;1081;332;1430;66;399;0;330;2;2;;336;;;;19;0;1;142;112;98;0;;1;0;0
PERINAT;2019;050000231;050000116;TYPE1;;9;;;;2;456;49;0;0;0;0;0;0;326;1;1628;0;0;0;1271;336;1502;70;399;0;332;4;3;0;342;3419;2396;0;9;0;1;109;114;95;1;;1;0;0
PERINAT;2019;050000256;050000124;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;146;1197;4;0;0;1;0;4;0;0;;0;0;0
PERINAT;2019;050000348;050002948;TYPE2;;18;4;0;0;4;1359;95;200;12;0;0;0;0;855;2;4928;1107;0;0;2904;992;4218;204;1141;1;982;10;10;0;1004;5839;3881;25;45;0;1;116;160;29;17;10;1;0;0
PERINAT;2019;060000478;060780897;TYPE2;;32;9;3;;6;2180;141;238;14;126;14;0;0;1685;0;9048;1728;752;0;6385;1817;8130;264;1607;16;1781;36;4;;1864;;;;83;0;1;327;285;235;11;;21;0;0
PERINAT;2019;060000510;060780954;TYPE2;;16;6;;;3;1141;101;209;17;0;0;0;0;733;2;3993;1678;0;0;2328;846;3501;169;999;4;837;9;3;1;857;8769;4366;367;80;0;1;428;421;336;16;4;14;0;0
PERINAT;2019;060000544;060780988;TYPE2;;24;6;;;4;1832;122;162;20;0;0;0;0;1362;2;7227;1265;0;0;5094;1493;6643;289;1573;0;1475;18;9;0;1524;10429;2968;143;17;0;1;396;450;247;51;15;18;0;0
PERINAT;2019;060002102;060791761;CPPR;;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;2189;1461;5;0;0;1;163;198;128;2;;1;0;0
PERINAT;2019;060021417;060000221;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;34;54;0;0;;0;0;0
PERINAT;2019;060780517;060000239;TYPE1;;21;;;;5;1061;101;0;0;0;0;0;0;855;5;3614;0;0;0;3001;861;3458;182;900;0;858;3;5;;864;;;;55;0;1;223;238;131;1;;6;0;0
PERINAT;2019;060780590;060000270;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;20;34;0;2;;0;0;0
PERINAT;2019;060780715;060000361;TYPE1;;30;;;;6;1820;164;0;0;0;0;0;0;1450;16;6615;0;0;0;5133;1459;6094;359;1895;0;1447;12;18;0;1471;;;;67;0;0;0;0;0;0;;15;1;673
PERINAT;2019;060780756;060000403;TYPE2;;52;6;;;5;2619;271;385;10;0;0;0;0;1735;11;10124;1644;0;0;5986;2098;9296;702;3849;1;2075;23;16;;2127;;;;102;0;1;108;130;0;4;;11;0;0
PERINAT;2019;060781200;060000635;;;0;;;;;84;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;191;197;70;7;;5;0;0
PERINAT;2019;060789195;060785011;TYPE3;;59;20;9;8;9;4165;194;449;15;264;8;353;13;2964;1;19660;6583;2657;3238;10789;3360;16985;639;4965;72;3258;102;2;2;3511;3712;19406;924;181;0;1;911;838;316;144;35;65;1;367
PERINAT;2019;070000013;070002878;;;0;;;;2;133;16;0;0;0;0;0;0;89;0;428;0;0;0;345;89;373;22;120;0;88;1;1;0;;1831;2385;119;5;0;1;47;108;43;3;1;0;0;0
PERINAT;2019;070000096;070780184;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;125;1623;16;;;0;;;;;;;0;
PERINAT;2019;070000179;070780358;TYPE2;;19;6;;;3;954;85;600;77;0;0;0;0;595;2;3404;2326;0;0;2148;683;3022;161;945;0;675;8;5;;691;3751;6033;;31;0;1;138;144;96;0;;1;0;0
PERINAT;2019;070000195;070780374;CPPR;;0;;;;0;0;0;0;0;0;0;0;0;352;0;0;0;0;0;1389;0;0;0;0;0;0;0;0;;0;391;2273;50;0;0;0;0;0;0;0;0;0;0;0
PERINAT;2019;070000609;070005566;TYPE2;;16;4;;;3;880;80;77;9;0;0;0;0;618;0;3162;451;0;0;2132;679;2889;157;893;1;675;4;5;;685;;;;17;0;1;265;253;190;10;;32;0;0
PERINAT;2019;070780424;070000245;TYPE1;;27;;;;4;1208;125;0;0;0;0;0;0;898;26;4397;0;0;0;3300;892;3797;199;1192;2;885;7;24;;899;;;;15;7;0;0;0;0;0;0;0;1;401
PERINAT;2019;080000110;080000037;TYPE2;;15;4;;;2;953;88;155;4;0;0;0;0;509;1;3246;846;0;0;1812;625;2740;150;834;0;622;3;0;;629;4294;2397;55;16;0;1;127;106;105;7;;2;0;0
PERINAT;2019;080000219;080001969;CPPR;;0;;;;;41;40;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;1084;3503;93;0;0;1;30;38;0;2;;0;0;0
PERINAT;2019;080000276;080001969;CPPR;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;340;358;8;0;0;0;0;0;0;0;;0;0;0
PERINAT;2019;080000425;080000615;TYPE2;;26;6;6;;6;2055;165;280;9;133;14;0;0;1264;6;8098;1788;1159;0;4431;1447;6818;274;1652;1;1435;12;5;;1477;22348;2115;395;21;0;1;207;188;157;20;;4;1;80
PERINAT;2019;090000175;090781774;TYPE2;;23;4;;;2;1321;115;228;50;0;0;0;0;838;3;5521;1320;0;0;3103;994;4892;212;1327;4;980;14;7;;1023;893;4257;7;46;0;1;371;339;268;22;;9;0;0
PERINAT;2019;090000183;090781816;TYPE1;;4;;;;2;242;28;0;0;0;0;0;0;179;2;776;0;0;0;630;178;703;34;187;0;178;0;1;;179;5303;329;114;16;0;1;104;93;88;2;;0;0;0
PERINAT;2019;090001629;090781774;CPPR;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;544;16;;;0;;;;;;;0;
PERINAT;2019;100000090;100000017;TYPE3;;45;6;3;6;5;2981;186;828;8;194;3;162;6;1517;2;11649;3711;1796;2341;4902;2142;9549;479;2944;23;2096;46;2;;2228;2633;10520;;88;0;1;655;709;459;45;4;1;0;0
PERINAT;2019;100000199;100006279;TYPE1;;18;;;;3;717;102;0;0;0;0;0;0;401;10;2429;0;0;0;1475;399;1831;92;492;0;398;1;9;;401;;;;7;0;1;100;80;58;4;;0;0;0
PERINAT;2019;100010818;100010792;TYPE1;INT;15;;;;2;605;74;0;0;0;0;0;0;393;9;2018;0;0;0;1462;386;1697;110;609;0;383;3;9;;396;;;;5;0;1;77;37;50;;;0;0;0
PERINAT;2019;110000023;110780061;TYPE2;;30;6;;;5;2039;160;321;15;0;0;0;0;1285;7;8150;2409;0;0;4394;1537;7186;249;1562;2;1515;22;8;0;1568;16281;6482;236;68;0;1;495;562;352;30;8;16;0;0
PERINAT;2019;110000049;110780087;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;552;46;23;0;0;1;35;;35;0;;0;0;0
PERINAT;2019;110000056;110780137;TYPE1;;24;;;;4;1163;137;0;0;0;0;0;0;797;11;4099;0;0;0;3034;800;3610;172;1053;0;796;4;10;;814;3493;;;25;0;1;388;415;333;20;;0;0;0
PERINAT;2019;110780228;110000114;TYPE1;;0;;;;3;755;96;0;0;0;0;0;0;398;5;2279;0;0;0;1408;406;1707;108;548;0;398;8;5;;414;;;;27;0;1;132;182;99;2;;13;0;0
PERINAT;2019;110780483;110000155;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;39;39;31;1;;0;0;0
PERINAT;2019;120000039;120780044;TYPE2;;24;10;2;0;3;1591;92;281;12;106;8;0;0;1029;0;6360;2014;353;0;3524;1212;5401;225;1412;15;1197;15;3;;1219;8894;4951;124;16;0;1;324;301;255;6;;31;0;0
PERINAT;2019;120000054;120780069;TYPE1;;12;;;;3;746;101;0;0;0;0;0;0;518;13;2674;0;0;0;2060;510;2355;108;639;0;508;2;12;22;518;6190;2684;43;15;1;1;134;126;94;1;1;0;0;0
PERINAT;2019;120000070;120780085;CPPR;;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1054;1203;15;0;0;1;33;84;31;0;;0;0;0
PERINAT;2019;120004569;120004528;TYPE1;;12;;;;2;441;59;0;0;0;0;0;0;306;3;1523;0;0;0;1108;302;1267;73;406;0;299;3;3;;307;3540;2410;129;16;0;1;119;119;103;5;3;0;0;0
PERINAT;2019;120004668;120004619;TYPE1;;6;;;;2;290;49;0;0;0;0;0;0;194;5;959;0;0;0;741;191;838;38;223;0;191;0;3;0;194;1857;833;187;10;0;1;57;35;52;0;1;0;0;0
PERINAT;2019;130000409;130041916;TYPE2;;35;6;6;;6;2304;224;367;13;182;6;0;0;1338;2;9706;2684;2122;0;5012;1563;7780;366;2397;28;1527;36;4;0;1612;12476;10799;;43;0;1;900;898;516;53;14;22;1;393
PERINAT;2019;130000565;130781446;TYPE1;;19;0;0;0;3;1540;89;0;0;0;0;0;0;1126;2;6221;0;0;0;4384;1173;5426;280;1540;0;1161;12;12;;1187;7955;3604;;21;0;1;390;377;284;20;;13;0;0
PERINAT;2019;130001225;130782634;TYPE2;;22;6;0;0;3;1641;105;245;16;0;0;0;0;1029;0;6866;1265;0;0;3676;1183;5718;237;1542;2;1175;8;11;163;1199;;;;18;0;1;389;341;253;27;15;18;0;0
PERINAT;2019;130002215;130785512;TYPE1;;20;;;;3;1224;92;0;0;0;0;0;0;994;3;4348;0;0;0;3595;988;4043;202;1035;0;978;10;1;;999;;;;91;0;1;529;541;437;25;;15;0;0
PERINAT;2019;130002827;130789274;TYPE1;;20;;;;3;1011;68;0;0;0;0;0;0;801;9;4010;0;0;0;3313;795;3742;143;858;1;790;5;8;;802;618;2919;409;6;0;1;134;203;121;0;5;1;0;0
PERINAT;2019;130002835;130789316;TYPE2;;37;7;3;0;5;2579;185;312;14;134;2;0;0;1709;1;9486;1395;1003;0;6106;1891;8206;499;2917;2;1861;30;1;;1937;17205;11136;374;34;0;1;748;720;421;23;3;0;0;0
PERINAT;2019;130008253;130001084;TYPE1;;45;;;;5;1450;120;0;0;0;0;0;0;804;3;5098;0;0;0;2887;1072;4448;189;1075;2;1067;5;2;;1077;;;;32;0;1;240;249;235;9;;17;0;0
PERINAT;2019;130780521;130786049;TYPE3;;50;9;16;12;5;3577;185;474;30;385;14;443;28;2053;35;16862;3310;5295;3885;6672;2573;13078;641;4907;4;2462;111;32;;2707;;;;241;0;1;653;596;325;94;;56;0;0
PERINAT;2019;130781289;130002447;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;3;12;0;1;;0;0;0
PERINAT;2019;130781370;130000532;;;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;22;14;19;1;;0;0;0
PERINAT;2019;130781479;130000599;;;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;12;11;0;0;1;0;0;0
PERINAT;2019;130783236;130786049;TYPE3;;62;24;15;15;5;3995;188;725;29;316;14;715;228;1979;5;20384;6973;4399;5830;7343;2765;15156;763;5855;0;2701;64;34;;2878;;;;125;2;1;2503;2323;1308;253;;28;1;532
PERINAT;2019;130783327;130001415;TYPE2;;40;6;;;5;2370;235;678;22;0;0;0;0;1172;0;9733;2383;0;0;4286;1827;8759;459;2711;11;1805;22;20;;1849;;;;33;0;1;126;154;96;4;;0;1;964
PERINAT;2019;130783665;130043722;;;;;;;;12;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;689;;;0;0;1;206;201;187;4;;0;0;0
PERINAT;2019;130784713;130038847;TYPE2;;37;12;;;8;3756;1234;1050;21;0;0;0;0;1250;1;10588;3491;0;0;4244;2219;9827;518;2880;16;2199;20;13;;2239;;;;13;0;1;134;123;112;0;;14;0;0
PERINAT;2019;130785652;130014228;TYPE2;;80;12;6;;10;5827;227;1447;36;670;43;0;0;3529;11;21210;5013;4400;0;10903;4818;18528;844;4107;21;4714;104;16;;4936;6393;22309;0;350;0;0;0;0;0;0;;95;1;650
PERINAT;2019;130786361;130002447;;;;;;;;34;27;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;8;0;0;0;;0;0;0
PERINAT;2019;130786445;130002488;TYPE2;;62;12;;;7;3395;196;587;14;0;0;0;0;2309;0;16389;3041;0;0;9329;2770;14265;575;3993;4;2731;39;12;;2871;;5260;354;24;0;0;0;0;0;0;;1;0;0
PERINAT;2019;140000027;140000035;TYPE2;;32;9;3;;4;1843;106;539;17;114;26;0;0;1137;0;7968;2975;292;0;4144;1453;7168;305;1982;8;1436;17;9;;1482;3544;9796;;37;0;1;297;292;169;23;;9;0;0
PERINAT;2019;140000076;140000092;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1219;1781;80;;;0;;0;;;;;0;
PERINAT;2019;140000209;140000100;TYPE3;INT;72;15;10;14;7;4127;405;683;12;250;12;358;17;2586;1;20161;4935;1986;4436;9768;2947;16659;638;5865;9;2875;72;3;2;3140;14532;14939;226;117;0;1;896;872;501;87;20;27;1;402
PERINAT;2019;140000233;140000118;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1384;3420;58;0;0;1;36;29;36;0;15;0;0;0
PERINAT;2019;140000373;140000159;CPPR;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;0;445;1831;85;;;1;17;;17;0;0;0;0;
PERINAT;2019;140016759;140003146;TYPE2;;44;6;;;5;2154;195;285;19;0;0;0;0;1482;2;8780;1341;0;0;5701;1774;8209;389;2206;0;1761;13;14;30;1786;;;;12;0;1;23;27;0;0;;26;0;0
PERINAT;2019;140024886;140000092;TYPE1;;16;;;;3;749;137;0;0;0;0;0;0;491;8;2453;0;0;0;1895;487;2184;92;491;1;486;1;8;0;492;4602;2592;196;4;0;1;85;130;55;1;3;0;0;0
PERINAT;2019;140026410;140026279;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1045;1929;1160;0;0;1;70;61;70;;;0;0;0
PERINAT;2019;140026709;140000415;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;43;39;37;0;;0;0;0
PERINAT;2019;150000032;150780088;TYPE1;;15;;;;2;359;48;0;0;0;0;0;0;245;5;1226;0;0;0;970;245;1095;48;261;1;245;0;5;0;246;1361;1995;117;3;0;1;54;83;46;0;0;0;0;0
PERINAT;2019;150000040;150780096;TYPE2;;22;6;;;2;1009;90;257;51;0;0;0;0;619;1;4127;1295;0;0;2486;766;3757;172;1054;1;755;11;9;;781;10348;7938;;4;0;1;212;209;144;8;1;6;0;0
PERINAT;2019;150000164;150780468;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;162;2776;29;0;0;0;0;0;0;0;;0;0;0
PERINAT;2019;150780732;150000271;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;9;5;6;0;;0;0;0
PERINAT;2019;160000253;160000451;TYPE2;;25;7;6;;5;1850;145;718;19;121;13;0;0;795;0;6856;2946;821;0;2682;1363;5852;197;1086;7;1335;28;5;0;1402;7905;8873;264;34;0;1;465;462;305;23;1;1;0;0
PERINAT;2019;160000303;160006037;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;484;1812;29;;;0;;0;;;;;0;
PERINAT;2019;160013207;160001632;TYPE1;;24;;;;6;1349;173;0;0;0;0;0;0;986;11;4407;0;0;0;3466;981;3914;192;943;0;976;5;9;;989;;;;30;0;1;61;96;12;4;;1;0;0
PERINAT;2019;160015368;160014411;TYPE1;;15;;;;3;777;76;0;0;0;0;0;0;626;11;2840;0;0;0;2367;626;2704;92;494;0;626;0;10;0;629;7032;8017;;15;0;1;171;164;93;9;2;2;0;0
PERINAT;2019;170000038;170780050;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;2752;1510;54;0;0;1;52;17;36;1;;1;0;0
PERINAT;2019;170000087;170024194;TYPE2;;30;8;4;;5;2654;202;312;12;157;19;0;0;1959;0;10226;2113;798;0;7110;2142;9508;484;2593;1;2100;42;10;;2192;10290;11888;85;19;0;1;699;680;514;51;4;13;0;0
PERINAT;2019;170000095;170780167;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;49;60;35;0;0;0;0;0
PERINAT;2019;170000103;170780175;TYPE2;;24;11;3;0;4;1871;138;364;20;145;17;0;0;1201;0;6913;2749;630;0;4052;1487;6349;308;1616;2;1462;25;3;;1523;10235;11712;530;121;0;1;304;323;223;14;;19;0;0
PERINAT;2019;170000152;170780225;TYPE2;;18;6;;;3;1420;129;247;10;0;0;0;0;896;1;5293;1215;0;0;3299;1074;4835;181;1070;0;1060;14;4;;1092;5231;4865;141;12;0;1;265;266;195;10;;25;0;0
PERINAT;2019;170780613;170024053;;;;;;;;12;11;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;12;11;4;0;;0;1;432
PERINAT;2019;170780621;170000285;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;53;46;0;1;;1;0;0
PERINAT;2019;180000010;180000028;TYPE2;;26;9;3;;4;1592;160;278;30;141;29;0;0;1005;0;6191;1817;483;0;3845;1200;5287;205;1112;16;1172;28;23;0;1242;9002;3938;;26;0;1;471;492;356;35;;36;0;0
PERINAT;2019;180000200;180000051;TYPE1;;15;0;0;0;3;643;77;0;0;0;0;0;0;433;8;2328;0;0;0;1706;427;1909;97;536;0;424;3;8;;435;;;;11;0;1;138;152;104;4;;6;0;0
PERINAT;2019;180000283;180000069;TYPE1;;15;;;;2;475;64;0;0;0;0;0;0;299;7;1917;0;0;0;1485;297;1591;71;477;0;294;3;7;;301;1380;1346;;3;0;1;87;85;67;6;;3;0;0
PERINAT;2019;180004145;180000887;TYPE1;;11;;;;3;618;42;0;0;0;0;0;0;544;5;2393;0;0;0;2095;547;2349;123;627;0;547;0;5;;547;;;;3;0;1;23;46;18;0;;0;0;0
PERINAT;2019;190000018;190000042;TYPE2;;28;6;;;5;1717;128;114;14;0;0;0;0;1233;0;6832;1075;0;0;4978;1307;6209;294;1695;0;1286;21;12;0;1330;9967;13274;108;7;0;1;420;437;317;4;;1;0;0
PERINAT;2019;190000026;190000059;TYPE2;;15;4;;;4;893;80;96;9;0;0;0;0;648;25;3251;710;0;0;2264;654;2882;110;622;2;643;11;26;;665;1689;890;323;36;0;1;120;132;66;3;;1;0;0
PERINAT;2019;190000091;190000075;TYPE1;;6;;;;2;252;33;0;0;0;0;0;0;165;3;874;0;0;0;696;160;751;29;159;0;159;1;3;;165;3449;2357;84;0;0;1;78;83;63;1;;9;0;0
PERINAT;2019;190000257;190001131;;;;;;;;79;69;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;0;1;;;;;;6;0;0
PERINAT;2019;210012670;210011367;TYPE2;;23;8;4;;5;1684;67;213;4;168;2;0;0;1188;0;6149;1492;402;0;3810;1404;5603;285;1423;0;1390;14;5;;1418;;;;41;0;0;0;0;0;0;;0;0;0
PERINAT;2019;210987558;210780581;TYPE3;EXT;70;16;15;12;8;4836;567;704;56;277;7;336;16;2475;6;19591;3777;5829;3918;8353;3175;15643;560;4023;5;3070;105;2;;3322;17436;14137;89;144;0;1;799;816;61;105;;81;1;708
PERINAT;2019;210987657;210012175;TYPE2;;24;6;;;2;789;70;37;4;0;0;0;0;557;0;3009;300;0;0;2212;623;2833;107;600;0;617;6;3;;629;5076;1981;67;9;0;1;53;16;14;3;;1;0;0
PERINAT;2019;210987665;210012142;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;451;1554;1390;0;0;1;23;19;23;0;;0;0;0
PERINAT;2019;210987699;210780706;TYPE1;;14;;;;2;626;71;0;0;0;0;0;0;412;4;2186;0;0;0;1607;411;1866;49;291;0;411;0;4;0;416;2971;3964;66;4;0;1;76;56;40;1;0;2;0;0
PERINAT;2019;220000012;220000020;TYPE3;;34;13;6;6;5;3017;757;438;12;95;6;247;14;1562;5;9420;4590;714;2241;5667;1806;8016;372;2271;20;1760;46;6;2;1876;11362;12299;2095;91;0;1;568;593;437;28;2;41;0;0
PERINAT;2019;220000095;220000046;TYPE2;;13;4;;;3;669;44;288;8;0;0;0;0;322;0;2518;1219;0;0;1180;462;2142;89;519;0;454;8;5;;471;4332;4675;;9;0;1;149;154;108;6;;3;0;0
PERINAT;2019;220000343;220000079;TYPE1;;10;0;0;0;2;600;55;0;0;0;0;0;0;489;22;2191;0;0;0;1777;483;2072;111;557;0;480;3;21;;490;;;;8;0;1;199;176;166;4;;4;0;0
PERINAT;2019;220000368;220000103;TYPE1;;13;;;;2;743;61;0;0;0;0;0;0;552;14;2697;0;0;0;2124;551;2383;110;596;0;549;2;12;;554;3574;4144;;13;0;1;192;175;150;4;;3;0;0
PERINAT;2019;220000483;560014748;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;
PERINAT;2019;220000541;220000152;CPPR;;;;;;;0;0;0;0;0;0;0;0;26;0;0;0;0;0;96;0;0;0;0;0;0;0;0;;0;353;1431;85;0;0;1;43;32;43;0;;0;0;0
PERINAT;2019;220022800;220000673;TYPE2;;26;6;0;0;5;1236;66;295;9;0;0;0;0;739;1;5174;1349;0;0;2995;998;4704;267;1448;1;986;12;8;;1015;;;;5;4;1;75;43;51;1;;2;0;0
