BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP
SSR_P;2019;010780278;010783009;N2460;6;1;7.23
SSR_P;2019;010780278;010783009;N2500;21;5;31.98
SSR_P;2019;010780278;010783009;N2710;2;3;3.62
SSR_P;2019;010780278;010783009;N310H;;1;0.58
SSR_P;2019;010780278;010783009;N3120;2;;2
SSR_P;2019;010780278;010783009;NAUT;76;16;66.27
SSR_P;2019;010780278;010783009;NCINF;18;1;20.5
SSR_P;2019;010780310;010000222;M1150;1;;1
SSR_P;2019;010780310;010000222;N241P;;;0.5
SSR_P;2019;010780310;010000222;N2450;;1;0.21
SSR_P;2019;010780310;010000222;N2500;6;1;8.46
SSR_P;2019;010780310;010000222;N2710;;1;0.3
SSR_P;2019;010780310;010000222;N310H;1;1;1.6
SSR_P;2019;010780310;010000222;N3120;;1;0.4
SSR_P;2019;010780310;010000222;NCINF;7;1;7.84
SSR_P;2019;010780328;010000222;M1150;1;;1
SSR_P;2019;010780328;010000222;M1180;1;;0.63
SSR_P;2019;010780328;010000222;N241P;1;;0.4
SSR_P;2019;010780328;010000222;N2450;;1;0.4
SSR_P;2019;010780328;010000222;N2500;8;;10.33
SSR_P;2019;010780328;010000222;N2710;;1;0.36
SSR_P;2019;010780328;010000222;N310H;2;;2
SSR_P;2019;010780328;010000222;N3120;;1;0.4
SSR_P;2019;010780328;010000222;NCINF;11;;10.72
SSR_P;2019;010780476;750005068;M1140;2;;1.93
SSR_P;2019;010780476;750005068;M3020;3;;2.1
SSR_P;2019;010780476;750005068;MAUT;;2;0.6
SSR_P;2019;010780476;750005068;N241P;1;;1
SSR_P;2019;010780476;750005068;N2450;2;0;2.06
SSR_P;2019;010780476;750005068;N2470;0;3;1.58
SSR_P;2019;010780476;750005068;N2500;17;8;19.43
SSR_P;2019;010780476;750005068;N2710;1;4;3.59
SSR_P;2019;010780476;750005068;N310H;12;8;17.01
SSR_P;2019;010780476;750005068;N3120;2;;0.93
SSR_P;2019;010780476;750005068;NAUT;8;3;7.43
SSR_P;2019;010780476;750005068;NCINF;15;5;17.05
SSR_P;2019;010780492;360000707;M1140;;2;0.78
SSR_P;2019;010780492;360000707;M1180;5;2;5.57
SSR_P;2019;010780492;360000707;M3020;;1;0.2
SSR_P;2019;010780492;360000707;MAUT;;2;0.73
SSR_P;2019;010780492;360000707;N241P;9;16;15.8
SSR_P;2019;010780492;360000707;N2430;1;5;2.96
SSR_P;2019;010780492;360000707;N2460;4;6;6.93
SSR_P;2019;010780492;360000707;N2470;2;1;2.08
SSR_P;2019;010780492;360000707;N2500;15;19;21.08
SSR_P;2019;010780492;360000707;N2710;0;6;3.08
SSR_P;2019;010780492;360000707;N310H;8;6;13.41
SSR_P;2019;010780492;360000707;N3120;0;3;0.43
SSR_P;2019;010780492;360000707;NAUT;43;81;63.78
SSR_P;2019;010780492;360000707;NCINF;4;29;16.77
SSR_P;2019;010780708;310021381;M1010;1;3;3
SSR_P;2019;010780708;310021381;MAUT;;1;0.8
SSR_P;2019;010780708;310021381;N241P;1;5;3.5
SSR_P;2019;010780708;310021381;N2450;;1;0.6
SSR_P;2019;010780708;310021381;N2460;;1;0.5
SSR_P;2019;010780708;310021381;N2500;12;3;14.3
SSR_P;2019;010780708;310021381;N2710;;1;0.3
SSR_P;2019;010780708;310021381;N3120;;1;0.5
SSR_P;2019;010780708;310021381;NAUT;17;16;25.7
SSR_P;2019;010780708;310021381;NCINF;6;10;12.5
SSR_P;2019;010780799;750721334;M1010;1;;1
SSR_P;2019;010780799;750721334;N241P;1;;1
SSR_P;2019;010780799;750721334;N2450;;1;0.2
SSR_P;2019;010780799;750721334;N2460;;1;0.85
SSR_P;2019;010780799;750721334;N2500;18;;16.14
SSR_P;2019;010780799;750721334;N2710;;1;0.18
SSR_P;2019;010780799;750721334;N3120;;1;0.5
SSR_P;2019;010780799;750721334;NAUT;17;4;9.46
SSR_P;2019;010780799;750721334;NCINF;6;2;8.53
SSR_P;2019;020000089;020000022;M1010;0;1;0.9
SSR_P;2019;020000089;020000022;M1320;0;1;0.6
SSR_P;2019;020000089;020000022;N241P;0;1;0.35
SSR_P;2019;020000089;020000022;N2460;0;1;0.85
SSR_P;2019;020000089;020000022;N2500;19;8;24.73
SSR_P;2019;020000089;020000022;N2710;0;2;0.3
SSR_P;2019;020000089;020000022;N3120;0;1;0.35
SSR_P;2019;020000089;020000022;NAUT;10;2;10.66
SSR_P;2019;020000089;020000022;NCINF;8;6;11.61
SSR_P;2019;020000097;020000048;M1010;1;1;0.5
SSR_P;2019;020000097;020000048;M1180;1;1;1
SSR_P;2019;020000097;020000048;N2460;1;1;0.5
SSR_P;2019;020000097;020000048;N2500;13;;13
SSR_P;2019;020000097;020000048;N310H;2;;2
SSR_P;2019;020000097;020000048;N3120;1;1;1
SSR_P;2019;020000097;020000048;NCINF;5;1;4.8
SSR_P;2019;020000105;020000055;M1010;1;2;1.03
SSR_P;2019;020000105;020000055;N2450;1;;0.25
SSR_P;2019;020000105;020000055;N2460;2;;0.36
SSR_P;2019;020000105;020000055;N2500;11;1;4.36
SSR_P;2019;020000105;020000055;N2710;1;;0.2
SSR_P;2019;020000105;020000055;N3120;1;;0.3
SSR_P;2019;020000105;020000055;NAUT;3;3;4.12
SSR_P;2019;020000105;020000055;NCINF;7;;3.38
SSR_P;2019;020000162;020000063;M1180;1;1;1.4
SSR_P;2019;020000162;020000063;M1320;0;2;1.2
SSR_P;2019;020000162;020000063;N241P;2;3;5.44
SSR_P;2019;020000162;020000063;N2430;1;0;1
SSR_P;2019;020000162;020000063;N2460;2;1;2.8
SSR_P;2019;020000162;020000063;N2470;3;0;3.17
SSR_P;2019;020000162;020000063;N2500;22;9;30.01
SSR_P;2019;020000162;020000063;N2710;2;1;2.5
SSR_P;2019;020000162;020000063;NAUT;12;2;12.83
SSR_P;2019;020000162;020000063;NCINF;23;8;27.46
SSR_P;2019;020000246;020000071;M1180;0;3;0.98
SSR_P;2019;020000246;020000071;N241P;0;2;0.22
SSR_P;2019;020000246;020000071;N2450;0;1;0.5
SSR_P;2019;020000246;020000071;N2500;11;5;13.4
SSR_P;2019;020000246;020000071;N2710;0;1;0.13
SSR_P;2019;020000246;020000071;NAUT;4;3;5.6
SSR_P;2019;020000246;020000071;NCINF;8;3;8.46
SSR_P;2019;020000303;750814030;M1010;2;3;3.7
SSR_P;2019;020000303;750814030;M1070;1;1;1.69
SSR_P;2019;020000303;750814030;M1150;2;;2
SSR_P;2019;020000303;750814030;M1180;2;3;3.78
SSR_P;2019;020000303;750814030;M1190;;2;1.13
SSR_P;2019;020000303;750814030;M1320;3;;3
SSR_P;2019;020000303;750814030;M3020;;1;0.13
SSR_P;2019;020000303;750814030;MAUT;1;3;1.19
SSR_P;2019;020000303;750814030;N241P;22;1;27.56
