BOR;AN;FI;FI_EJ;PERSO;SMUR_EFFPL;SMUR_EFFPA;SMUR_ETP;SMUR_COMSU;SAMU_EFFPL;SAMU_EFFPA;SAMU_ETP
SMURSAMU_P;2019;120004569;120004528;M9999;3;2;2.5;1;;;
SMURSAMU_P;2019;120004569;120004528;N2223;10;4;6.74;;;;
SMURSAMU_P;2019;120004569;120004528;N9999;10;4;6.74;;;;
SMURSAMU_P;2019;120004668;120004619;M9999;;7;2.45;1;;;
SMURSAMU_P;2019;120004668;120004619;N2120;;1;0.25;1;;;
SMURSAMU_P;2019;120004668;120004619;N2223;4;4;5.14;1;;;
SMURSAMU_P;2019;120004668;120004619;N9999;4;5;5.39;;;;
SMURSAMU_P;2019;130000409;130041916;M9999;0;18;5.41;1;;;
SMURSAMU_P;2019;130000409;130041916;N1220;;3;0.75;1;;;
SMURSAMU_P;2019;130000409;130041916;N2223;5;5;8.19;;;;
SMURSAMU_P;2019;130000409;130041916;N2500;;6;2.21;;;;
SMURSAMU_P;2019;130000409;130041916;N9999;5;14;11.16;1;;;
SMURSAMU_P;2019;130000565;130781446;M9999;5;1;5.5;1;;;
SMURSAMU_P;2019;130000565;130781446;N2120;0;1;0.1;1;;;
SMURSAMU_P;2019;130000565;130781446;N2223;6;2;7.61;1;;;
SMURSAMU_P;2019;130000565;130781446;N5140;6;;6;0;;;
SMURSAMU_P;2019;130000565;130781446;N9999;12;3;13.71;;;;
SMURSAMU_P;2019;130001225;130782634;M9999;;8;0.64;1;;;
SMURSAMU_P;2019;130001225;130782634;MREG;;8;0.64;1;;;
SMURSAMU_P;2019;130001225;130782634;N2120;;1;0.4;1;;;
SMURSAMU_P;2019;130001225;130782634;N9999;;1;0.4;1;;;
SMURSAMU_P;2019;130002827;130789274;M9999;0;5;2.94;;0;0;0
SMURSAMU_P;2019;130002827;130789274;N2120;0;0;0.13;;0;0;0
SMURSAMU_P;2019;130002827;130789274;N2223;2;2;2.92;;0;0;0
SMURSAMU_P;2019;130002827;130789274;N9999;2;2;3.06;;0;0;0
SMURSAMU_P;2019;130002835;130789316;M9999;;21;7.98;1;;;
SMURSAMU_P;2019;130002835;130789316;N1220;;9;1;1;;;
SMURSAMU_P;2019;130002835;130789316;N2120;;1;0.17;1;;;
SMURSAMU_P;2019;130002835;130789316;N2223;;37;8.93;1;;;
SMURSAMU_P;2019;130002835;130789316;N9999;;47;14.36;1;;;
SMURSAMU_P;2019;130044977;130786049;M9999;;19;19;;;;
SMURSAMU_P;2019;130044977;130786049;MREG;;19;19;;;;
SMURSAMU_P;2019;130044977;130786049;N2223;13;;13;;;;
SMURSAMU_P;2019;130044977;130786049;N9999;13;;13;;;;
SMURSAMU_P;2019;130044985;130786049;M9999;14;;14;;;;
SMURSAMU_P;2019;130044985;130786049;MREG;8;;8;;;;
SMURSAMU_P;2019;130044985;130786049;N5140;9;;9;;;;
SMURSAMU_P;2019;130044985;130786049;N9999;9;9;17.66;;;;
SMURSAMU_P;2019;130044993;130786049;M9999;15;;15;;;;
SMURSAMU_P;2019;130044993;130786049;MREG;8;;8;;;;
SMURSAMU_P;2019;130044993;130786049;N5140;9;;9;;;;
SMURSAMU_P;2019;130044993;130786049;N9999;9;9;17.66;;;;
SMURSAMU_P;2019;130045008;130786049;M9999;14;;14;;;;
SMURSAMU_P;2019;130045008;130786049;MREG;6;;6;;;;
SMURSAMU_P;2019;130045008;130786049;N5140;9;;9;;;;
SMURSAMU_P;2019;130045008;130786049;N9999;9;9;17.66;;;;
SMURSAMU_P;2019;130045016;130786049;M9999;;1;0.7;;;;
SMURSAMU_P;2019;130045016;130786049;MREG;;1;0.7;;;;
SMURSAMU_P;2019;130045016;130786049;N2223;13;;13;;;;
SMURSAMU_P;2019;130045016;130786049;N9999;13;;13;;;;
SMURSAMU_P;2019;130045040;130786049;M9999;2;2;3.8;;;;
SMURSAMU_P;2019;130045040;130786049;MREG;2;2;3.8;;;;
SMURSAMU_P;2019;130045040;130786049;N2223;4;;4;;;;
SMURSAMU_P;2019;130045040;130786049;N5140;5;;5;;;;
SMURSAMU_P;2019;130045040;130786049;N9999;9;;9;;;;
SMURSAMU_P;2019;130780521;130786049;M9999;3;4;5.3;;;;
SMURSAMU_P;2019;130780521;130786049;MREG;3;4;5.3;;;;
SMURSAMU_P;2019;130780521;130786049;N2223;6;1;6.8;;;;
SMURSAMU_P;2019;130780521;130786049;N5140;6;;6;;;;
SMURSAMU_P;2019;130780521;130786049;N9999;12;1;12.8;;;;
SMURSAMU_P;2019;130783293;130786049;M9999;15;29;15.59;;15;27;13.98
SMURSAMU_P;2019;130783293;130786049;N1220;1;;1;;54;4;56.17
SMURSAMU_P;2019;130783293;130786049;N2120;2;;1.25;;;1;0.5
SMURSAMU_P;2019;130783293;130786049;N2223;31;3;33.16;;;1;0.5
SMURSAMU_P;2019;130783293;130786049;N2500;;;;;1;;1
SMURSAMU_P;2019;130783293;130786049;N5140;34;;34.63;;1;;0.79
SMURSAMU_P;2019;130783293;130786049;N9999;70;3;71.04;;58;7;60.46
SMURSAMU_P;2019;130804297;130786049;M1140;;4;3.1;;;;
SMURSAMU_P;2019;130804297;130786049;M9999;;4;3.1;;;;
SMURSAMU_P;2019;130804297;130786049;N2223;8;;8;;;;
SMURSAMU_P;2019;130804297;130786049;N9999;10;;10;;;;
SMURSAMU_P;2019;140000027;140000035;M9999;;6;2.69;1;;;
SMURSAMU_P;2019;140000027;140000035;N1220;;;;1;;;
SMURSAMU_P;2019;140000027;140000035;N2120;;1;0.25;1;;;
SMURSAMU_P;2019;140000027;140000035;N2223;4;3;4;1;;;
SMURSAMU_P;2019;140000027;140000035;N2500;13;5;4;;;;
SMURSAMU_P;2019;140000027;140000035;N9999;17;9;8.25;1;;;
SMURSAMU_P;2019;140000209;140000100;M9999;11;5;9.63;1;5;2;3.8
SMURSAMU_P;2019;140000209;140000100;MREG;;;;0;5;2;3.8
SMURSAMU_P;2019;140000209;140000100;N1220;;2;0.25;0;17;5;19.87
SMURSAMU_P;2019;140000209;140000100;N2120;4;;1.21;0;;;
SMURSAMU_P;2019;140000209;140000100;N2223;13;6;14.44;0;;;
SMURSAMU_P;2019;140000209;140000100;N2500;;;;;2;;2
SMURSAMU_P;2019;140000209;140000100;N5140;18;;18.76;;;;
SMURSAMU_P;2019;140000209;140000100;N9999;35;8;34.66;0;19;5;21.87
SMURSAMU_P;2019;140000233;140000118;M9999;1;2;3.03;;;;
SMURSAMU_P;2019;140000233;140000118;N2223;;2;0.5;;;;
SMURSAMU_P;2019;140000233;140000118;N2500;;;0.09;;;;
SMURSAMU_P;2019;140000233;140000118;N9999;;5;2.77;;;;
SMURSAMU_P;2019;140000373;140000159;M9999;3;8;7.36;1;;;
SMURSAMU_P;2019;140000373;140000159;N2120;1;1;1.08;1;;;
SMURSAMU_P;2019;140000373;140000159;N2223;15;1;5.03;1;;;
SMURSAMU_P;2019;140000373;140000159;N5140;12;2;5.84;1;;;
SMURSAMU_P;2019;140000373;140000159;N9999;28;4;11.95;1;;;
SMURSAMU_P;2019;140024886;140000092;M9999;;14;3.94;1;;;
SMURSAMU_P;2019;140024886;140000092;N1220;;2;0.21;1;;;
SMURSAMU_P;2019;140024886;140000092;N2120;;1;0.1;1;;;
SMURSAMU_P;2019;140024886;140000092;N2223;;19;4.96;1;;;
SMURSAMU_P;2019;140024886;140000092;N9999;;35;8.7;1;;;
SMURSAMU_P;2019;140026410;140026279;M9999;3;;2.5;1;;;
SMURSAMU_P;2019;140026410;140026279;N1220;1;;0.5;1;;;
SMURSAMU_P;2019;140026410;140026279;N2223;2;;2.95;1;;;
SMURSAMU_P;2019;140026410;140026279;N2500;4;;3.04;;;;
SMURSAMU_P;2019;140026410;140026279;N5140;4;;3.15;1;;;
SMURSAMU_P;2019;140026410;140026279;N9999;11;;9.64;;;;
SMURSAMU_P;2019;150000032;150780088;M9999;2;2;3.18;1;;;
SMURSAMU_P;2019;150000032;150780088;N2223;12;;5.69;;;;
SMURSAMU_P;2019;150000032;150780088;N9999;12;;5.69;1;;;
SMURSAMU_P;2019;150000040;150780096;M9999;16;1;8.45;1;16;;5.89
SMURSAMU_P;2019;150000040;150780096;MREG;;;;;16;;5.89
SMURSAMU_P;2019;150000040;150780096;N1220;;;;;6;;6.59
SMURSAMU_P;2019;150000040;150780096;N2120;;3;0.25;;;2;0.05
SMURSAMU_P;2019;150000040;150780096;N2223;3;9;5.89;;;;
SMURSAMU_P;2019;150000040;150780096;N2500;1;;1;;;;
SMURSAMU_P;2019;150000040;150780096;N5140;5;;5;;2;;1.42
SMURSAMU_P;2019;150000040;150780096;N9999;9;12;12.15;;8;2;8.06
SMURSAMU_P;2019;150000164;150780468;M9999;;2;1;1;;;
SMURSAMU_P;2019;150000164;150780468;N2500;;6;0.6;;;;
SMURSAMU_P;2019;150000164;150780468;N9999;;6;0.6;;;;
SMURSAMU_P;2019;160000253;160000451;M9999;6;8;8;1;6;4;4
SMURSAMU_P;2019;160000253;160000451;N1220;1;;0.5;0;15;;14.3
SMURSAMU_P;2019;160000253;160000451;N2120;1;;0.5;0;1;;0.5
SMURSAMU_P;2019;160000253;160000451;N2223;12;;12;0;;;
SMURSAMU_P;2019;160000253;160000451;N5140;12;;12;0;;;
SMURSAMU_P;2019;160000253;160000451;N9999;26;;25;;16;;14.8
