FI;FI_EJ;AN;LIT_MED;LIT_CHI;LIT_OBS;LIT_MCO;SEJHC_MED;SEJHC_CHI;SEJHC_OBS;SEJHC_MCO;JOU_MED;JOU_CHI;JOU_OBS;JOU_MCO;PLA_MED;PLA_CHI;PLA_OBS;PLA_MCO;SEJHP_MED;SEJHP_CHI;SEJHP_OBS;SEJHP_MCO;SEANCES_MED;SPED;UGER;CAP_COMPLET_GEN;CAP_COMPLET_INF;CAP_COMPLET_PEN;CAP_COMPLET_TOT;SEJ_HTP_GEN;SEJ_HTP_INF;SEJ_HTP_PEN;SEJ_HTP_TOT;CAP_HDJ_GEN;CAP_HDJ_INF;CAP_HDJ_PEN;CAP_HDJ_TOT;VEN_HDJ_GEN;VEN_HDJ_INF;VEN_HDJ_PEN;VEN_HDJ_TOT;CAP_HDN_GEN;CAP_HDN_INF;CAP_HDN_TOT;VEN_HDN_GEN;VEN_HDN_INF;VEN_HDN_TOT;NB_CATTP_GEN;NB_CATTP_INF;NB_CATTP_PEN;NB_CATTP_TOT;ACT_CATTP_GEN;ACT_CATTP_INF;ACT_CATTP_PEN;ACT_CATTP_TOT;NB_CMP_GEN;NB_CMP_INF;NB_CMP_TOT;ACT_CMP_GEN;ACT_CMP_INF;ACT_CMP_TOT;FIL_AMB_GEN;FIL_AMB_INF;FIL_AMB_PEN;FIL_AMB_TOT;FIL_TOT_GEN;FIL_TOT_INF;FIL_TOT_PEN;FIL_TOT_TOT;LIT_SSR;SEJHC_SSR;JOUHP_SSR;PLA_SSR;LIT_USLD;ENT;PLATOT_HAD;SEJ_HAD;AUTGEN;PASSU_GEN;AUTPED;PASSU_PED;GEN;PED;ANT;SAMU;REA;SEJ_REANIM;TYPE1;SEJACC;TYPE2;SEJ_NEO;TYPE3;SEJ_REA;TRT_HEMO_CENTRE;SEAN_HEMO_CENTRE;TRT_INSUFF_REN;SEM_TRT_INSUFF_REN;CHIMIO;SEAN_CHIMIO;RTH;SEAN_RADIO;CHIRCAR;CARDIO_INT;NEUROCHIR;NEURO_INT;GREFFE;AMP;PRIS;EFFSAL_SPEMED;EFFSAL_DT_MEDGEN;EFFSAL_DT_URG;EFFSAL_DT_ANESTREA;EFFSAL_SPECHI;EFFSAL_DT_GYNOBS;EFFSAL_PSY;EFFSAL_ODON;EFFSAL_PHARMA;EFFSAL_AUT;EFFSAL_TOT;EFF_INT;EFFLIB_SPEMED;EFFLIB_DT_MEDGEN;EFFLIB_DT_URG;EFFLIB_DT_ANESTREA;EFFLIB_SPECHI;EFFLIB_DT_GYNOBS;EFFLIB_PSY;EFFLIB_ODON;EFFLIB_PHARMA;EFFLIB_AUT;EFFLIB_TOT;ETPSAL_SPEMED;ETPSAL_DT_MEDGEN;ETPSAL_DT_URG;ETPSAL_DT_ANESTREA;ETPSAL_SPECHI;ETPSAL_DT_GYNOBS;ETPSAL_PSY;ETPSAL_ODON;ETPSAL_PHARMA;ETPSAL_AUT;ETPSAL_TOT;ETPINT;EFF_SAG;EFF_CAD;EFF_INFAVECSPE;EFF_INFSANSSPE;EFF_AID;EFF_ASH;EFF_PSYCHO;EFF_REEDU;EFF_SOINS;EFF_DIR;EFF_DIRSOI;EFF_AUTADM;EFF_EDU;EFF_DTSOC;EFF_PERSPHARMA;EFF_PERSLABO;EFF_PERSRADIO;EFF_AUTMEDTEC;EFF_TEC;EFF_TOT_HORS_SOINS;EFF_TOT_PNM;ETP_SAG;ETP_CAD;ETP_INFAVECSPE;ETP_INFSANSSPE;ETP_AID;ETP_ASH;ETP_PSYCHO;ETP_REEDU;ETP_SOINS;ETP_DIR;ETP_DIRSOI;ETP_AUTADM;ETP_EDU;ETP_DTSOC;ETP_PERSPHARMA;ETP_PERSLABO;ETP_PERSRADIO;ETP_AUTMEDTEC;ETP_TEC;ETP_TOT_HORS_SOINS;ETP_TOT_PNM;NB_SCAN;ACT_SCAN;NB_IRM;ACT_IRM;NB_CAM;ACT_CAM;NB_TOMO;ACT_TOMO;SAL_INTERV;POST_REVEIL;BOR
010007300;010007292;2023;;;;;0;0;0;0;0;0;0;0;;2;;2;0;2131;0;2131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;0;0;0;1;;5;0;0;5;8;0;0;0;0;0;13;0.25;0;0;0;0;0;0;0;0;0;0.25;0;0;0;1;4;1;0;0;0;6;1;0;2;0;0;0;0;0;0;0;3;9;0;0;0.72;3;0.86;0;0;0;4.58;1.08;0;1.6;0;0;0;0;0;0;0;2.68;7.26;;;;;;;;;2;5;SYGEN
010780195;010000156;2023;29;69;;98;5044;5199;0;10243;14124;11228;0;25352;;32;;32;0;10807;0;10807;3130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;23548;0;0;;;;;1;1991;;;;;;;;;;;1;3130;0;0;0;1;0;0;0;;;4;4;0;0;0;0;0;0;2;0;6;;64;0;6;12;31;4;0;0;0;0;95;2.76;2.76;0;0;0;0;0;0;2;0;4.76;0;0;7;9;128;63;16;2;2;227;0;1;37;1;1;6;0;1;5;13;64;291;0;5.44;7.86;105.77;56.21;16.56;0.15;0.95;192.94;0;0.33;27.26;0.49;0.49;5.78;0;1.11;3.67;11.98;50.62;243.56;1;0;1;0;2;0;1;0;11;18;SYGEN
010780203;010010718;2023;26;30;15;71;5598;2734;585;8917;13993;6217;2262;22472;2;48;0;50;531;6690;0;7221;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;38165;0;0;1;0;0;0;1;46;1;561;0;0;0;0;;;;;1;25;0;0;0;0;0;0;0;0;0;9;2;0;0;1;1;0;0;4;0;14;;26;0;12;5;22;3;0;0;0;0;48;4.07;1.5;0;0;0.21;0.21;0;0;1.87;0;6.15;0;15;6;3;83;68;34;1;1;211;5;1;42;2;2;12;0;0;8;13;83;294;12.84;3.68;3.21;70.45;47.27;24.33;0.51;0.8;163.09;3.83;0.74;32.85;1.57;1.57;6.52;0;0;6.54;8.68;60.73;223.82;;;;;;;;;6;8;SYGEN
020000089;020000022;2023;28;0;0;28;931;0;0;931;8458;0;0;8458;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;465;0;0;30;11;30;274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;6;0;0;0;0;0;0;2;2;14;2;0;0;0;0;0;0;0;0;0;0;0;3.9;3;0;0;0;0;0;0;1.6;0.2;5.7;2;0;6;0;46;86;36;1;3;178;0;0;21;3;3;5;0;2;0;24;55;233;0;5.5;0;45.11;83.1;34.41;0.7;2.7;171.52;0;0;20.03;2.46;2.46;4.71;0;1.86;0;24;53.06;224.58;;;;;;;;;;;SYGEN
020000097;020000048;2023;38;;;38;670;0;0;670;9789;0;0;9789;;;;;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;301;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;3;0;0;0;0;1;0;1;1;8;;0;0;0;0;0;0;0;0;0;0;0;4.5;3;0;0;0;0;1;0;1.08;0.4;6.98;0;0;1;0;23;47;15;2;3;91;0;0;20;2;1;2;0;0;0;17;41;132;0;1;0;23.09;46.24;14.05;2;2.06;88.44;0;0.69;19.86;2;1;1.86;0;0;0;16.83;41.24;129.68;;;;;;;;;;;SYGEN
020000105;020000055;2023;15;;;15;428;0;0;428;4479;0;0;4479;;;;;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;254;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;3;0;0;0;0;0;0;0;1;7;;1;0;0;0;0;0;0;0;1;3;5;2.01;1.68;0;0;0;0;0;0;0;0.12;2.13;0;0;1;0;12;16;10;1;3;43;1;0;8;1;1;0;0;0;0;19;29;72;0;0.86;0;9.8;13.75;7.51;0.3;0.76;32.98;1;0;8;0.32;0.32;0;0;0;0;17.14;26.46;59.44;;;;;;;;;;;SYGEN
020000162;020000063;2023;276;71;28;375;17708;4466;2420;24594;93142;17348;8578;119068;21;25;1;47;4353;6325;881;11559;76408;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56;564;0;0;60;21;;;1;37971;1;18150;1;0;0;0;1;2163;0;1602;1;715;0;0;1;18549;1;0;1;10003;1;16005;0;1;0;0;0;0;1;175;2;19;21;41;13;0;0;12;9;237;141;0;0;0;0;0;0;0;0;0;0;0;138.13;2;14.26;15.06;35.38;10.63;0;0;10.38;4.86;188.75;121.75;34;32;92;601;449;268;25;29;1530;7;2;253;22;13;30;44;43;5;302;708;2238;30.58;32.58;84.6;572.52;424.91;225.38;20.81;26.49;1417.87;7.2;1.5;240.27;18.44;10.38;26.59;42.97;40.39;5;287.02;669.38;2087.25;2;1;1;0;0;0;0;0;18;25;SYGEN
020000246;020000071;2023;27;;;27;415;0;0;415;6223;0;0;6223;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;242;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;0;0;0;0;0;0;0;0;4;;0;0;0;0;0;0;0;0;0;0;0;2.1;2.1;0;0;0;0;0;0;0;0;2.1;0;0;2;0;23;33;12;2;4;76;0;0;8;1;0;0;0;0;0;18;27;103;0;1.5;0;19.28;29.71;11.36;1;2.15;65;0;0;7.5;0.9;0;0;0;0;0;18;26.4;91.4;;;;;;;;;;;SYGEN
020000360;020014742;2023;;30;;30;0;943;0;943;0;2053;0;2053;;18;;18;637;4037;0;4674;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;1;0;1;;13;0;0;3;19;0;0;0;0;0;32;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;9;7;8;0;0;26;1;0;9;0;0;3;0;0;1;1;15;41;0;1;0.99;8.12;6.03;6.73;0;0;22.87;1;0;9.12;0;0;1.96;0;0;1;0.9;13.98;36.85;0;0;0;0;0;0;0;0;5;6;SYGEN
020000394;020000253;2023;131;34;18;183;9492;2467;1174;13133;38883;9464;4174;52521;14;11;;25;2316;1850;328;4494;8106;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;2255;16;;;;;1;25505;1;9516;1;0;0;1;1;994;0;759;1;209;0;0;1;6965;0;0;1;1128;0;0;0;0;0;0;0;0;1;82;18;8;14;25;8;0;1;6;4;118;40;0;0;0;0;0;0;0;0;0;0;0;76.96;15.67;10.32;14.06;21.73;6.3;0;1;4.12;3.82;107.63;40;23;10;24;259;168;84;10;11;589;4;1;137;7;4;10;14;16;0;120;309;898;20.63;12.12;21.62;241.36;162.94;81.29;8.23;7.17;555.36;4;1;129.81;6.24;3.57;8.55;13.05;16.32;0;113.67;292.64;848;1;0;0;0;0;0;0;0;7;9;SYGEN
020000519;020000261;2023;197;38;21;256;11080;1895;1511;14486;64063;9782;5732;79577;8;14;1;23;1411;1946;605;3962;19899;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;694;0;0;;;;;1;34396;1;10546;1;0;0;0;1;1544;0;917;1;322;0;0;1;10283;0;0;1;3688;1;5910;0;1;0;0;0;0;1;110;28;0;15;36;9;0;0;6;6;158;45;0;0;0;0;0;0;0;0;0;0;0;99.38;27.01;0;13.96;30.93;8.63;0;0;4.87;6.03;141.21;39.68;21;12;39;331;263;150;9;11;836;6;1;137;10;5;10;23;18;4;185;394;1230;19.2;10.64;36.91;310.37;253.16;139.95;4.86;9.49;784.58;5.72;1;126.6;7;3.76;10.04;21.39;17.44;3.48;175.26;367.93;1152.51;3;1;2;0;0;0;0;0;8;8;SYGEN
020000535;020000287;2023;132;5;18;155;5300;237;887;6424;24210;862;2094;27166;3;21;1;25;349;1276;185;1810;1382;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;363;0;0;44;14;;;1;18377;0;0;1;0;0;0;1;624;1;492;0;0;0;0;;;;;1;1382;0;0;0;0;0;0;0;0;1;40;9;11;2;8;5;0;0;3;2;53;17;4;0;0;0;1;0;0;0;0;0;5;35.09;7.69;8.26;0.8;8.07;5;0;0;2.46;0.38;46;16.15;14;10;9;131;144;73;3;5;389;1;0;96;3;2;6;7;11;2;86;212;601;12.24;11.07;8.83;125.12;140.01;63.53;1.11;3.88;365.79;1.16;0;92.9;2.33;2;6.08;6.57;10.42;2;83.74;205.2;570.99;1;0;0;0;0;0;0;0;5;6;SYGEN
020001061;020004404;2023;145;15;15;175;7749;1031;775;9555;43049;3940;3004;49993;4;10;;14;317;3911;462;4690;503;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;33217;0;0;1;0;0;0;1;770;0;522;1;139;0;0;;;;;1;503;0;0;0;0;0;0;0;0;1;59;6;18;11;23;5;0;1;6;2;91;15;12;0;0;0;4;0;0;2;0;0;18;59.33;6.28;16.39;9.88;19.78;4.01;0;0.8;5.8;1.4;87.11;20.19;18;8;23;142;146;79;3;2;421;2;0;103;3;3;9;20;12;2;81;232;653;16.95;8.67;23.23;137.91;144.96;76.19;2.13;2.84;412.88;2.29;0;101.34;2.94;2.94;8.67;18.52;12.2;1.98;81.43;229.37;642.25;1;1;2;0;0;0;0;0;6;6;SYGEN
020001087;020004495;2023;60;;;60;3548;0;0;3548;11076;0;0;11076;4;;;4;186;0;0;186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;224;0;0;;;;;1;14631;0;0;1;0;0;0;0;;0;;0;0;0;0;;;;;0;;0;;0;0;0;0;0;0;0;28;2;9;2;2;2;1;0;1;1;33;;0;0;0;0;0;0;0;0;0;0;0;21.83;2.27;8.69;2;0.38;0.38;0.8;0;1;0.5;24.51;0;0;5;0;48;49;17;1;3;123;1;0;38;3;2;4;3;7;1;33;90;213;0;5;0;48.81;49.75;16.59;1.03;2.54;123.72;0.63;0;34.99;1.98;1.48;4;3;6.04;1;30.78;82.42;206.14;1;0;0;0;0;0;0;0;;;SYGEN
020010047;020001632;2023;35;68;0;103;2626;2671;0;5297;10640;6409;0;17049;4;40;;44;594;9652;0;10246;2257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10157;0;0;;;;;1;557;;;;;;;;;;;1;2257;0;0;0;0;0;0;0;;;1;0;0;0;0;0;0;0;2;1;4;;33;0;5;5;19;0;0;0;0;0;52;1.12;0;0;0;0;0;0;0;1.71;0.5;3.33;0;0;3;4;70;54;35;1;2;169;3;1;25;1;1;5;0;0;2;6;43;212;0;3.89;4.01;68.35;55.59;34.99;0.51;0.83;168.17;3;0.99;23.51;0.02;0.02;4.72;0;0;1.71;7.38;41.33;209.5;1;0;2;0;2;0;1;0;9;12;SYGEN
030000061;030780092;2023;191;57;25;273;10861;2876;1286;15023;61677;14997;5158;81832;21;9;2;32;955;2199;264;3418;10394;1;1;146;37;0;183;881;87;;968;30;30;;60;6393;4281;;10674;;;;;;;1;2;;3;438;837;;1275;11;5;16;14850;7071;21921;3162;768;1;3903;3893;895;1;4730;40;419;276;2;80;37;20;361;1;37452;0;0;1;0;0;1;1;934;0;912;1;156;0;0;1;7173;0;0;1;3221;0;0;0;1;0;0;0;0;1;120;23;28;15;19;7;12;1;8;7;167;69;5;0;0;0;1;0;0;0;0;0;6;97.81;15.12;24.14;15.32;16.22;5.07;10.63;0.94;7.43;7;140.03;60.05;32;42;42;533;443;211;19;21;1343;8;0;220;23;13;17;32;36;2;236;574;1917;26.24;40.56;41.31;524.99;417.65;211.12;17.83;20.63;1300.33;7.83;0.17;210.88;22.43;12.64;17.15;28.87;35.52;2;234.68;559.53;1859.86;2;1;2;0;0;0;0;0;5;12;SYGEN
