FI;FI_EJ;AN;LIT_MED;LIT_CHI;LIT_OBS;LIT_MCO;SEJHC_MED;SEJHC_CHI;SEJHC_OBS;SEJHC_MCO;JOU_MED;JOU_CHI;JOU_OBS;JOU_MCO;PLA_MED;PLA_CHI;PLA_OBS;PLA_MCO;SEJHP_MED;SEJHP_CHI;SEJHP_OBS;SEJHP_MCO;SEANCES_MED;SPED;UGER;CAP_COMPLET_GEN;CAP_COMPLET_INF;CAP_COMPLET_PEN;CAP_COMPLET_TOT;SEJ_HTP_GEN;SEJ_HTP_INF;SEJ_HTP_PEN;SEJ_HTP_TOT;CAP_HDJ_GEN;CAP_HDJ_INF;CAP_HDJ_PEN;CAP_HDJ_TOT;VEN_HDJ_GEN;VEN_HDJ_INF;VEN_HDJ_PEN;VEN_HDJ_TOT;CAP_HDN_GEN;CAP_HDN_INF;CAP_HDN_TOT;VEN_HDN_GEN;VEN_HDN_INF;VEN_HDN_TOT;NB_CATTP_GEN;NB_CATTP_INF;NB_CATTP_PEN;NB_CATTP_TOT;ACT_CATTP_GEN;ACT_CATTP_INF;ACT_CATTP_PEN;ACT_CATTP_TOT;NB_CMP_GEN;NB_CMP_INF;NB_CMP_TOT;ACT_CMP_GEN;ACT_CMP_INF;ACT_CMP_TOT;FIL_AMB_GEN;FIL_AMB_INF;FIL_AMB_PEN;FIL_AMB_TOT;FIL_TOT_GEN;FIL_TOT_INF;FIL_TOT_PEN;FIL_TOT_TOT;LIT_SSR;SEJHC_SSR;JOUHP_SSR;PLA_SSR;LIT_USLD;ENT;PLATOT_HAD;SEJ_HAD;AUTGEN;PASSU_GEN;AUTPED;PASSU_PED;GEN;PED;ANT;SAMU;REA;SEJ_REANIM;TYPE1;SEJACC;TYPE2;SEJ_NEO;TYPE3;SEJ_REA;TRT_HEMO_CENTRE;SEAN_HEMO_CENTRE;TRT_INSUFF_REN;SEM_TRT_INSUFF_REN;CHIMIO;SEAN_CHIMIO;RTH;SEAN_RADIO;CHIRCAR;CARDIO_INT;NEUROCHIR;NEURO_INT;GREFFE;AMP;PRIS;EFFSAL_SPEMED;EFFSAL_DT_MEDGEN;EFFSAL_DT_URG;EFFSAL_DT_ANESTREA;EFFSAL_SPECHI;EFFSAL_DT_GYNOBS;EFFSAL_PSY;EFFSAL_ODON;EFFSAL_PHARMA;EFFSAL_AUT;EFFSAL_TOT;EFF_INT;EFFLIB_SPEMED;EFFLIB_DT_MEDGEN;EFFLIB_DT_URG;EFFLIB_DT_ANESTREA;EFFLIB_SPECHI;EFFLIB_DT_GYNOBS;EFFLIB_PSY;EFFLIB_ODON;EFFLIB_PHARMA;EFFLIB_AUT;EFFLIB_TOT;ETPSAL_SPEMED;ETPSAL_DT_MEDGEN;ETPSAL_DT_URG;ETPSAL_DT_ANESTREA;ETPSAL_SPECHI;ETPSAL_DT_GYNOBS;ETPSAL_PSY;ETPSAL_ODON;ETPSAL_PHARMA;ETPSAL_AUT;ETPSAL_TOT;ETPINT;EFF_SAG;EFF_CAD;EFF_INFAVECSPE;EFF_INFSANSSPE;EFF_AID;EFF_ASH;EFF_PSYCHO;EFF_REEDU;EFF_SOINS;EFF_DIR;EFF_DIRSOI;EFF_AUTADM;EFF_EDU;EFF_DTSOC;EFF_PERSPHARMA;EFF_PERSLABO;EFF_PERSRADIO;EFF_AUTMEDTEC;EFF_TEC;EFF_TOT_HORS_SOINS;EFF_TOT_PNM;ETP_SAG;ETP_CAD;ETP_INFAVECSPE;ETP_INFSANSSPE;ETP_AID;ETP_ASH;ETP_PSYCHO;ETP_REEDU;ETP_SOINS;ETP_DIR;ETP_DIRSOI;ETP_AUTADM;ETP_EDU;ETP_DTSOC;ETP_PERSPHARMA;ETP_PERSLABO;ETP_PERSRADIO;ETP_AUTMEDTEC;ETP_TEC;ETP_TOT_HORS_SOINS;ETP_TOT_PNM;NB_SCAN;ACT_SCAN;NB_IRM;ACT_IRM;NB_CAM;ACT_CAM;NB_TOMO;ACT_TOMO;SAL_INTERV;POST_REVEIL
030007942;030002158;2023;10;;;10;113;0;0;113;3404;0;0;3404;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;415;565;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;0;0;0;0;1;0;0;0;5;2;9;9;0;0;0;0;0;0;0;0;9;1.15;1.15;0;0;0;0;0.13;0;0;0;1.28;1.65;0;3;0;19;26;14;2;5;69;0;0;4;2;1;0;0;0;0;20;26;95;0;2.23;0;13.76;19.69;10.72;1.01;3.81;51.22;0;0;3.25;1.83;0.91;0;0;0;0;19.27;24.35;75.57;;;;;;;;;;
040000036;040780132;2023;5;;;5;61;0;0;61;632;0;0;632;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;94;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;1;0;1;;8;8;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0.35;0;0.35;0;0;1;0;11;11;24;0;1;48;1;0;5;0;0;1;0;0;0;4;11;59;0;0.58;0;4.5;3.21;6.04;0;0.15;14.48;0.36;0;1.27;0;0;0.32;0;0;0;0.97;2.92;17.4;;;;;;;;;;
040000044;040780140;2023;4;;;4;70;0;0;70;535;0;0;535;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;72;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;17;19;1;0;45;0;0;5;1;0;0;0;0;0;8;14;59;0;0.11;0;0.77;1.87;1.94;0.1;0;4.79;0;0;1.47;0.11;0;0;0;0;0;0.52;2.1;6.89;;;;;;;;;;
040000119;040780231;2023;4;;;4;156;0;0;156;1072;0;0;1072;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;281;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;0;0;0;0;0;0;4;0;7;;5;5;0;0;0;0;0;0;0;0;5;0.8;0.8;0;0;0;0;0;0;0.5;0;1.3;0;0;1;0;14;9;9;0;5;38;1;0;7;0;0;2;0;0;0;17;27;65;0;0.6;0;9.05;5.7;7;0;2;24.35;0.6;0;3.6;0;0;0.53;0;0;0;15.8;20.53;44.88;;;;;;;;;;
040000127;040780249;2023;4;;;4;91;0;0;91;1001;0;0;1001;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;;3;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4;5;0;0;11;2;0;2;1;0;0;0;0;1;3;9;20;0;0.1;0;1;2.86;1.87;0;0;5.83;0.17;0;1.05;0.02;0;0;0;0;0.13;0.29;1.66;7.49;;;;;;;;;;
040000135;050002948;2023;14;;;14;2309;0;0;2309;6447;0;0;6447;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;165;1226;10;;;;;1;17760;0;0;1;0;0;0;0;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;12;0;8;0;0;0;0;0;1;0;13;2;0;0;0;0;0;0;0;0;0;0;0;12.11;0;8.28;0;0.6;0;0;0;1.22;0.61;14.54;2;0;1;2;43;36;17;0;3;102;0;0;17;1;1;4;8;8;0;23;61;163;0.34;0.82;2;39.61;31.35;16.27;0;3.7;94.09;0;0;14.83;0.5;0.5;2.59;7.2;7.28;0.2;20.9;53.5;147.59;1;1;0;0;0;0;0;0;0;0
050000223;050000108;2023;4;;;4;47;0;0;47;1484;0;0;1484;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;0;0;0;0;0;0;2;0;5;;0;0;0;0;0;0;0;0;0;0;0;0.2;0.2;0;0;0;0;0;0;0.19;0;0.39;0;0;1;0;5;10;10;0;1;27;1;0;5;1;0;1;0;0;0;17;25;52;0;0.1;0;1.48;3.44;6.4;0;0.05;11.47;0.58;0;0.82;0.08;0;0.12;0;0;0;4.63;6.23;17.7;;;;;;;;;;
050000256;050000124;2023;21;;;21;1450;0;0;1450;6347;0;0;6347;;;;;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;253;0;0;30;18;;;1;8481;0;0;;;;;0;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;11;5;4;0;0;0;0;0;1;1;13;1;0;0;0;0;0;0;0;0;0;0;0;7.86;2.51;3.3;0;0;0;0;0;1;0.03;8.89;1.41;1;4;0;36;47;22;2;7;119;1;0;35;2;2;3;0;3;0;50;94;213;1;2.77;0;27.5;37.15;17.11;0.43;4.42;90.38;1;0;29.65;1.36;1.36;2.56;0;3.12;0;44.5;82.19;172.57;;;;;;;;;;
060000163;060780327;2023;4;;;4;32;0;0;32;411;0;0;411;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;37;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;0;0;0;0;0;0;0;0;2;;0;0;0;0;0;0;0;0;0;0;0;0.65;0;0;0;0;0;0;0;0;0;0.65;0;0;1;0;7;15;6;0;1;30;1;0;6;0;0;0;0;0;0;14;21;51;0;0.41;0;2.05;2.86;1.44;0;0.25;7.01;0.14;0;0.89;0;0;0;0;0;0;3.05;4.08;11.09;;;;;;;;;;
060000304;060780657;2023;5;;;5;149;0;0;149;1765;0;0;1765;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;108;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0;0;0;0;0;0;0;1;1;7;7;0;0;0;0;0;0;0;0;7;0.1;0.1;0;0;0;0;0;0;0;0;0.1;1;0;1;0;7;6;3;1;0;18;1;0;9;0;0;0;0;0;0;33;43;61;0;1;0;5.66;6;3;0.3;0;15.96;0.07;0;1.86;0;0;0;0;0;0;8.1;10.03;25.99;;;;;;;;;;
060000411;060780780;2023;6;;;6;104;0;0;104;1497;0;0;1497;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;106;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0;0;0;0;0;1;0;2;;0;0;0;0;0;0;0;0;0;0;0;0.75;0.75;0;0;0;0;0;0;0.1;0;0.85;0;0;0;0;5;10;3;1;2;21;0;0;8;0;0;3;0;0;0;23;34;55;0;0;0;5;10;3;0.04;0.42;18.46;0;0;1.93;0;0;0.18;0;0;0;1.38;3.49;21.95;;;;;;;;;;
060000486;060780905;2023;12;;;12;264;0;0;264;3347;0;0;3347;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;147;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;;5;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;7;13;0;1;29;0;0;14;1;0;3;0;1;0;29;48;77;0;1.06;0;6.17;6.01;5.34;0;0.09;18.67;0;0;5.36;0.25;0;1.68;0;1;0;4.42;12.71;31.38;;;;;;;;;;
060000494;060780921;2023;5;;;5;31;0;0;31;661;0;0;661;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;;3;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;6;0;0;6;0;0;1;0;0;0;7;14;20;0;0;0;2.05;0.5;3.03;0;0;5.58;0;0;0.79;0;0;0.53;0;0;0;2.3;3.62;9.2;;;;;;;;;;
060001625;060006889;2023;8;0;0;8;156;0;0;156;1635;0;0;1635;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;156;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;0;0;0;0;0;0;1;1;5;;1;1;0;0;0;0;0;0;0;0;1;2.5;2.5;0;0;0;0;0;0;0.41;0.05;2.96;0;0;2;0;9;14;5;1;2;33;1;0;2;0;0;2;0;0;0;1;6;39;0;1.54;0;8.02;9.46;2.71;0.09;0.51;22.33;1;0;0.79;0;0;0.5;0;0;0;0.99;3.28;25.61;;;;;;;;;;
070000021;070007927;2023;15;;;15;540;0;0;540;7366;0;0;7366;0;;;0;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;252;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2.65;0;3;0;17;24;3;2;6;55;1;0;10;2;1;5;0;0;0;16;34;89;0;0.81;0;11.09;14.58;2.14;0.36;1.36;30.34;0.24;0;2.41;0.86;0.67;2.38;0;0;0;2.8;8.69;39.03;;;;;;;;;;
070000039;070780119;2023;16;;;16;221;0;0;221;1809;0;0;1809;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;234;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0;0;0;0;0;2;0;3;;2;2;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0.8;0;1.8;0;0;1;0;6;8;6;0;3;24;1;0;9;1;1;1;0;0;0;2;14;38;0;1;0;5.58;7.44;3.65;0;1.63;19.3;0.5;0;3.17;0.28;0.28;0.5;0;0;0;0.8;5.25;24.55;;;;;;;;;;
070000047;070780127;2023;12;0;0;12;395;0;0;395;4676;0;0;4676;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;371;0;0;75;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;0;0;0;0;0;0;2;0;5;;1;1;0;0;0;0;0;0;0;0;1;2.33;1.33;0;0;0;0;0;0;1.2;0;3.53;0;0;2;0;31;68;26;1;7;135;3;1;17;3;2;4;0;0;0;33;61;196;0;1.83;0;25.72;65.54;21.65;0.42;4.8;119.96;2.37;1;8.38;2.01;1.01;2.77;0;0;0;25.75;42.28;162.24;;;;;;;;;;
070000062;070005558;2023;8;;;8;178;0;0;178;2983;0;0;2983;;;;;0;0;0;0;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;321;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;1;29;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;2;0;2;1;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0.5;0;0.5;1;0;2;0;12;20;1;1;3;39;2;0;8;1;1;0;0;0;0;7;18;57;0;1.3;0;11;16.75;0.2;0.8;1.23;31.28;0.6;0;3.52;0.5;0.5;0;0;0;0;4.51;9.13;40.41;;;;;;;;;;
070000070;070780150;2023;20;0;0;20;463;0;0;463;3785;0;0;3785;2;0;0;2;33;0;0;33;97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;206;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;1;97;0;0;0;0;0;0;0;;;1;1;0;0;0;0;0;0;1;0;2;;7;7;0;0;0;0;0;0;0;0;7;0.5;0.5;0;0;0;0;0;0;0.8;0;1.3;0;0;1;0;14;17;2;3;2;39;0;0;12;2;1;2;0;2;0;5;23;62;0;1;0;10.23;15.51;1.75;1.08;1.2;30.77;0;0;4.62;0.82;0.52;0.49;0;1.06;0;3.69;10.68;41.45;;;;;;;;;;
